ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
2,2,18,,,
3,3,26,,,
4,4,26,,,
5,5,33,,,
8,8,34,,,
9,9,35,,,
10,10,35,,,
15,15,35,,,
16,16,35,,,
17,17,35,,,
18,18,31,,,
19,19,31,,,
20,20,35,,,
21,21,35,,,
22,22,35,,,
23,23,36,,,
24,24,13,,,
26,26,13,,,
27,27,14,,,
28,28,15,,,
29,29,15,,,
30,30,16,,,
31,31,17,,,
33,33,17,,,
34,34,17,,,
39,39,19,,,
40,40,20,,,
41,41,20,,,
44,44,21,,,
46,46,22,,,
47,47,23,,,
52,52,24,,,
53,53,21,,,
54,54,25,,,
63,63,28,,,
65,65,32,,,
66,66,29,,,
67,67,29,,,
69,69,29,,,
70,70,27,,,
73,73,28,,,
80,80,30,,,
82,82,27,,,
85,85,31,,,
96,96,51,,,
97,97,42,,,
98,98,42,,,
99,99,42,,,
100,100,51,,,
103,103,42,,,
104,104,52,,,
105,105,52,,,
106,106,53,,,
107,107,42,,,
108,108,51,,,
109,109,42,,,
110,110,42,,,
111,111,42,,,
112,112,42,,,
115,115,54,,,
116,116,54,,,
117,117,54,,,
118,118,54,,,
120,120,54,,,
121,121,54,,,
123,123,54,,,
124,124,54,,,
125,125,55,,,
126,126,55,,,
127,127,56,,,
128,128,54,,,
129,129,37,,,
131,131,37,,,
132,132,37,,,
133,133,42,,,
134,134,42,,,
135,135,42,,,
136,136,38,,,
138,138,38,,,
140,140,42,,,
146,146,39,,,
147,147,40,,,
148,148,41,,,
149,149,43,,,
151,151,44,,,
155,155,46,,,
156,156,47,,,
157,157,45,,,
161,161,48,,,
162,162,44,,,
163,163,42,,,
165,165,42,,,
172,172,49,,,
174,174,37,,,
176,176,37,,,
177,177,37,,,
178,178,37,,,
181,181,37,,,
186,186,50,,,
189,189,50,,,
191,191,50,,,
199,199,68,,,
200,200,68,,,
201,201,68,,,
202,202,68,,,
203,203,68,,,
205,205,68,,,
206,206,68,,,
207,207,68,,,
208,208,68,,,
210,210,69,,,
211,211,68,,,
214,214,68,,,
215,215,68,,,
216,216,70,,,
217,217,69,,,
219,219,68,,,
220,220,68,,,
221,221,68,,,
222,222,68,,,
223,223,71,,,
225,225,68,,,
226,226,68,,,
227,227,68,,,
228,228,68,,,
229,229,68,,,
230,230,68,,,
231,231,68,,,
232,232,68,,,
233,233,68,,,
234,234,72,,,
235,235,57,,,
236,236,58,,,
237,237,68,,,
238,238,68,,,
239,239,59,,,
240,240,68,,,
242,242,68,,,
244,244,68,,,
248,248,60,,,
249,249,61,,,
250,250,68,,,
251,251,68,,,
254,254,68,,,
256,256,68,,,
262,262,68,,,
263,263,68,,,
264,264,62,,,
265,265,67,,,
273,273,68,,,
275,275,64,,,
277,277,63,,,
278,278,63,,,
279,279,63,,,
280,280,63,,,
283,283,68,,,
289,289,65,,,
292,292,66,,,
295,295,66,,,
299,299,80,,,
300,300,86,,,
301,301,86,,,
302,302,86,,,
303,303,87,,,
307,307,87,,,
308,308,90,,,
309,309,91,,,
310,310,80,,,
311,311,92,,,
314,314,89,,,
315,315,92,,,
317,317,87,,,
319,319,87,,,
320,320,89,,,
323,323,88,,,
324,324,89,,,
325,325,88,,,
326,326,89,,,
327,327,88,,,
328,328,89,,,
330,330,88,,,
331,331,88,,,
332,332,73,,,
333,333,74,,,
334,334,88,,,
335,335,89,,,
336,336,89,,,
337,337,89,,,
338,338,75,,,
339,339,75,,,
340,340,89,,,
342,342,89,,,
344,344,89,,,
345,345,76,,,
349,349,77,,,
350,350,78,,,
351,351,79,,,
352,352,89,,,
355,355,89,,,
358,358,89,,,
363,363,81,,,
364,364,89,,,
365,365,82,,,
367,367,82,,,
375,375,84,,,
377,377,83,,,
379,379,84,,,
380,380,84,,,
382,382,85,,,
383,383,83,,,
387,387,83,,,
390,390,88,,,
392,392,89,,,
395,395,89,,,
397,397,99,,,
398,398,106,,,
399,399,106,,,
400,400,106,,,
401,401,111,,,
405,405,112,,,
409,409,99,,,
410,410,112,,,
412,412,113,,,
414,414,115,,,
415,415,99,,,
416,416,99,,,
418,418,99,,,
419,419,99,,,
420,420,99,,,
421,421,113,,,
423,423,114,,,
424,424,114,,,
426,426,99,,,
427,427,99,,,
428,428,99,,,
429,429,99,,,
430,430,99,,,
431,431,99,,,
432,432,99,,,
433,433,93,,,
435,435,93,,,
436,436,94,,,
437,437,99,,,
438,438,99,,,
439,439,99,,,
440,440,99,,,
442,442,99,,,
444,444,99,,,
450,450,95,,,
451,451,96,,,
452,452,96,,,
455,455,97,,,
458,458,98,,,
463,463,100,,,
464,464,101,,,
465,465,102,,,
467,467,103,,,
476,476,104,,,
478,478,110,,,
480,480,105,,,
481,481,107,,,
483,483,107,,,
487,487,104,,,
493,493,108,,,
496,496,109,,,
499,499,108,,,
507,507,137,,,
508,508,141,,,
509,509,141,,,
510,510,141,,,
511,511,142,,,
515,515,141,,,
516,516,142,,,
517,517,144,,,
518,518,142,,,
519,519,143,,,
520,520,145,,,
523,523,116,,,
524,524,117,,,
525,525,137,,,
527,527,141,,,
529,529,118,,,
530,530,141,,,
531,531,119,,,
533,533,137,,,
534,534,121,,,
535,535,121,,,
536,536,121,,,
537,537,142,,,
538,538,121,,,
545,545,122,,,
546,546,137,,,
547,547,121,,,
548,548,121,,,
549,549,121,,,
550,550,121,,,
551,551,121,,,
552,552,123,,,
553,553,123,,,
554,554,124,,,
555,555,142,,,
556,556,142,,,
557,557,125,,,
558,558,126,,,
560,560,127,,,
562,562,127,,,
567,567,128,,,
568,568,129,,,
569,569,130,,,
570,570,130,,,
573,573,131,,,
576,576,132,,,
