ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
2,bahnargolar,404,,h ə d r oː,,,
3,bahnarkontum,404,,s iː k,,,
4,bahnarpleiku,404,,s iː k,,,
5,jeh,404,,nn a h,,,
8,sre,404,,t ə r n o m,,,
9,bruubon,404,,b l ɔ ŋ,,,
10,katang,404,,b l ɔ ŋ,,,
15,kuisriwises1978,404,,b l ɔ ŋ,,,
16,kuihuffman1979,404,,b l ɑ ŋ,,,
17,mankong,404,,b l ɑ ŋ,,,
18,nge,404,,r iː w,,,
19,pacoh,404,,ʔ a r iə w,,,
20,sokhammouane,404,,b l ɑ ŋ,,,
21,sosakonnakhon,404,,b l ɑ ŋ,,,
22,soueisaravan,404,,b l ɔ ŋ,,,
23,taoi,404,,r iː w,,,
24,khasi,404,,k ʔ ia t,,,
26,pnar,404,,k ia t,,,
27,warlamin,404,,r ʊə,,,
28,khmersurin,404,,s r aː,,,
29,khmerstandard,404,,s r aː,,,
30,idu,404,,b r â̰ː j,,,
31,khmucuang,404,,b uː c,,,
33,khmuyuan,404,,p uː c,,,
34,maltin,404,,p u c,,,
39,bugan,404,,ʦ a,,,
40,mon,404,,ʔ a r èa k,,,
41,nyahkur,404,,cʰ ə r a̤ː ʔ,,,
44,gorum,404,,a l i,,,
46,kharia,404,,d a k h,,,
47,kharia,404,,d a r u,,,
52,santali,404,,h ã ɖ i,,,
53,sora,404,,ʌ l i,,,
54,car,404,,ʔ a j ɛ̃ː,,,
63,lawaratanakul,404,,p l a j,,,
65,manmet,404,,t ɔ n,,,
66,palaungdaraang,404,,p a w h,,,
67,palaungkalaw,404,,p ao h,,,
69,palaungnamhsan,404,,b a h,,,
70,riangsak,404,,kᵊ ɗ ɑ w,,,
73,wapraok,404,,p l ai,,,
80,karii,404,,k ɨ̀ n ʔ,,,
82,ruc,404,,p ə d oː,,,
85,vietnamese,404,,r u o u,,,
96,alak,1422,,pʻ r oː s,,,
97,bahnargolar,1422,,h ə d r i h,,,
98,bahnarkontum,1422,,ʔ a d r i h,,,
99,bahnarpleiku,1422,,ʔ a d r i h,,,
100,brao,1422,,ɲ i w,,,
103,cua,1422,,r i l h,,,
104,halang,1422,,p e̤ː n,,,
105,jeh,1422,,p e̤ː n,,,
106,jrulaven,1422,,d ɛ j,,,
107,mnongrolom,1422,,b r e h,,,
108,nyaheun,1422,,ɲ i w,,,
109,rengao,1422,,h ə r i̤ h,,,
110,sedang,1422,,r ɛ h,,,
111,sre,1422,,r i s,,,
112,stieng,1422,,r e h,,,
115,brutalan,1422,,m o ŋ ʔ,,,
116,bruubon,1422,,nɔ̤ŋ ʔaːmɔ̤ŋ,,,
117,in,1422,,naŋ moŋˀ,,,
118,katuandiem,1422,,m a m o ŋ,,,
