ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
32768,32768,1329,,,
1,1,941,,,
65541,65541,236,,,
16391,16391,724,,,
49160,49160,1735,,,
10924,10924,876,,,
10,10,1389,,,
49166,49166,882,,,
49167,49167,1720,,,
65552,65552,1024,,,
49169,49169,1356,,,
16402,16402,1251,,,
16403,16403,1203,,,
16404,16404,1212,,,
32789,32789,1467,,,
23,23,632,,,
49176,49176,1488,,,
16410,16410,981,,,
10927,10927,475,,,
16413,16413,1681,,,
16389,16389,342,,,
32802,32802,1046,,,
16422,16422,239,,,
49191,49191,674,,,
40,40,1187,,,
41,41,1188,,,
42,42,1185,,,
49201,49201,239,,,
49202,49202,296,,,
27315,27315,1695,,,
52,52,791,,,
53,53,792,,,
65590,65590,279,,,
65591,65591,281,,,
65593,65593,62,,,
32829,32829,1384,,,
32830,32830,956,,,
49215,49215,307,,,
16448,16448,290,,,
38240,38240,1602,,,
32836,32836,273,,,
46373,46373,1127,,,
32844,32844,1440,,,
80,80,376,,,
16465,16465,239,,,
65620,65620,1676,,,
85,85,28,,,
49238,49238,1343,,,
49242,49242,592,,,
49243,49243,591,,,
16477,16477,292,,,
94,94,1813,,,
95,95,1818,,,
65634,65634,409,,,
65637,65637,1483,,,
65553,65553,1025,,,
49257,49257,605,,,
65642,65642,929,,,
65645,65645,894,,,
49262,49262,1103,,,
16495,16495,666,,,
19859,19859,1272,,,
5480,5480,1592,,,
28373,28373,511,,,
40979,40979,1517,,,
117,117,423,,,
49270,49270,905,,,
16503,16503,946,,,
16507,16507,561,,,
16509,16509,88,,,
16512,16512,457,,,
16513,16513,1203,,,
136,136,686,,,
16521,16521,941,,,
16523,16523,6,,,
32909,32909,294,,,
32910,32910,291,,,
32912,32912,153,,,
145,145,1028,,,
57289,57289,444,,,
147,147,821,,,
148,148,822,,,
16534,16534,429,,,
49303,49303,385,,,
153,153,204,,,
154,154,304,,,
155,155,46,,,
65694,65694,1254,,,
65695,65695,727,,,
31207,31207,409,,,
65699,65699,264,,,
65702,65702,974,,,
65703,65703,111,,,
168,168,1139,,,
170,170,159,,,
171,171,157,,,
49324,49324,12,,,
13682,13682,1557,,,
175,175,45,,,
49328,49328,1234,,,
32945,32945,114,,,
32949,32949,832,,,
49334,49334,169,,,
18441,18441,1186,,,
65722,65722,1502,,,
65567,65567,1012,,,
32956,32956,727,,,
65727,65727,1045,,,
65729,65729,375,,,
49346,49346,225,,,
51915,51915,271,,,
32964,32964,1004,,,
62838,62838,364,,,
32967,32967,970,,,
32968,32968,666,,,
49354,49354,118,,,
203,203,157,,,
65740,65740,1270,,,
65741,65741,1259,,,
65742,65742,1272,,,
32975,32975,688,,,
65744,65744,1261,,,
38264,38264,1842,,,
32980,32980,129,,,
32981,32981,228,,,
214,214,1180,,,
65751,65751,1543,,,
32984,32984,195,,,
24612,24612,1178,,,
51919,51919,501,,,
224,224,751,,,
228,228,228,,,
65767,65767,1180,,,
33001,33001,1851,,,
16618,16618,1532,,,
49387,49387,402,,,
49388,49388,398,,,
33005,33005,239,,,
38269,38269,1851,,,
33008,33008,785,,,
33009,33009,779,,,
16626,16626,1483,,,
49395,49395,1214,,,
245,245,1157,,,
246,246,1140,,,
247,247,1142,,,
33017,33017,1722,,,
16635,16635,523,,,
252,252,116,,,
16637,16637,1270,,,
16638,16638,1271,,,
255,255,170,,,
16640,16640,1261,,,
60668,60668,556,,,
49415,49415,1837,,,
65802,65802,1402,,,
267,267,1145,,,
33036,33036,267,,,
270,270,993,,,
65808,65808,463,,,
274,274,119,,,
16659,16659,938,,,
49429,49429,191,,,
280,280,1707,,,
49433,49433,868,,,
49434,49434,874,,,
33051,33051,612,,,
16669,16669,264,,,
38277,38277,936,,,
16673,16673,258,,,
65828,65828,1555,,,
49445,49445,1682,,,
16678,16678,35,,,
64199,64199,630,,,
33064,33064,887,,,
49449,49449,97,,,
49450,49450,727,,,
33070,33070,506,,,
33071,33071,1403,,,
65840,65840,119,,,
49458,49458,922,,,
309,309,1064,,,
49462,49462,910,,,
33081,33081,846,,,
65850,65850,32,,,
33083,33083,104,,,
33084,33084,102,,,
38282,38282,1578,,,
49470,49470,982,,,
41013,41013,711,,,
65856,65856,925,,,
65858,65858,633,,,
325,325,732,,,
327,327,1745,,,
65864,65864,1720,,,
16439,16439,724,,,
65868,65868,1180,,,
65869,65869,1667,,,
65870,65870,175,,,
65871,65871,1158,,,
33104,33104,1356,,,
33105,33105,1363,,,
12107,12107,1724,,,
341,341,260,,,
65878,65878,342,,,
65879,65879,1070,,,
33112,33112,632,,,
65881,65881,879,,,
65882,65882,1096,,,
65883,65883,407,,,
65884,65884,441,,,
