ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
32768,yami,toknowbeknowledgeable,,k a t e nn g a n,,,
1,nakanaibilekidialect,ten,,s a v u l u s a s a,,,
65541,tahitianmodern,2,,h ua h uaa,,,
16391,samoan,personhumanbeing,,t a ŋ a t a,,,
49160,maori,1236,,a h a,,,
10924,anuta,six,,o n o,,,
10,chuukeseakatrukese,1380,,ŋ u,,,
49166,surigaonon,763,,p a n i t,,,
49167,tuamotu,948,,v ai,,,
65552,isamorong,toblow,,m a m iyo t,,,
49169,eastsumbaneseumburatunggaidialect,tolivebealive,,m u r u k u,,,
16402,uveaeast,tohide,,m u n i,,,
16403,rapanuieasterisland,tofear,,m a t a k u,,,
16404,rapanuieasterisland,tofear,,r ia r ia,,,
32789,ogan,toshoot,,n i m b a k,,,
23,rapanuieasterisland,1382,,h i k a,,,
49176,rurutuan,tosniffsmell,,ʔ au ʔ a,,,
16410,tagalog,1214,,i t o,,,
10927,rurutuan,1991,,ʔ aa ʔ au,,,
16413,tahitianmodern,towalk,,h ae r e,,,
16389,chuukeseakatrukese,1507,,w u w aa,,,
32802,tagaloganthonydelapaz,toburn,,m a s u n o g,,,
16422,surigaonon,1247,,t a l i n g a,,,
49191,cebuano,1229,,t i g u l a n g,,,
40,tuamotu,tofall,,m a r e r e,,,
41,tuamotu,tofall,,t o p a,,,
42,tuamotu,tofall,,m a k i r i,,,
49201,yami,1247,,t a l i n g a,,,
49202,anuta,1201,,p u r u,,,
27315,indonesian,toyawn,,m e ŋ g ua p,,,
52,chuukeseakatrukese,1728,,m a mm a c h,,,
53,chuukeseakatrukese,1728,,p w a,,,
65590,rarotongan,323,,i n u,,,
65591,rarotongan,323,,n g a k o,,,
65593,minangkabau,1251,,p a r ui t,,,
32829,luangiua,1380,,ŋ i h o,,,
32830,samoan,817,,l a t ou,,,
49215,rennellese,227,,i k a,,,
16448,eastsumbaneseumburatunggaidialect,1217,,a m a,,,
38240,katingan,toswim,,h a n a ŋ ui,,,
32836,imorod,1406,,m a r ayi,,,
46373,rurutuan,tocount,,t ai ʔ o,,,
32844,samoan,toscratch,,v a l u,,,
80,futunaeast,1425,,m o t o,,,
16465,anuta,1247,,t a r i ŋ a,,,
65620,ogan,towalk,,b ə j a l a n,,,
85,dayakngaju,ash,,k a w u,,,
49238,eastsumbaneseumburatunggaidialect,tolaugh,,r i k u,,,
49242,rurutuan,1267,,oaoa,,,
49243,rurutuan,1267,,p i r i,,,
16477,surigaonon,1217,,t a t ay,,,
94,woleai,2105,,f ai f i l ɛ,,,
95,woleai,2105,,s h ao b u t o,,,
65634,samoan,2642,,ia,,,
65637,futunaeast,tosleep,,m oe,,,
65553,isamorong,toblow,,a l o p a n,,,
49257,yami,1942,,m a s n g e n,,,
65642,tikopia,1295,,r a k au,,,
65645,dayakngaju,1246,,k u r i k,,,
