ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
anuta,Anuta,,,,anut1237,
tikopia,Tikopia,,,,tiko1237,
chuukeseakatrukese,ChuukeseAKATrukese,,,,chuu1238,
nakanaibilekidialect,NakanaiBilekiDialect,,,,naka1262,
indonesian,Indonesian,,,,indo1316,
malaybahasaindonesia,MalayBahasaIndonesia,,,,indo1316,
eastsumbanesekamberasoutherndialect,EastSumbaneseKamberaSoutherndialect,,,,sout2885,
yami,Yami,,,,yami1254,
marquesan,Marquesan,,,,nort2845,
tagalog,Tagalog,,,,taga1270,
tongan,Tongan,,,,tong1325,
iraralay,Iraralay,,,,ivat1242,
dayakngaju,DayakNgaju,,,,ngaj1237,
itbayat,Itbayat,,,,ivat1242,
rennellese,Rennellese,,,,renn1242,
itbayaten,Itbayaten,,,,itba1237,
surigaonon,Surigaonon,,,,suri1273,
banjaresemalay,BanjareseMalay,,,,banj1239,
maori,Maori,,,,maor1246,
carolinian,Carolinian,,,,caro1242,
westernbukidnonmanobo,WesternBukidnonManobo,,,,west2555,
niue,Niue,,,,niue1239,
futunaeast,FutunaEast,,,,east2447,
katingan,Katingan,,,,ngaj1237,
samoan,Samoan,,,,samo1305,
eastsumbaneseumburatunggaidialect,EastSumbaneseUmbuRatuNggaidialect,,,,umar1237,
cebuano,Cebuano,,,,cebu1242,
rarotongan,Rarotongan,,,,raro1241,
uveaeast,UveaEast,,,,wall1257,
rapanuieasterisland,RapanuiEasterIsland,,,,rapa1244,
woleai,Woleai,,,,wole1240,
ivasay,Ivasay,,,,ivat1242,
isamorong,Isamorong,,,,ivat1242,
sikaiana,Sikaiana,,,,sika1261,
tuamotu,Tuamotu,,,,tuam1242,
tagaloganthonydelapaz,TagalogAnthonydelaPaz,,,,taga1270,
tahitianmodern,TahitianModern,,,,tahi1242,
ogan,Ogan,,,,cent2053,
luangiua,Luangiua,,,,onto1237,
imorod,Imorod,,,,ivat1242,
lakalai,Lakalai,,,,naka1262,
rurutuan,Rurutuan,,,,aust1304,
minangkabau,Minangkabau,,,,mina1268,
chuukese,Chuukese,,,,chuu1238,
penrhyn,Penrhyn,,,,penr1237,
