ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
1,1,1469,,,
2,2,1474,,,
6,6,1467,,,
7,7,1467,,,
8,8,1467,,,
9,9,1467,,,
10,10,1470,,,
11,11,1467,,,
12,12,1469,,,
13,13,1469,,,
14,14,1469,,,
15,15,1469,,,
16,16,1469,,,
17,17,1469,,,
18,18,1469,,,
19,19,1469,,,
20,20,1469,,,
21,21,1469,,,
22,22,1469,,,
23,23,1469,,,
24,24,1469,,,
25,25,1472,,,
26,26,1475,,,
27,27,1468,,,
28,28,1472,,,
29,29,1468,,,
30,30,1475,,,
31,31,1475,,,
32,32,1468,,,
33,33,1472,,,
34,34,1472,,,
35,35,1468,,,
36,36,1472,,,
37,37,1468,,,
38,38,1472,,,
39,39,1475,,,
40,40,1468,,,
41,41,1472,,,
42,42,1468,,,
43,43,1472,,,
44,44,1468,,,
45,45,1468,,,
46,46,1468,,,
47,47,1472,,,
48,48,1468,,,
50,50,1468,,,
51,51,1468,,,
52,52,1469,,,
53,53,1469,,,
54,54,1469,,,
55,55,1469,,,
56,56,1469,,,
57,57,1469,,,
58,58,1473,,,
59,59,1471,,,
60,60,1476,,,
61,61,1477,,,
65,65,318,,,
66,66,318,,,
70,70,321,,,
71,71,321,,,
72,72,322,,,
73,73,319,,,
75,75,319,,,
76,76,323,,,
77,77,317,,,
78,78,326,,,
79,79,324,,,
80,80,325,,,
81,81,317,,,
82,82,317,,,
83,83,317,,,
84,84,326,,,
85,85,326,,,
86,86,317,,,
87,87,326,,,
88,88,317,,,
89,89,326,,,
90,90,317,,,
91,91,326,,,
92,92,317,,,
93,93,317,,,
94,94,326,,,
95,95,317,,,
96,96,326,,,
97,97,317,,,
98,98,317,,,
99,99,326,,,
100,100,326,,,
101,101,317,,,
102,102,316,,,
103,103,316,,,
104,104,316,,,
105,105,316,,,
106,106,316,,,
107,107,316,,,
108,108,316,,,
109,109,316,,,
110,110,316,,,
111,111,316,,,
112,112,316,,,
113,113,316,,,
115,115,316,,,
116,116,316,,,
117,117,316,,,
118,118,316,,,
119,119,316,,,
120,120,316,,,
121,121,316,,,
122,122,316,,,
123,123,320,,,
124,124,320,,,
129,129,2151,,,
130,130,2146,,,
134,134,2150,,,
135,135,2150,,,
137,137,2149,,,
138,138,2147,,,
140,140,2147,,,
141,141,2147,,,
142,142,2142,,,
143,143,2142,,,
144,144,2142,,,
145,145,2142,,,
146,146,2142,,,
147,147,2142,,,
148,148,2142,,,
149,149,2142,,,
150,150,2142,,,
151,151,2142,,,
152,152,2142,,,
153,153,2142,,,
154,154,2152,,,
155,155,2142,,,
156,156,2142,,,
157,157,2142,,,
158,158,2142,,,
159,159,2142,,,
160,160,2142,,,
161,161,2142,,,
162,162,2142,,,
163,163,2142,,,
164,164,2142,,,
165,165,2142,,,
166,166,2142,,,
168,168,2142,,,
169,169,2142,,,
170,170,2144,,,
171,171,2143,,,
172,172,2143,,,
173,173,2145,,,
174,174,2145,,,
175,175,2148,,,
179,179,1596,,,
180,180,1596,,,
184,184,1597,,,
185,185,1597,,,
187,187,1594,,,
188,188,1594,,,
189,189,1594,,,
190,190,1594,,,
191,191,1595,,,
192,192,1595,,,
193,193,1595,,,
194,194,1595,,,
195,195,1595,,,
196,196,1595,,,
197,197,1595,,,
198,198,1595,,,
199,199,1595,,,
200,200,1595,,,
201,201,1595,,,
202,202,1595,,,
203,203,1595,,,
204,204,1595,,,
205,205,1595,,,
206,206,1595,,,
207,207,1598,,,
208,208,1595,,,
209,209,1595,,,
210,210,1595,,,
211,211,1595,,,
212,212,1595,,,
213,213,1595,,,
214,214,1595,,,
215,215,1595,,,
216,216,1595,,,
218,218,1595,,,
219,219,1595,,,
220,220,1595,,,
221,221,1595,,,
222,222,1595,,,
223,223,1595,,,
224,224,1595,,,
225,225,1595,,,
226,226,1595,,,
229,229,1498,,,
230,230,1496,,,
234,234,1491,,,
235,235,1491,,,
237,237,1494,,,
238,238,1494,,,
239,239,1494,,,
240,240,1494,,,
241,241,1495,,,
242,242,1495,,,
243,243,1495,,,
244,244,1495,,,
245,245,1495,,,
246,246,1495,,,
247,247,1495,,,
248,248,1495,,,
249,249,1495,,,
250,250,1495,,,
251,251,1495,,,
252,252,1495,,,
253,253,1495,,,
254,254,1492,,,
255,255,1499,,,
256,256,1492,,,
257,257,1492,,,
258,258,1497,,,
259,259,1492,,,
260,260,1492,,,
261,261,1492,,,
262,262,1497,,,
263,263,1492,,,
264,264,1497,,,
265,265,1492,,,
266,266,1497,,,
267,267,1492,,,
268,268,1492,,,
270,270,1492,,,
271,271,1492,,,
272,272,1493,,,
273,273,1493,,,
274,274,1493,,,
275,275,1493,,,
276,276,1493,,,
277,277,1493,,,
280,280,1769,,,
281,281,1780,,,
282,282,1780,,,
285,285,1787,,,
286,286,1787,,,
288,288,1785,,,
289,289,1785,,,
290,290,1771,,,
291,291,1784,,,
292,292,1774,,,
293,293,1782,,,
294,294,1774,,,
295,295,1774,,,
296,296,1775,,,
297,297,1781,,,
298,298,1775,,,
299,299,1775,,,
300,300,1775,,,
301,301,1776,,,
302,302,1774,,,
303,303,1781,,,
304,304,1782,,,
305,305,1766,,,
306,306,1777,,,
307,307,1770,,,
308,308,1783,,,
309,309,1765,,,
310,310,1777,,,
311,311,1783,,,
312,312,1770,,,
313,313,1765,,,
314,314,1766,,,
315,315,1770,,,
316,316,1767,,,
317,317,1765,,,
318,318,1768,,,
319,319,1777,,,
320,320,1783,,,
321,321,1777,,,
322,322,1786,,,
323,323,1783,,,
324,324,1766,,,
325,325,1765,,,
326,326,1779,,,
327,327,1770,,,
328,328,1770,,,
329,329,1766,,,
330,330,1766,,,
331,331,1765,,,
332,332,1770,,,
333,333,1777,,,
334,334,1765,,,
335,335,1766,,,
336,336,1779,,,
337,337,1770,,,
338,338,1777,,,
339,339,1786,,,
340,340,1770,,,
341,341,1777,,,
342,342,1770,,,
