ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
1,ancientgreek,1396,,o k s y s,,,
2,greek,1396,,ˌk o̞ f t e̞ ˈr o̞ s,,,
6,osseticiron,1396,,s y r ʁ,,,
7,osseticdigor,1396,,č i r ʁ,,,
8,bihari,1396,,t e j g ə r,,,
9,urdu,1396,,t̪ e z,,,
10,marathi,1396,,dʰ a ɾ d a ɾ,,,
11,marathi,1396,,t i: k ʂ ɳ ə,,,
12,oldchurchslavonic,1396,,ɔ s t r ʊ̆,,,
13,serbocroatian,1396,,ˈɔ ʃ t a r,,,
14,bulgarian,1396,,ˈɔ s t ə r,,,
15,macedonian,1396,,ˈo s t a r,,,
16,russian,1396,,ɔ s t r ɨ j,,,
17,polish,1396,,ˈɔ s t r ɘ̟,,,
18,belarusian,1396,,ˈv ɔ s t r ɨ,,,
19,ukrainian,1396,,ˈɦ ɔ s t r ɪ j,,,
20,slovak,1396,,ˈɔ s t r iː,,,
21,czech,1396,,ˈɔ s t r iː,,,
22,sorbianupper,1396,,ˈw ʊ t ʀ ɘ̟,,,
23,sorbianlower,1396,,ˈw ɘ̟ t ʂ ɘ̟,,,
24,slovenian,1396,,ˈǒː s t ə r,,,
25,oldnorse,1396,,ɣ v a sː,,,
26,oldnorse,1396,,b i t r,,,
27,oldnorse,1396,,s k a r p r,,,
28,icelandic,1396,,xʷ a sː,,,
29,icelandic,1396,,ˈs k a r̥ pʰ ʏ r,,,
30,icelandic,1396,,ˈb̥ eiʰ tː ʏ r,,,
31,faroese,1396,,ˈb̥ iː tʰ ʊ ɹ,,,
32,faroese,1396,,ˈs k a ɹ pʰ ʊ ɹ,,,
33,faroese,1396,,ˈkʰ v a sː ʊ ɹ,,,
34,norwegianriksmal,1396,,ʋ a sː,,,
35,norwegianriksmal,1396,,s k a ɾ p,,,
36,stavangersk,1396,,ˈk ʋ a sː ə,,,
37,stavangersk,1396,,ˈs k a ʁ p ə,,,
38,oldswedish,1396,,ˈh v a sː,,,
39,oldswedish,1396,,ˈb iː t e r,,,
40,oldswedish,1396,,ˈs k a r p e r,,,
41,swedish,1396,,v a sː,,,
42,swedish,1396,,s k a r p,,,
43,elfdalian,1396,,w ɑ sː,,,
44,danish,1396,,s g̥ʰ ɑ: b̥,,,
45,danishfjolde,1396,,ˈs x ɑ ɹ ə b,,,
46,gutnishlau,1396,,ˈs k a r p a r,,,
47,gutnishlau,1396,,ˈv a sː a r,,,
48,english,1396,,ʃ ɑ: p,,,
50,dutch,1396,,s χ ɛ r p,,,
51,german,1396,,ʃ a r f,,,
52,latin,1396,,ˈaː k e r,,,
53,latin,1396,,a ˈk uː t u s,,,
54,portuguese,1396,,ɐ f i ˈa d u,,,
55,portuguese,1396,,ɐ ɡ u ˈs a d u,,,
56,spanish,1396,,a f i l a ð o,,,
57,spanish,1396,,a ɣ u ð o,,,
58,french,1396,,t ʀ ɑ̃ ʃ ɑ̃,,,
