ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
latin,LATIN,,,,lati1261,
oldchurchslavonic,OLD_CHURCH_SLAVONIC,,,,chur1257,
spanish,SPANISH,,,,stan1288,
norwegianriksmal,NORWEGIAN_RIKSMAL,,,,norw1258,
elfdalian,ELFDALIAN,,,,elfd1234,
oriya,ORIYA,,,,oriy1255,
czech,CZECH,,,,czec1258,
danishfjolde,DANISH_FJOLDE,,,,,
polish,POLISH,,,,poli1260,
bulgarian,BULGARIAN,,,,bulg1262,
slovak,SLOVAK,,,,slov1269,
catalan,CATALAN,,,,stan1289,
marathi,MARATHI,,,,mara1378,
danish,DANISH,,,,dani1285,
icelandic,ICELANDIC,,,,icel1247,
english,ENGLISH,,,,stan1293,
dutch,DUTCH,,,,dutc1256,
ancientgreek,ANCIENT_GREEK,,,,anci1242,
faroese,FAROESE,,,,faro1244,
ukrainian,UKRAINIAN,,,,ukra1253,
sorbianupper,SORBIAN_UPPER,,,,uppe1395,
serbocroatian,SERBO-CROATIAN,,,,serb1264,
oldnorse,OLD_NORSE,,,,oldn1244,
portuguese,PORTUGUESE,,,,port1283,
italian,ITALIAN,,,,ital1282,
slovenian,SLOVENIAN,,,,slov1268,
osseticiron,OSSETIC_IRON,,,,osse1243,
greek,GREEK,,,,mode1248,
german,GERMAN,,,,stan1295,
swedish,SWEDISH,,,,swed1254,
french,FRENCH,,,,stan1290,
belarusian,BELARUSIAN,,,,bela1254,
urdu,URDU,,,,urdu1245,
stavangersk,STAVANGERSK,,,,,
oldswedish,OLD_SWEDISH,,,,,
osseticdigor,OSSETIC_DIGOR,,,,osse1243,
sorbianlower,SORBIAN_LOWER,,,,lowe1385,
russian,RUSSIAN,,,,russ1263,
bihari,BIHARI,,,,mait1250,
oldirish,OLD_IRISH,,,,oldi1245,
macedonian,MACEDONIAN,,,,mace1250,
gutnishlau,GUTNISH_LAU,,,,laum1238,
