ID,Name,Description,Concepticon_ID
1440,spit,,1440
1203,long,,1203
937,bird,,937
1437,split,,1437
493,five,,493
2099,child,,2099
1577,and,,1577
1422,live,,1422
639,mountain,,639
1213,you,,1213
1292,bad,,1292
1942,near,,1942
2308,thin,,2308
1458,say,,1458
1258,fingernail,,1258
1257,wing,,1257
634,meat,,634
1223,heart,,1223
1301,foot,,1301
1256,head,,1256
1574,float,,1574
1393,horn,,1393
1554,man,,1554
1423,fight,,1423
1417,kill,,1417
1937,there,,1937
1585,sleep,,1585
2,dust,,2
156,red,,156
1198,many,,1198
1335,white,,1335
2124,smell,,2124
1287,cold,,1287
1420,count,,1420
1429,full,,1429
1449,rub,,1449
960,wind,,960
946,blood,,946
1588,turn,,1588
1242,few,,1242
1336,eat,,1336
1221,nose,,1221
1218,rope,,1218
1224,liver,,1224
1274,salt,,1274
1295,stick,,1295
249,fog,,249
670,root,,670
671,sand,,671
1441,fly,,1441
646,ashes,,646
683,person,,683
1425,green,,1425
1035,good,,1035
1474,sea,,1474
1291,back,,1291
1434,stab,,1434
1494,die,,1494
1645,short,,1645
1238,when,,1238
1392,louse,,1392
1433,hit,,1433
492,three,,492
1455,pull,,1455
1439,swim,,1439
667,road,,667
1267,narrow,,1267
784,snow,,784
1446,come,,1446
1459,if,,1459
78,that,,78
1402,breast,,1402
1413,play,,1413
1199,wife,,1199
1251,belly,,1251
1204,bark,,1204
1343,sun,,1343
1236,what,,1236
1443,walk,,1443
1244,thick,,1244
1416,sit,,1416
1157,because,,1157
1229,old,,1229
674,mouth,,674
1334,guts,,1334
1239,how,,1239
714,seed,,714
1435,hunt,,1435
163,black,,163
1246,small,,1246
1395,round,,1395
962,woman,,962
1211,he,,1211
1214,this,,1214
778,smoke,,778
1215,thou,,1215
2108,rain,,2108
1454,wipe,,1454
1448,hold,,1448
239,flower,,239
1232,warm,,1232
1457,sew,,1457
1209,I,,1209
1237,where,,1237
1404,straight,,1404
1917,tie,,1917
1234,smooth,,1234
1498,two,,1498
628,leaf,,628
323,fat,,323
857,stone,,857
624,lake,,624
948,water,,948
1200,husband,,1200
1403,bite,,1403
1421,suck,,1421
619,animal,,619
1278,vomit,,1278
1240,not,,1240
ant,ant,,
1436,scratch,,1436
1411,lie,,1411
1394,bone,,1394
1277,hand,,1277
1573,swell,,1573
1210,heavy,,1210
136,here,,136
1241,some,,1241
1355,laugh,,1355
244,left,,244
1040,hair,,1040
617,ice,,617
1407,breathe,,1407
98,all,,98
227,fish,,227
1201,feather,,1201
1247,ear,,1247
744,egg,,744
1340,with,,1340
2009,dog,,2009
1507,fruit,,1507
1235,who,,1235
221,fire,,221
1228,earth,,1228
666,river,,666
379,dull,,379
2271,think,,2271
906,tree,,906
606,grass,,606
1401,drink,,1401
1280,fall,,1280
1409,see,,1409
1297,leg,,1297
2102,burn,,2102
2003,flow,,2003
1220,tail,,1220
1408,hear,,1408
1371,knee,,1371
1216,mother,,1216
763,skin,,763
1419,fear,,1419
1019,rightside,,1019
1313,moon,,1313
1231,new,,1231
1431,freeze,,1431
1500,four,,1500
1489,cloud,,1489
1205,tongue,,1205
1432,cut,,1432
1410,know,,1410
1447,give,,1447
1230,dirty,,1230
1493,one,,1493
1380,tooth,,1380
420,woods,,420
1461,at,,1461
1430,star,,1430
1726,wet,,1726
1219,worm,,1219
1212,we,,1212
1396,sharp,,1396
1418,dig,,1418
1225,day,,1225
1424,yellow,,1424
1226,year,,1226
1261,sing,,1261
1460,in,,1460
197,other,,197
1725,right,,1725
1414,squeeze,,1414
1406,far,,1406
1202,big,,1202
1405,name,,1405
1452,push,,1452
1248,eye,,1248
1732,sky,,1732
1233,night,,1233
730,snake,,730
1217,father,,1217
1456,throw,,1456
175,blow,,175
1442,stand,,1442
1398,dry,,1398
1333,neck,,1333
1453,wash,,1453
1728,rotten,,1728
817,they,,817
1243,wide,,1243
