ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
1,1,18,,,
2,2,36,,,
3,3,36,,,
5,5,18,,,
8,8,42,,,
14,14,56,,,
16,16,27,,,
18,18,56,,,
20,20,17,,,
21,21,32,,,
22,22,56,,,
24,24,15,,,
27,27,26,,,
31,31,13,,,
35,35,56,,,
36,36,34,,,
38,38,18,,,
39,39,1,,,
40,40,34,,,
41,41,34,,,
43,43,31,,,
44,44,30,,,
45,45,26,,,
46,46,45,,,
49,49,55,,,
51,51,18,,,
53,53,34,,,
54,54,32,,,
56,56,32,,,
57,57,32,,,
59,59,57,,,
64,64,34,,,
68,68,23,,,
70,70,49,,,
72,72,34,,,
75,75,24,,,
77,77,1,,,
79,79,34,,,
80,80,25,,,
85,85,34,,,
86,86,34,,,
87,87,34,,,
88,88,1,,,
91,91,34,,,
92,92,34,,,
93,93,34,,,
96,96,55,,,
97,97,40,,,
99,99,56,,,
100,100,34,,,
101,101,31,,,
104,104,33,,,
105,105,33,,,
106,106,33,,,
112,112,38,,,
115,115,34,,,
117,117,34,,,
118,118,1,,,
119,119,19,,,
121,121,47,,,
122,122,47,,,
124,124,1,,,
125,125,30,,,
126,126,22,,,
131,131,1,,,
132,132,28,,,
133,133,28,,,
136,136,39,,,
138,138,34,,,
139,139,14,,,
141,141,34,,,
142,142,26,,,
32948,32948,1,,,
32950,32950,1,,,
32951,32951,1,,,
32953,32953,1,,,
32956,32956,1,,,
32963,32963,1,,,
32965,32965,1,,,
32966,32966,1,,,
32967,32967,1,,,
32968,32968,1,,,
32970,32970,1,,,
32974,32974,1,,,
32980,32980,1,,,
32984,32984,1,,,
32986,32986,1,,,
32987,32987,1,,,
32988,32988,1,,,
32989,32989,1,,,
32990,32990,1,,,
32991,32991,1,,,
32992,32992,1,,,
32994,32994,1,,,
32996,32996,1,,,
33000,33000,1,,,
33004,33004,1,,,
33006,33006,1,,,
33009,33009,1,,,
33010,33010,1,,,
33018,33018,1,,,
33019,33019,1,,,
33020,33020,1,,,
33022,33022,1,,,
33023,33023,1,,,
257,257,133,,,
258,258,150,,,
259,259,128,,,
33028,33028,1,,,
261,261,1,,,
267,267,121,,,
268,268,121,,,
33037,33037,1,,,
270,270,128,,,
271,271,149,,,
272,272,125,,,
33042,33042,1,,,
33043,33043,1,,,
33044,33044,1,,,
277,277,131,,,
33046,33046,1,,,
280,280,118,,,
33049,33049,1,,,
284,284,121,,,
285,285,129,,,
287,287,133,,,
288,288,137,,,
289,289,153,,,
290,290,131,,,
291,291,165,,,
33061,33061,1,,,
294,294,1,,,
295,295,128,,,
296,296,120,,,
297,297,155,,,
33066,33066,1,,,
300,300,162,,,
301,301,162,,,
302,302,122,,,
303,303,123,,,
33072,33072,1,,,
33073,33073,1,,,
306,306,151,,,
307,307,146,,,
311,311,134,,,
33080,33080,1,,,
313,313,133,,,
33082,33082,1,,,
315,315,118,,,
316,316,157,,,
317,317,128,,,
33086,33086,1,,,
319,319,168,,,
320,320,140,,,
33089,33089,1,,,
323,323,167,,,
324,324,1,,,
325,325,167,,,
326,326,1,,,
327,327,126,,,
328,328,168,,,
329,329,135,,,
330,330,1,,,
332,332,119,,,
333,333,119,,,
335,335,121,,,
338,338,148,,,
345,345,130,,,
349,349,122,,,
350,350,122,,,
353,353,156,,,
354,354,147,,,
355,355,138,,,
357,357,125,,,
358,358,139,,,
359,359,139,,,
360,360,139,,,
363,363,152,,,
364,364,168,,,
365,365,160,,,
367,367,120,,,
368,368,131,,,
369,369,131,,,
370,370,131,,,
371,371,131,,,
372,372,202,,,
373,373,204,,,
375,375,220,,,
377,377,223,,,
380,380,223,,,
382,382,225,,,
383,383,181,,,
384,384,223,,,
386,386,224,,,
389,389,1,,,
391,391,198,,,
392,392,198,,,
393,393,198,,,
397,397,223,,,
398,398,185,,,
400,400,213,,,
401,401,213,,,
402,402,213,,,
403,403,195,,,
404,404,193,,,
405,405,212,,,
406,406,211,,,
409,409,218,,,
411,411,201,,,
413,413,189,,,
414,414,191,,,
416,416,191,,,
