ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
1,adnyamathanha,1741,,a r a,,,
2,alyawarr,1741,,e r ɹ u l,,,
3,alyawarr,1741,,e r ɹ u l e ŋ,,,
5,arabana,1741,,a ɹ a t a,,,
8,yugambehbandjalang,1741,,w a j,,,
14,dhangu,1741,,g a r w a ɹ,,,
16,sydney,1741,,b u ɹ a w a,,,
18,dhuwal,1741,,g a r w a ɹ,,,
20,dieri,1741,,m i ɹ i,,,
21,dyaabugay,1741,,w a ŋ g a ɹ,,,
22,djambarrpuyngu,1741,,g a r w a ɹ,,,
24,djinang,1741,,g u r g i,,,
27,gamilaraay,1741,,ŋ u r i b a,,,
31,kumbainggar,1741,,w a ɹ u,,,
35,gupapuyngu,1741,,g a r w a ɹ,,,
36,gurindji,1741,,k a n k u l a,,,
38,guyani,1741,,k a ɹ a,,,
39,sydney,1741,,b u ɹ a w ɔ,,,
40,jaru,1741,,g a ŋ a n i,,,
41,jaru,1741,,g a ŋ a n i m a ɹ a ŋ o,,,
43,djiwarli,1741,,j i r a ɹ a,,,
44,kalkutung,1741,,p i r i n̪ a,,,
45,gamilaraay,1741,,ŋ g u r i b a,,,
46,karadjeri,1741,,k a n t i ŋ k a,,,
49,kartujarra,1741,,k a t u w a n a c a n u,,,
51,kaurna,1741,,k a r a,,,
53,kukatja,1741,,g a ŋ a ɹ a,,,
54,kukuyalanji,1741,,w a ŋ k a ɹ w a ŋ k a ɹ,,,
56,gurdjar,1741,,ŋ k aː ɖ,,,
57,gurdjar,1741,,ŋ k a ɖ i j a ŋ,,,
59,kalalagawya,1741,,g i m a l,,,
64,martuwangka,1741,,k a n k a,,,
68,mudburra,1741,,d i m b u,,,
70,muruwari,1741,,k a r a n t a,,,
72,ngaanyatjarra,1741,,k a n k a ɹ a r a,,,
75,ngamini,1741,,k u ɹ u m u,,,
77,ngarinman,1741,,d a l w i r,,,
79,ngarluma,1741,,g a n k a n m a n i,,,
80,narrinyeri,1741,,t̪ a l w u l d a,,,
85,northerncoastalnyangumarta,1741,,k a n k a,,,
86,nyamal,1741,,k a n k a ɭ a,,,
87,nyangumarta,1741,,k a n k a,,,
88,nyunga,1741,,j e a ɹ e ɹ,,,
91,panytyima,1741,,k a n k a l a,,,
92,banggarla,1741,,k a kː a nː a ɹ a,,,
93,bayungu,1741,,k a n k a ɹ a,,,
96,pitjantjatjara,1741,,k a t u,,,
97,pittapitta,1741,,j a k i ɭ i ŋ a l p a,,,
99,ritarungo,1741,,g a r w a ɹ,,,
100,dhalandji,1741,,k a n k a ɹ a,,,
101,dhargari,1741,,j i r a ɹ a,,,
104,wagaya,1741,,j u p a n t u,,,
105,wagaya,1741,,k i n k a ɭ,,,
106,wagaya,1741,,c e m a n t u ɹ u,,,
112,ngura,1741,,p i ʈ a b a d a,,,
115,warlpiri,1741,,k a n k a ɭ a ɳ i,,,
117,wanman,1741,,k a n k a ɳ i,,,
118,wariyangga,1741,,j i r a ɹ a,,,
119,warumungu,1741,,a ʈ t i n c i,,,
121,wathawurrung,1741,,k o b a ŋ i,,,
122,wathawurrung,1741,,k o m b a b a,,,
124,wikmungkan,1741,,w o ɲ a m,,,
125,wiradhuri,1741,,b i r a b a ŋ,,,
126,wirangunauo,1741,,g a ɖ i d j a,,,
131,yannhangu,1741,,g a ɳ g i j a,,,
132,yandruwandha,1741,,t̪ a l k a,,,
133,yandruwandha,1741,,k a n r a,,,
136,yawarawarga,1741,,d a t c a,,,
138,yindjibarndi,1741,,k a n k a ɭ a,,,
139,yortayorta,1741,,p u k u t,,,
141,yulparitja,1741,,k a n k a ɳ i ŋ u ɹ u,,,
142,yuwaalaraay,1741,,ŋ a r i b aː g i l i,,,
32948,adnyamathanha,1223,,j u ɭ k,,,
32950,alyawarr,1223,,ʈ a kʷ e ʈ,,,
32951,alyawarr,1223,,ʈ w a k e ʈ,,,
32953,arabana,1223,,ŋ a ɹ a,,,
32956,yugambehbandjalang,1223,,d u l g u,,,
32963,sydney,1223,,b u d b u t,,,
32965,dhuwal,1223,,ɖ o ʈ u r k,,,
32966,dieri,1223,,ŋ a ɹ a,,,
32967,dyaabugay,1223,,c i b a,,,
32968,djambarrpuyngu,1223,,ɖ o ʈ u r k,,,
32970,djinang,1223,,ɖ u ɹ k ɖ u ɹ k,,,
32974,gamilaraay,1223,,g iː,,,
32980,kumbainggar,1223,,b a r a n,,,
32984,gurindji,1223,,t u ɭ a ŋ,,,
32986,guyani,1223,,t̪ u l k u k a k a,,,
32987,sydney,1223,,b u d b u d,,,
32988,jaru,1223,,d u l u,,,
32989,djiwarli,1223,,p u ɹ uː l a,,,
32990,kalkutung,1223,,w a i r a,,,
32991,gamilaraay,1223,,g iː,,,
32992,karadjeri,1223,,b i l c o ɹ,,,
32994,kartujarra,1223,,k u ʈ u ʈ u,,,
32996,kaurna,1223,,b u l t a,,,
33000,kukatja,1223,,k u t u k u t u,,,
33004,gurdjar,1223,,e l,,,
33006,kalalagawya,1223,,ŋ a n a k a p,,,
33009,margany,1223,,u l g u,,,
33010,martuwangka,1223,,k u ʈ u ʈ u,,,
33018,mudburra,1223,,d u l a ŋ,,,
33019,muruwari,1223,,p u t̪ a n c,,,
33020,ngaanyatjarra,1223,,k u ʈ u ʈ u,,,
33022,lowerriverland,1223,,p u mː u ŋ,,,
33023,ngamini,1223,,ŋ a ɹ a,,,
257,adnyamathanha,98,,w a p u,,,
258,alyawarr,98,,e ŋ k e r,,,
259,arabana,98,,p ɹ a t c a n t a,,,
33028,ngarluma,1223,,b u l a ɖ a,,,
261,yugambehbandjalang,98,,g u m b i h,,,
267,dhangu,98,,w a r p a m ʔ,,,
268,dhuwal,98,,w a r p a m ʔ,,,
33037,nyangumarta,1223,,t u ɭ p u,,,
270,dieri,98,,p a r c a ɳ a,,,
271,dyaabugay,98,,ɲ i ŋ a j c a d a,,,
272,djambarrpuyngu,98,,b u k m a k,,,
33042,panytyima,1223,,p u l a ʈ a,,,
33043,banggarla,1223,,j u l g o m o k o,,,
33044,bayungu,1223,,p u ɹ uː l a,,,
277,gamilaraay,98,,g a n u,,,
33046,pittapitta,1223,,m a ɳ u,,,
280,kumbainggar,98,,b iː n,,,
33049,dhargari,1223,,p u ɹ uː l a,,,
284,gupapuyngu,98,,w a r p a m ʔ,,,
285,gurindji,98,,p u r pː a ɳ i,,,
287,guyani,98,,k u ɹ u,,,
288,jaru,98,,w a ɲ c u w u r a c a r a,,,
289,djiwarli,98,,ɖ a n,,,
290,gamilaraay,98,,g u n o,,,
291,karadjeri,98,,w a k a c,,,
33061,warlpiri,1223,,ɖ u k u ɖ u k u,,,
294,kartujarra,98,,j a ɳ ŋ a l a,,,
295,kaurna,98,,p a ʈ a nː a,,,
296,kukatja,98,,l a l t u,,,
297,kukuyalanji,98,,w u b u l,,,
33066,warumungu,1223,,m a ɳ t u l k a,,,
300,gurdjar,98,,w o k,,,
301,gurdjar,98,,β aː r,,,
302,kuukuyau,98,,m u k a m u k a n,,,
303,kalalagawya,98,,m u ɹ a,,,
33072,wiradhuri,1223,,g eː n,,,
33073,wirangunauo,1223,,g u ɖ u ɖ u,,,
306,margany,98,,b i r i ɲ,,,
307,martuwangka,98,,j a ɳ ŋ a,,,
311,mudburra,98,,k u w a ɲ c a,,,
33080,yandruwandha,1223,,m a ɳ u,,,
313,muruwari,98,,k u r u k u r u,,,
33082,yawarawarga,1223,,ŋ a ɹ a,,,
315,ngaanyatjarra,98,,p i ɳ i ɲ a ʈ u,,,
316,lowerriverland,98,,m u pː o,,,
317,ngamini,98,,p a r c a n a,,,
33086,yortayorta,1223,,d i p a,,,
319,ngarluma,98,,c u ɭ u,,,
320,narrinyeri,98,,t u l d a,,,
33089,yuwaalaraay,1223,,g iː,,,
323,northerncoastalnyangumarta,98,,w i r,,,
324,nyamal,98,,w iː r,,,
325,nyangumarta,98,,w i r,,,
326,nyunga,98,,b u n d u ŋ,,,
327,paakantyi,98,,g u d a g u d a,,,
328,panytyima,98,,c u ɭ u,,,
329,banggarla,98,,p a d l u j u n u,,,
330,bayungu,98,,w u r a j i m p a,,,
332,pitjantjatjara,98,,u w a n k a ɹ a,,,
333,pitjantjatjara,98,,w i n k i,,,
335,ritarungo,98,,w a r p a m ʔ,,,
338,wagaya,98,,m u k e ɭ,,,
345,ngura,98,,m a r u,,,
349,warlpiri,98,,m u k u,,,
350,warumungu,98,,m u kː u,,,
353,wikmungkan,98,,m a ˀm a ŋ k a m,,,
354,wiradhuri,98,,b i j a ŋ g a l a ŋ,,,
355,wirangunauo,98,,j a b u,,,
357,yannhangu,98,,b u k m a k,,,
358,yandruwandha,98,,m a l k a,,,
359,yandruwandha,98,,p a n i,,,
360,yandruwandha,98,,p a n i n a,,,
363,yawarawarga,98,,p a n i n a,,,
364,yindjibarndi,98,,c u l u,,,
365,yortayorta,98,,w u t a,,,
367,yulparitja,98,,l a l t u,,,
368,yuwaalaraay,98,,g a n u,,,
369,yuwaalaraay,98,,g a n u ŋ a w u,,,
370,yuwaalaraay,98,,g u r u g u r u,,,
371,yuwaalaraay,98,,aː b a l i,,,
372,adnyamathanha,1577,,a d n i,,,
373,arabana,1577,,n c u ɖ u,,,
375,yugambehbandjalang,1577,,ŋ u l a,,,
377,dhangu,1577,,g a,,,
380,dhuwal,1577,,g a,,,
382,dieri,1577,,j a,,,
383,dyaabugay,1577,,c a t a,,,
384,djambarrpuyngu,1577,,g a,,,
386,djinang,1577,,a,,,
389,gamilaraay,1577,,j i lː i b u,,,
391,kumbainggar,1577,,g a r aː,,,
392,kumbainggar,1577,,w a w,,,
393,kumbainggar,1577,,j u r g a,,,
397,gupapuyngu,1577,,g a,,,
398,gurindji,1577,,p u r p u r,,,
400,guyani,1577,,c u d ɹ u,,,
401,guyani,1577,,p u n t u n a,,,
402,guyani,1577,,c u n p a n a l u,,,
403,djiwarli,1577,,c i b i,,,
404,kalkutung,1577,,j a n a,,,
405,gamilaraay,1577,,j i lː i b u,,,
406,karadjeri,1577,,p a,,,
409,kartujarra,1577,,w i t u k a,,,
411,kaurna,1577,,k u m a,,,
413,kukatja,1577,,k a m u,,,
414,kukuyalanji,1577,,ŋ a r a,,,
416,gurdjar,1577,,a r,,,
417,kuukuyau,1577,,k u j i,,,
418,kalalagawya,1577,,a,,,
420,martuwangka,1577,,k a,,,
421,martuwangka,1577,,k aː,,,
425,muruwari,1577,,t̪ a k a,,,
426,ngaanyatjarra,1577,,k a,,,
428,lowerriverland,1577,,m eː t o,,,
429,lowerriverland,1577,,m e t k o,,,
430,ngamini,1577,,j a,,,
431,narrinyeri,1577,,u ŋ e n a ŋ,,,
435,northerncoastalnyangumarta,1577,,p a,,,
436,nyamal,1577,,p a,,,
437,nyangumarta,1577,,p a,,,
438,nyunga,1577,,g u ɖ c i ɹ,,,
439,paakantyi,1577,,ŋ a,,,
440,panytyima,1577,,k u n u,,,
441,banggarla,1577,,i n t o,,,
442,bayungu,1577,,c i b i,,,
443,pitjantjatjara,1577,,m u n u,,,
444,ritarungo,1577,,b i l i,,,
445,dhalandji,1577,,c i b i,,,
446,dhargari,1577,,p a ɹ u,,,
448,wagaya,1577,,p a,,,
456,warlpiri,1577,,m a n u,,,
457,wanman,1577,,k a m u,,,
458,wariyangga,1577,,c i p i,,,
459,warumungu,1577,,k a m i,,,
460,warumungu,1577,,k a p i,,,
461,wathawurrung,1577,,b aː,,,
463,wikmungkan,1577,,a ʔ,,,
464,wiradhuri,1577,,g a n̪ a ŋ,,,
465,wirangunauo,1577,,b a,,,
467,yannhangu,1577,,g a,,,
468,yandruwandha,1577,,j a,,,
469,yandruwandha,1577,,ŋ a,,,
471,yawarawarga,1577,,ŋ o k a,,,
472,yindjibarndi,1577,,m u n d u,,,
474,yulparitja,1577,,k a m u,,,
475,yuwaalaraay,1577,,g aː l a n̪ a,,,
960,adnyamathanha,646,,a ɖ ɭ a i m b a,,,
962,alyawarr,646,,e t n m e n t̪,,,
964,arabana,646,,p u d n̪ u,,,
968,yugambehbandjalang,646,,d i m a n,,,
969,yugambehbandjalang,646,,m u ɹ u h j n g,,,
970,yugambehbandjalang,646,,m u ɹ u j n c,,,
977,dhangu,646,,g a n u ʔ,,,
980,dhuwal,646,,ɭ i r g i,,,
982,dieri,646,,p u t a,,,
983,dyaabugay,646,,b u l ŋ a n,,,
984,djambarrpuyngu,646,,g a n u ʔ,,,
986,djinang,646,,g i b i l b a l,,,
989,gamilaraay,646,,g i r a n,,,
995,kumbainggar,646,,c u l aː r,,,
1000,gupapuyngu,646,,ɭ i r g i,,,
1001,gurindji,646,,c a n i,,,
1003,guyani,646,,d u l t a ɹ a,,,
1004,sydney,646,,d̪ u l a ɹ a,,,
1005,jaru,646,,b a l g a ɹ a,,,
1007,djiwarli,646,,ŋ a r i,,,
1009,kalkutung,646,,p u m p a,,,
1010,gamilaraay,646,,g i r a n,,,
1011,karadjeri,646,,p u l k a ɹ u,,,
1015,kartujarra,646,,c u ɳ p a,,,
1016,kaurna,646,,b u ʈ a,,,
1020,kukatja,646,,k a w a ɳ,,,
1021,kukuyalanji,646,,n u l u,,,
1026,gurdjar,646,,n oː ŋ,,,
1027,kuukuyau,646,,p u ɹ k a,,,
1029,kalalagawya,646,,t i b i,,,
1030,kalalagawya,646,,k u n a ɹ,,,
1036,margany,646,,b u d̪ a,,,
1037,martuwangka,646,,c u ɳ p a,,,
1046,mudburra,646,,w u bː a,,,
1048,muruwari,646,,p u t̪ a,,,
1051,ngaanyatjarra,646,,t c u ɳ p a,,,
1053,lowerriverland,646,,p u t k o,,,
1054,ngamini,646,,t u ɹ p a,,,
1056,ngarinman,646,,l i ɲ a ɖ,,,
1058,ngarluma,646,,m i r i ɲ,,,
1059,narrinyeri,646,,w i r a c e,,,
1066,northerncoastalnyangumarta,646,,p u ɳ t a,,,
1067,nyamal,646,,c u n p a,,,
1068,nyangumarta,646,,c u ɳ p a,,,
1069,nyunga,646,,b u ŋ a,,,
1070,paakantyi,646,,b a l b a,,,
1073,panytyima,646,,ŋ a r i,,,
1074,banggarla,646,,m u r u,,,
1075,bayungu,646,,ŋ a r i,,,
1080,pitjantjatjara,646,,t iː t iː,,,
1081,pittapitta,646,,p u n̪ u,,,
1083,ritarungo,646,,g a n u ʔ,,,
1084,dhalandji,646,,ŋ a r i,,,
1085,dhargari,646,,c i w a,,,
1088,wagaya,646,,n̪ a nː g u n̪ a nː g u,,,
1095,ngura,646,,g i n d a,,,
1101,warlpiri,646,,j a ɳ a n t i,,,
1103,wanman,646,,c u ɳ p a,,,
1104,wariyangga,646,,ŋ a r i,,,
1105,warumungu,646,,w u pː a,,,
1107,wathawurrung,646,,m a n a l,,,
1111,wikmungkan,646,,t̪ u m k u ɹ k,,,
1112,wiradhuri,646,,d̪ aː g uː n,,,
1113,wirangunauo,646,,m a b a ɭ a,,,
1117,yannhangu,646,,m u ŋ a,,,
1118,yandruwandha,646,,m u d u,,,
1120,yawarawarga,646,,m a k a p u d a,,,
1122,yindjibarndi,646,,j i w a ɖ a,,,
1124,yortayorta,646,,b a n a r u,,,
1126,yulparitja,646,,c u ɳ p a,,,
1127,yuwaalaraay,646,,g i r a n,,,
1128,adnyamathanha,1461,,ŋ a,,,
1132,dhangu,1461,,ŋ a,,,
1133,dhuwal,1461,,ŋ a,,,
1135,dieri,1461,,ŋ u,,,
1136,dyaabugay,1461,,l a,,,
1137,djambarrpuyngu,1461,,ŋ u ɹ,,,
1139,djinang,1461,,b a ɹ g i,,,
1141,gamilaraay,1461,,g a,,,
1144,kumbainggar,1461,,a,,,
1146,gupapuyngu,1461,,ŋ u ɹ a,,,
1147,sydney,1461,,w ɔ,,,
1148,jaru,1461,,l a,,,
1151,djiwarli,1461,,a,,,
1152,kalkutung,1461,,t̪ i,,,
1153,gamilaraay,1461,,g a,,,
1154,karadjeri,1461,,ŋ g a,,,
1156,kartujarra,1461,,ŋ k a,,,
1158,kukatja,1461,,t c a n i t c u r a,,,
1159,gurdjar,1461,,n p i l a ɲ,,,
1160,gurdjar,1461,,l m p i l a ɲ,,,
1161,kalalagawya,1461,,n u,,,
1164,martuwangka,1461,,c a,,,
1170,muruwari,1461,,a,,,
1172,ngarinman,1461,,l a ŋ k a k a c a k u l a,,,
1174,ngarluma,1461,,b u w i,,,
1175,narrinyeri,1461,,a n,,,
1178,northerncoastalnyangumarta,1461,,ŋ i,,,
1179,nyamal,1461,,ŋ u,,,
1180,nyangumarta,1461,,ŋ a,,,
1181,nyunga,1461,,j e a ɹ u ŋ e ɹ j u k i e,,,
1182,paakantyi,1461,,k a,,,
1183,panytyima,1461,,k a,,,
1184,bayungu,1461,,a,,,
1185,pitjantjatjara,1461,,ŋ k a,,,
1186,pittapitta,1461,,i n a,,,
1187,ritarungo,1461,,ŋ a ɹ a,,,
1188,dhalandji,1461,,a,,,
1189,dhargari,1461,,d a,,,
1194,ngura,1461,,l a ŋ a,,,
