ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
gurindji,Gurindji,,,,guri1247,
kaurna,Kaurna,,,,kaur1267,
dieri,Dieri,,,,dier1241,
yugambehbandjalang,Yugambeh-Bandjalang,,,,band1339,
dhargari,Dhargari,,,,dhar1247,
yulparitja,Yulparitja,,,,yulp1238,
kartujarra,Kartujarra,,,,kart1247,
yawarawarga,Yawarawarga,,,,yawa1258,
gurdjar,Gurdjar,,,,gurd1238,
bayungu,Bayungu,,,,bayu1240,
muruwari,Muruwari,,,,muru1266,
karadjeri,Karadjeri,,,,kara1476,
dyaabugay,Dyaabugay,,,,dyaa1242,
kukuyalanji,Kuku-Yalanji,,,,kuku1273,
ngarluma,Ngarluma,,,,ngar1287,
kukatja,Kukatja,,,,kuka1246,
kuukuyau,Kuuku-Ya'u,,,,kuuk1238,
gupapuyngu,Gupapuyngu,,,,gupa1247,
panytyima,Panytyima,,,,pany1241,
arabana,Arabana,,,,arab1267,
narrinyeri,Narrinyeri,,,,narr1259,
kalalagawya,Kala Lagaw Ya,,,,kala1377,
kumbainggar,Kumbainggar,,,,kumb1268,
kalkutung,Kalkutung,,,,kalk1246,
gamilaraay,Gamilaraay,,,,gami1243,
wagaya,Wagaya,,,,waga1260,
wirangunauo,Wirangu-Nauo,,,,wira1260,
wathawurrung,Wathawurrung,,,,wath1238,
wariyangga,Wariyangga,,,,wari1262,
mudburra,Mudburra,,,,mudb1240,
pitjantjatjara,Pitjantjatjara,,,,pitj1243,
ngamini,Ngamini,,,,ngam1284,
pittapitta,Pitta Pitta,,,,pitt1247,
djiwarli,Djiwarli,,,,djiw1241,
yindjibarndi,Yindjibarndi,,,,yind1247,
warumungu,Warumungu,,,,waru1265,
dhangu,Dhangu,,,,dhan1270,
sydney,Sydney,,,,sydn1236,
yuwaalaraay,Yuwaalaraay,,,,yuwa1242,
margany,Margany,,,,marg1253,
wanman,Wanman,,,,wanm1242,
paakantyi,Paakantyi,,,,darl1243,
ritarungo,Ritarungo,,,,rita1239,
nyangumarta,Nyangumarta,,,,nyan1301,
alyawarr,Alyawarr,,,,alya1239,
yandruwandha,Yandruwandha,,,,yand1253,
nyunga,Nyunga,,,,nyun1247,
ngura,Ngura,,,,ngur1261,
ngaanyatjarra,Ngaanyatjarra,,,,ngaa1240,
lowerriverland,Lower Riverland,,,,lowe1402,
northerncoastalnyangumarta,Northern Coastal Nyangumarta,,,,nort2754,
jaru,Jaru,,,,jaru1254,
guyani,Guyani,,,,guya1249,
djambarrpuyngu,Djambarrpuyngu,,,,djam1256,
banggarla,Banggarla,,,,bang1339,
warlpiri,Warlpiri,,,,warl1254,
nyamal,Nyamal,,,,nyam1271,
djinang,Djinang,,,,djin1253,
adnyamathanha,Adnyamathanha,,,,adny1235,
wiradhuri,Wiradhuri,,,,wira1262,
dhuwal,Dhuwal,,,,dhuw1249,
wikmungkan,Wik-Mungkan,,,,wikm1247,
yortayorta,Yorta Yorta,,,,yort1237,
yannhangu,Yan-nhangu,,,,yann1237,
martuwangka,Martu Wangka,,,,mart1256,
ngarinman,Ngarinman,,,,ngar1235,
dhalandji,Dhalandji,,,,dhal1245,
