ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
1,quueyu,98,,t ə ɬ y e,,,
2,apatari,98,,m ɨ l a ŋ r ɨ,,,
4,jirel,98,,g a ŋ e,,,
5,oldchinese,98,,k iː j,,,
6,lhota,98,,oː m p a,,,
7,lushai,98,,a n z a i n,,,
8,lepcha,98,,g u n,,,
9,sgaw,98,,kʰ ɛ l ə ʔ,,,
10,rourou,98,,tsʲ i æ,,,
13,dulong,98,,s ɨ n a ʔ,,,
14,tangkul,98,,h u p t a,,,
15,pao,98,,k a l o ʔ l o,,,
17,kulung,98,,kʰ ɔː l ɔ,,,
18,geker,98,,l ɔ n ɨ ʔ,,,
19,ersu,98,,nʲ o k u a,,,
21,aomongsen,98,,t e l u,,,
22,sherpa,98,,t o k,,,
23,rawang,98,,ʃ a ŋ b ɛ,,,
25,bokar,98,,k ə b a ŋ,,,
27,hmar,98,,p o p o,,,
28,nusu,98,,l i,,,
29,geba,98,,l u s a s ɛ̃ ∼,,,
30,manu,98,,l ṵ b ɔ,,,
31,aliketibetan,98,,tsʰ a ŋ m æ,,,
32,shixing,98,,l a w a,,,
35,ninglangnaxi,98,,d ɨ t a,,,
36,khaling,98,,kʰ o l e ŋ,,,
38,wkayah,98,,l ɔ̰ p l i,,,
39,writtentibetan,98,,m tʰ a ã ∼ d a g,,,
41,batangtibetan,98,,j ö tsʰ ɛ ʔ,,,
43,gurung,98,,t aː n,,,
44,lhasatibetan,98,,tsʰ a ŋ m a,,,
45,garo,98,,p i l a k,,,
46,hillmiri,98,,m ɨ l l ɨ,,,
47,limbu,98,,k ɛ r ɛ k,,,
50,hakka,98,,d u,,,
51,motuom,98,,tʰ a m tsʲ e ʔ,,,
52,tujia,98,,x u nʲ i,,,
53,beijing,98,,d oː u,,,
54,zhaba,98,,tʃ a̰ t,,,
55,kaike,98,,s o l o,,,
56,yintale,98,,l u l u,,,
57,jinuo,98,,tʃ ə,,,
58,serdukpen,98,,z e b d o,,,
59,namuzi,98,,a k ɛ m u,,,
60,xiaxetibetan,98,,h a n o,,,
62,liangmai,98,,m a t i u,,,
63,dimasa,98,,k u r u p,,,
64,yeinbaw,98,,p w a̰ i t r v,,,
65,nqiang,98,,k i n d i,,,
66,lijiangnaxi,98,,n d ɨ χ ə m b,,,
67,zeme,98,,p e l e n e,,,
68,jingpo,98,,j o ŋ,,,
69,bodo,98,,b o ʔ j,,,
70,fuzhou,98,,t o u,,,
71,burmese,98,,a l u mː,,,
72,horpa,98,,tʰ ə m tsʲ ɛ,,,
73,aochungli,98,,a ʒ a k,,,
74,padam,98,,a p ɨ ŋ,,,
75,bola,98,,a l a̰ p,,,
76,guiqiong,98,,g i ɛ̃ ∼ ʒ ɨ,,,
79,writtentibetan,98,,tʰ a m s tsʲ a d,,,
80,zeme,98,,r a m m e,,,
81,aochungli,98,,t e m a ŋ,,,
82,quueyu,646,,tʰ ə p k a p,,,
83,dhimal,646,,b u s u r i,,,
84,apatari,646,,m u b u,,,
86,jirel,646,,tʰ a l a,,,
87,oldchinese,646,,s m ə j,,,
88,idu,646,,i g u,,,
89,lhota,646,,m i p oː k,,,
90,lushai,646,,m e i v aː p,,,
91,lepcha,646,,y u,,,
92,sgaw,646,,pʰ a ʔ sʰ a,,,
93,rourou,646,,n a m a pʰ u,,,
95,dulong,646,,p a p u,,,
96,tangkul,646,,h o t l a,,,
97,pao,646,,pʰ a,,,
98,kulung,646,,tsʰ u b u i,,,
99,geker,646,,pʰ a sʰ a,,,
100,ersu,646,,ə r,,,
102,aomongsen,646,,o p u,,,
103,sherpa,646,,tʰ a l dʒ u m,,,
104,rawang,646,,kʰ a pʰ u,,,
106,bokar,646,,m ə r eː,,,
107,hmar,646,,p i l v u t,,,
108,nusu,646,,dʒ ɛ r nʰ ɛ r,,,
109,geba,646,,pʰ ɛ ʔ sʰ ɛ,,,
110,manu,646,,k u pʰ a,,,
111,shixing,646,,p a j i,,,
114,ninglangnaxi,646,,l u ə,,,
115,khaling,646,,p y y y,,,
117,wkayah,646,,k ɔ pʰ ɛ,,,
118,writtentibetan,646,,g o tʰ a l,,,
119,batangtibetan,646,,tʰ e i k a,,,
121,gurung,646,,m e b r o,,,
122,lhasatibetan,646,,kʰ o tʰ ɛ,,,
123,garo,646,,t a p r a,,,
124,hillmiri,646,,m a j a,,,
125,limbu,646,,tʰ a p p u,,,
127,hakka,646,,f o i,,,
128,motuom,646,,tʰ u l u,,,
129,tujia,646,,p u tsʰ i,,,
130,beijing,646,,x uː i,,,
131,zhaba,646,,m o p,,,
132,kaike,646,,m a lʰ a,,,
133,yintale,646,,pʰ a,,,
134,jinuo,646,,a m ə,,,
135,serdukpen,646,,m i,,,
136,namuzi,646,,l a,,,
137,xiaxetibetan,646,,tʰ a,,,
138,lusu,646,,zʲ y,,,
139,dimasa,646,,tʰ a p l a,,,
140,yeinbaw,646,,pʰ a,,,
141,nqiang,646,,tsʲ i tsʲ i b u z ṵ,,,
142,lijiangnaxi,646,,ɣ ɨ,,,
143,zeme,646,,t i n b u n,,,
144,jingpo,646,,t a p,,,
145,bodo,646,,h a ŋ g a r,,,
146,fuzhou,646,,x u i,,,
147,burmese,646,,p r a,,,
148,horpa,646,,f l ɛ,,,
149,aochungli,646,,a p,,,
150,padam,646,,m e d b u,,,
151,bola,646,,m i m a p,,,
152,guiqiong,646,,tʂʰ ɨ,,,
153,quueyu,646,,tʰ ə p k a p,,,
154,apatari,646,,m u y u,,,
155,jirel,646,,tʰ a l a,,,
156,lushai,646,,v u t,,,
157,kulung,646,,tsʰ u b u i,,,
160,hmar,646,,m e i w aː m,,,
162,khaling,646,,p y y y,,,
164,limbu,646,,tʰ a p p u,,,
165,dhimal,1204,,d h a l e,,,
166,jirel,1204,,k o k t e n,,,
167,oldchinese,1204,,b h a j,,,
168,lhota,1204,,f u,,,
169,lushai,1204,,h a w ŋ,,,
170,lepcha,1204,,a p i,,,
171,sgaw,1204,,ʈ e ʔ pʰ i ʔ,,,
173,tangkul,1204,,a k o r,,,
174,pao,1204,,pʰ e ʔ,,,
176,kulung,1204,,h ɔ u,,,
177,geker,1204,,ʈ ə ɨ pʰ ʌ i ʔ,,,
178,aomongsen,1204,,k a p,,,
179,sherpa,1204,,k o w a ʃ i ŋ,,,
180,rawang,1204,,s ɛ,,,
183,hmar,1204,,h a w ŋ,,,
184,geba,1204,,pʰ a ʔ,,,
185,manu,1204,,pʰ ɔ,,,
188,khaling,1204,,k a,,,
189,wkayah,1204,,tsʲ ɔ pʰ a,,,
190,writtentibetan,1204,,p a g s p a,,,
192,gurung,1204,,pʰ i,,,
193,garo,1204,,b i g i l,,,
194,hillmiri,1204,,e p ə n,,,
195,limbu,1204,,h oː r i k,,,
196,hakka,1204,,p i,,,
197,beijing,1204,,p i,,,
198,kaike,1204,,s w ɔ p,,,
199,yintale,1204,,s e i n b e i,,,
200,serdukpen,1204,,s k u k,,,
201,liangmai,1204,,g i,,,
202,dimasa,1204,,b o ŋ u r,,,
203,yeinbaw,1204,,θ ɨ̃ ∼ pʰ e,,,
204,zeme,1204,,g e i,,,
205,bodo,1204,,b i g u ʔ r,,,
206,fuzhou,1204,,pʰ u i,,,
