ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
fuzhou,Fuzhou,,,,mind1253,
sgaw,Sgaw,,,,sgaw1245,
jingpo,Jingpo,,,,kach1280,
bola,Bola,,,,pela1242,
dulong,Dulong,,,,drun1238,
geba,Geba,,,,geba1237,
garo,Garo,,,,garo1247,
dhimal,Dhimal,,,,dhim1246,
writtentibetan,Written Tibetan,,,,tibe1272,
geker,Geker,,,,geko1235,
kaike,Kaike,,,,kaik1246,
hmar,Hmar,,,,hmar1241,
bodo,Bodo,,,,bodo1269,
aomongsen,Ao-Mongsen,,,,mong1332,
dimasa,Dimasa,,,,dima1251,
tujia,Tujia,,,,nort2732,
serdukpen,Serdukpen,,,,sher1257,
apatari,Apatari,,,,apat1240,
ersu,Ersu,,,,ersu1241,
burmese,Burmese,,,,nucl1310,
yeinbaw,Yeinbaw,,,,yinb1236,
idu,Idu,,,,idum1241,
zhaba,Zhaba,,,,zhab1238,
lusu,Lüsu,,,,lisu1250,
wkayah,W. Kayah,,,,west2409,
kulung,Kulung,,,,kulu1253,
horpa,Horpa,,,,horp1239,
lhasatibetan,Lhasa Tibetan,,,,tibe1272,
shixing,Shixing,,,,shix1238,
jirel,Jirel,,,,jire1238,
hillmiri,Hill-Miri,,,,nyis1236,
tangkul,Tangkul,,,,tang1336,
aliketibetan,Alike Tibetan,,,,amdo1237,
gurung,Gurung,,,,guru1261,
hakka,Hakka,,,,hakk1236,
khaling,Khaling,,,,khal1275,
zeme,Zeme,,,,zeme1240,
limbu,Limbu,,,,limb1266,
beijing,Beijing,,,,mand1415,
liangmai,Liangmai,,,,lian1251,
lepcha,Lepcha,,,,lepc1244,
lushai,Lushai,,,,lush1249,
nqiang,N-Qiang,,,,nort2722,
pao,Pa'O,,,,paok1235,
manu,Manu,,,,manu1255,
lhota,Lhota,,,,loth1237,
motuom,Motuo-M,,,,dakp1242,
xiaxetibetan,Xiaxe Tibetan,,,,amdo1237,
lijiangnaxi,Lijiang-Naxi,,,,lich1241,
ninglangnaxi,Ninglang-Naxi,,,,naxi1245,
oldchinese,Old Chinese,,,,oldc1244,
guiqiong,Guiqiong,,,,guiq1238,
namuzi,Namuzi,,,,namu1246,
jinuo,Jinuo,,,,youl1235,
padam,Padam,,,,pada1257,
bokar,Bokar,,,,bori1243,
sherpa,Sherpa,,,,sher1255,
rawang,Rawang,,,,rawa1265,
batangtibetan,Batang Tibetan,,,,kham1282,
aochungli,Ao-Chungli,,,,chon1286,
quueyu,Quueyu,,,,quey1238,
nusu,Nusu,,,,nusu1239,
yintale,Yintale,,,,yint1235,
rourou,Rourou,,,,nusu1239,
