ID,Name,Description,Concepticon_ID
1203,long,,1203
937,bird,,937
1219,worm,,1219
1554,man,,1554
2009,dog,,2009
1498,two,,1498
628,leaf,,628
1410,know,,1410
1212,we,,1212
1458,say,,1458
948,water,,948
634,meat,,634
1417,kill,,1417
1403,bite,,1403
674,mouth,,674
1232,warm,,1232
1301,foot,,1301
1256,head,,1256
clawnail,claw(nail),,
1240,not,,1240
1393,horn,,1393
1406,far,,1406
141,burn tr.,,141
1394,bone,,1394
1411,lie,,1411
1585,sleep,,1585
156,red,,156
1282,fat n.,,1282
1198,many,,1198
1380,tooth,,1380
1228,earth,,1228
2249,thin,,2249
1287,cold,,1287
1335,white,,1335
227,fish,,227
1201,feather,,1201
1247,ear,,1247
744,egg,,744
960,wind,,960
946,blood,,946
639,mountain,,639
1040,hair,,1040
1235,who,,1235
221,fire,,221
1336,eat,,1336
1221,nose,,1221
1274,salt,,1274
1224,liver,,1224
1942,near,,1942
906,tree,,906
670,root,,670
1401,drink,,1401
671,sand,,671
1441,fly v.,,1441
646,ashes,,646
683,person,,683
1425,green,,1425
1035,good,,1035
857,stone,,857
1220,tail,,1220
1408,hear,,1408
658,rain,,658
1371,knee,,1371
1214,this,,1214
1494,die,,1494
1645,short,,1645
962,woman,,962
1231,new,,1231
1313,moon,,1313
1392,louse,,1392
1439,swim,,1439
1277,hand,,1277
1223,heart,,1223
667,road,,667
1446,come,,1446
1447,give,,1447
98,all,,98
78,that,,78
1493,one,,1493
1402,breast,,1402
1429,full,,1429
1430,star,,1430
walkgo,walk (go),,
163,black,,163
1251,belly,,1251
1398,dry,,1398
1424,yellow,,1424
1204,bark,,1204
1409,see,,1409
1343,sun,,1343
1236,what,,1236
1416,sit,,1416
1202,big,,1202
1226,year,,1226
1233,night,,1233
714,seed,,714
730,snake,,730
1489,cloud,,1489
1246,small,,1246
1210,heavy,,1210
1395,round,,1395
1205,tongue,,1205
1442,stand,,1442
1248,eye,,1248
1333,neck,,1333
778,smoke,,778
1215,thou,,1215
1405,name,,1405
763,skin,,763
1209,I,,1209
