ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	INFOMAPID
1	Adnyamathanha	adny1235	ABOVE		ara	a r a	V R V	a r a	A R A	ABOVE:18	18	ABOVE:11	11
2	Alyawarr	alya1239	ABOVE		erɹul	e r ɹ u l	V R R V R	e r r u l	E R R Y L	ABOVE:36	36	ABOVE:10	10
3	Alyawarr	alya1239	ABOVE		erɹuleŋ	e r ɹ u l e ŋ	V R R V R V N	e r r u l e N	E R R Y L E N	ABOVE:36	36	ABOVE:10	10
5	Arabana	arab1267	ABOVE		aɹata	a ɹ a t a	V R V T V	a r a t a	A R A T A	ABOVE:18	18	ABOVE:11	11
92	Banggarla	bang1339	ABOVE		kakːanːaɹa	k a kː a nː a ɹ a	K V K V N V R V	k a k a n a r a	K A K A N A R A	ABOVE:34	34	ABOVE:1	1
93	Bayungu	bayu1240	ABOVE		kankaɹa	k a n k a ɹ a	K V N K V R V	k a n k a r a	K A N K A R A	ABOVE:34	34	ABOVE:1	1
100	Dhalandji	dhal1245	ABOVE		kankaɹa	k a n k a ɹ a	K V N K V R V	k a n k a r a	K A N K A R A	ABOVE:34	34	ABOVE:1	1
14	Dhangu	dhan1270	ABOVE		garwaɹ	g a r w a ɹ	K V R W V R	g a r w a r	K A R W A R	ABOVE:56	56	ABOVE:2	2
101	Dhargari	dhar1247	ABOVE		jiraɹa	j i r a ɹ a	J V R V R V	y i r a r a	J I R A R A	ABOVE:31	31	ABOVE:5	5
18	Dhuwal	dhuw1249	ABOVE		garwaɹ	g a r w a ɹ	K V R W V R	g a r w a r	K A R W A R	ABOVE:56	56	ABOVE:2	2
20	Dieri	dier1241	ABOVE		miɹi	m i ɹ i	M V R V	m i r i	M I R I	ABOVE:17	17	ABOVE:12	12
22	Djambarrpuyngu	djam1256	ABOVE		garwaɹ	g a r w a ɹ	K V R W V R	g a r w a r	K A R W A R	ABOVE:56	56	ABOVE:2	2
