ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	TURCHINID
6912	Alak	alk	I, me		ʔal	ʔ a l	7 a l	H V R	H A L	5	9	I, me:HR	4
6913	Bahnar-Golar	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1	I, me:HN	3
6914	Bahnar-Kontum	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1	I, me:HN	3
6915	Bahnar-Pleiku	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1	I, me:HN	3
6916	Brao	brb	I, me		ʔaj	ʔ a j	7 a y	H V J	H A J	6	10	I, me:HJ	2
6920	Cua	cua	I, me		go	g o	g o	K V	K U	7	11	I, me:KH	6
6921	Halang	hal	I, me		ʔau	ʔ au	7 a	H V	H A	6	10	I, me:HH	1
6922	Jeh	jeh	I, me		ʔaw	ʔ a w	7 a w	H V W	H A W	6	10	I, me:HW	5
6923	Jru-Laven	lbo	I, me		ʔaːj	ʔ aː j	7 a y	H V J	H A J	6	10	I, me:HJ	2
6927	Mnong-Rölöm	mng	I, me		ʔaɲ	ʔ a ɲ	7 a H	H V N	H A N	1	1	I, me:HN	3
6928	Nyaheun	nev	I, me		ʔaː	ʔ aː	7 a	H V	H A	6	10	I, me:HH	1
6930	Rengao	ren	I, me		ʔaw	ʔ a w	7 a w	H V W	H A W	6	10	I, me:HW	5
6932	Sedang	sed	I, me		ʔaw	ʔ a w	7 a w	H V W	H A W	6	10	I, me:HW	5
6933	Sre	kpm	I, me		ʔaɲ	ʔ a ɲ	7 a H	H V N	H A N	1	1	I, me:HN	3
6934	Stieng	sti	I, me		hej	h e j	h e y	H V J	H E J	9	12	I, me:HJ	2
6937	Bru-Talan	oog	I, me		kɨː	k ɨː	k I	K V	K I	10	2	I, me:KH	6
6938	Bru-Ubon	bru	I, me		kɤw	k ɤ w	k o w	K V W	K E W	10	2	I, me:KW	8
6939	In	irr	I, me		kɨː	k ɨː	k I	K V	K I	10	2	I, me:KH	6
6940	Katang	kgd	I, me		kaw	k a w	k a w	K V W	K A W	10	2	I, me:KW	8
6941	Katu-AnDiem	ktv	I, me		kuː	k uː	k u	K V	K Y	10	2	I, me:KH	6
