ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	TURCHINID
16523	Penrhyn	?	above		runga	r u n g a	r u n g a	R V N K V	R Y N K A	9	6	above:RN	8
812	Yami	?	above		tiŋatoʔ	t i ŋ a t o ʔ	t i N a t o 7	T V N V T V H	T I N A T U H	16	3	above:TN	11
54886	Woleai	?	above		woa	w oa	w o	W V	W U	2	5	above:WH	13
34850	Rennellese	?	above		a/gunga/	a g u n g a	a g u n g a	V K V N K V	A K Y N K A	9	6	above:HK	1
49505	NakanaiBilekiDialect	?	above		oata	oa t a	o t a	V T V	U T A	1	1	above:HT	5
18783	Rarotongan	?	above		runga	r u n g a	r u n g a	R V N K V	R Y N K A	9	6	above:RN	8
51646	Rurutuan	?	above		nuʔa	n u ʔ a	n u 7 a	N V H V	N Y H A	9	6	above:NH	6
19638	Iraralay	?	above		towos	t o w o s	t o w o s	T V W V S	T U W U S	17	4	above:TW	12
19639	Iraralay	?	above		tingato	t i n g a t o	t i n g a t o	T V N K V T V	T I N K A T U	16	3	above:TN	11
37341	FutunaEast	?	above		a/luga/	a l u g a	a l u g a	V R V K V	A L Y K A	9	6	above:HR	4
20985	Anuta	?	above		ruŋa	r u ŋ a	r u N a	R V N V	R Y N A	9	6	above:RN	8
5313	Imorod	?	above		teyngato	t ey n g a t o	t e n g a t o	T V N K V T V	T E N K A T U	16	3	above:TN	11
38459	Marquesan	?	above		una	u n a	u n a	V N V	Y N A	9	6	above:HN	2
22491	Tuamotu	?	above		ruŋa	r u ŋ a	r u N a	R V N V	R Y N A	9	6	above:RN	8
38937	Carolinian	?	above		woo	w oo	w o	W V	W U	2	5	above:WH	13
55796	Cebuano	?	above		ibabaw	i b a b a w	i b a b a w	V P V P V W	I P A P A W	2	5	above:HP	3
58633	Ivasay	?	above		ato	a t o	a t o	V T V	A T U	1	1	above:HT	5
58634	Ivasay	?	above		tohos	t o h o s	t o h o s	T V H V S	T U H U S	17	4	above:TH	9
26551	DayakNgaju	?	above		hunjun	h u n j u n	h u n y u n	H V N J V N	H Y N J Y N	15	2	above:HN	2
43192	TagalogAnthonydelaPaz	?	above		itaas	i t aa s	i t a s	V T V S	I T A S	1	1	above:HT	5
42701	RapanuiEasterIsland	?	above		ruga	r u g a	r u g a	R V K V	R Y K A	9	6	above:RK	7
10760	Lakalai	?	above		oata	oa t a	o t a	V T V	U T A	1	1	above:HT	5
10081	Luangiua	?	above		luŋa	l u ŋ a	l u N a	R V N V	L Y N A	9	6	above:RN	8
