ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	INFERRED_CLASS	TURCHINID
1	Adnyamathanha	adny1235	ABOVE		ara	a r a	a r a	V R V	A R A	ABOVE:18	18	ABOVE:HR	1
2	Alyawarr	alya1239	ABOVE		erɹul	e r ɹ u l	e r r u l	V R R V R	E R R Y L	ABOVE:36	36	ABOVE:HR	1
3	Alyawarr	alya1239	ABOVE		erɹuleŋ	e r ɹ u l e ŋ	e r r u l e N	V R R V R V N	E R R Y L E N	ABOVE:36	36	ABOVE:HR	1
5	Arabana	arab1267	ABOVE		aɹata	a ɹ a t a	a r a t a	V R V T V	A R A T A	ABOVE:18	18	ABOVE:HR	1
8	Yugambeh-Bandjalang	band1339	ABOVE		waj	w a j	w a y	W V J	W A J	ABOVE:42	42	ABOVE:WJ	21
14	Dhangu	dhan1270	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	ABOVE:KR	10
16	Sydney	sydn1236	ABOVE		buɹawa	b u ɹ a w a	b u r a w a	P V R V W V	P Y R A W A	ABOVE:27	27	ABOVE:PR	16
18	Dhuwal	dhuw1249	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	ABOVE:KR	10
20	Dieri	dier1241	ABOVE		miɹi	m i ɹ i	m i r i	M V R V	M I R I	ABOVE:17	17	ABOVE:MR	12
21	Dyaabugay	dyaa1242	ABOVE		waŋgaɹ	w a ŋ g a ɹ	w a N g a r	W V N K V R	W A N K A R	ABOVE:32	32	ABOVE:WN	22
22	Djambarrpuyngu	djam1256	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	ABOVE:KR	10
24	Djinang	djin1253	ABOVE		gurgi	g u r g i	g u r g i	K V R K V	K Y R K I	ABOVE:15	15	ABOVE:KR	10
27	Gamilaraay	gami1243	ABOVE		ŋuriba	ŋ u r i b a	N u r i b a	N V R V P V	N Y R I P A	ABOVE:26	26	ABOVE:NR	14
31	Kumbainggar	kumb1268	ABOVE		waɹu	w a ɹ u	w a r u	W V R V	W A R Y	ABOVE:13	13	ABOVE:WR	23
35	Gupapuyngu	gupa1247	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	ABOVE:KR	10
36	Gurindji	guri1247	ABOVE		kankula	k a n k u l a	k a n k u l a	K V N K V R V	K A N K Y L A	ABOVE:34	34	ABOVE:KN	8
38	Guyani	guya1249	ABOVE		kaɹa	k a ɹ a	k a r a	K V R V	K A R A	ABOVE:18	18	ABOVE:KR	10
39	Sydney	sydn1236	ABOVE		buɹawɔ	b u ɹ a w ɔ	b u r a w o	P V R V W V	P Y R A W U	ABOVE:1	1	ABOVE:PR	16
