language	iso_code	gloss	global_id	local_id	transcription	cognate_class
ProtoCentralMalayoPolynesian	?	tocome	?	?	mai	1
NakanaiBilekiDialect	?	ten	?	?	savulusasa	5
Maisin	?	mosquito	?	?	namu	1
Kusaie	?	tohold	?	?	sruh	16
Buli	?	tokill	?	?	famat	2
Buli	?	tokill	?	?	pun	1
ManoboWesternBukidnon	?	root	?	?	dalid	9
KwaraaeSolomonIslands	?	woods/forest	?	?	masuua	21
SamalSiasiDialect	?	child	?	?	makannak	1
Bobot	?	tobreathe	?	?	manowa	1
ChuukeseAKATrukese	?	tooth	?	?	ŋu	30
KomeringKayuAgungPendatang	?	two	?	?	ʁuwe	1
KaulongAuVillage	?	tobuy	?	?	kul	15
Mangareva	?	tofall	?	?	aka/too/	14
Mangareva	?	tofall	?	?	topa	13
Mangareva	?	tofall	?	?	marere	10
Bilibil	?	wind	?	?	tim	43
MunaKatobuTongkunoDialect	?	toeat	?	?	afumaa	10
ManoboTigwaIglogsadDialect	?	small	?	?	dɨqisɨk	1
Mussau	?	white	?	?	usousoana	34
TahitianthCentury	?	four	?	?	haa	1
Kwaio	?	todie,bedead	?	?	mae	1
GhariNdi	?	dull,blunt	?	?	paru	54
RapanuiEasterIsland	?	needle	?	?	hika	9
Nila	?	thin	?	?	nnisu	1
Lampung	?	tohit	?	?	ŋəgəbuk	22
BatakPalawan	?	tosleep	?	?	qɨdɨp	30
BontocGuinaang	?	rat	?	?	qotot	25
Hawaiian	?	tosuck	?	?	omo	7
SangirTabukangDialect	?	tohunt	?	?	mɨnganuq	1
Bellona	?	tail	?	?	siku	13
Agta	?	blood	?	?	dʌgʌ	1
Kiribati	?	thatch/roof	?	?	ato	1
Mota	?	sea	?	?	lama	14
Mota	?	sea	?	?	nawo	42
Nggela	?	fruit	?	?	vua	1
IfiraMeleMeleFila	?	lightning	?	?	wira	2
TagbanwaKalamianCoronIslandDialect	?	wide	?	?	mawayang	1
ProtoChuukic	?	blood	?	?	ccaa	1
Madurese	?	tohit	?	?	pokol	27
Tuamotu	?	tofall	?	?	hiŋa	44
Tuamotu	?	tofall	?	?	marere	12
Tuamotu	?	tofall	?	?	topa	13
Tuamotu	?	tofall	?	?	makiri	10
Kisar	?	right	?	?	malanna	1
Nauru	?	small	?	?	oniŋ	39
Mapun	?	tovomit	?	?	uta	1
Banggi	?	todie,bedead	?	?	mati	1
Inabaknon	?	nose	?	?	urong	1
Bonfia	?	in,inside	?	?	lalan	1
Tuvalu	?	woods/forest	?	?	ulu	15
Tuvalu	?	woods/forest	?	?	vao	14
Kazukuru	?	tosleep	?	?	pinou	15
ChuukeseAKATrukese	?	rotten	?	?	mammach	17
ChuukeseAKATrukese	?	rotten	?	?	pwa	18
ManoboAtadownriver	?	rain	?	?	qudan	1
Lou	?	near	?	?	kasoŋ	11
PulauArguni	?	tochoose	?	?	pili	1
AklanonBisayan	?	ash	?	?	ʔabuh	1
OldJavanese	?	wife	?	?	bini	5
Mangareva	?	shy,ashamed	?	?	akamaa	1
Maleu	?	night	?	?	boŋ	1
Ghari	?	wind	?	?	ɣuɣuri	12
Kwamera	?	hand	?	?	rəŋə	33
Tagalog	?	tocook	?	?	magluto	20
ApmaSuruKavian	?	tosew	?	?	solo	32
Baliledo	?	shoulder	?	?	kabaki	1
Lala	?	two	?	?	lua	1
BauroBarooVillage	?	tolaugh	?	?	mana	51
Kapingamarangi	?	how?	?	?	pehee	11
ManoboKalamansigCotabatoParilDialect	?	wife	?	?	qɨsawa	1
Saaroa	?	ear	?	?	charunga	1
Agta	?	seven	?	?	pitu	1
IlongotKakidugen	?	root	?	?	ǥamut	3
KenyahLongAnap	?	bone	?	?	tulaŋ	1
Wuvulu	?	breast	?	?	tutu	1
Melayu	?	twenty	?	?	duapuluh	3
Emae	?	dog	?	?	kurii	7
HituAmbon	?	toplant	?	?	tani	2
IvatanBascoDialect	?	toblow	?	?	qalopan	24
Manggarai	?	intestines	?	?	tuka	4
FutunaEast	?	green	?	?	moto	10
Emae	?	night	?	?	poo	1
IvatanBascoDialect	?	tosteal	?	?	takawɨn	1
TannaSouthwest	?	intestines	?	?	nəsinau	1
Wogeo	?	year	?	?	baras	14
DayakNgaju	?	ash	?	?	kawu	1
Langalanga	?	tosplit	?	?	kwaikaria	53
Agta	?	smoke	?	?	qʌsok	53
DumagatCasiguran	?	big	?	?	dɨkɨl	22
SubanunSindangan	?	tochew	?	?	mimaqin	1
LwepeSantaCruz	?	tosteal	?	?	pla	1
Auhelawa	?	person/humanbeing	?	?	tomowa	1
Nila	?	night	?	?	mɛlna	4
Dai	?	woman/female	?	?	faton	5
Woleai	?	woman/female	?	?	faifilɛ	1
Woleai	?	woman/female	?	?	shaobuto	7
Sunda	?	eight	?	?	dalapan	4
Geser	?	leg/foot	?	?	ke	6
ManoboTigwaIglogsadDialect	?	bird	?	?	manukmanuk	1
Lampung	?	tohold	?	?	məguŋ	32
Manihiki	?	tosteal	?	?	kaiaa	7
Mota	?	fruit	?	?	woai	1
ProtoCentralMalayoPolynesian	?	rope	?	?	tali	1
ProtoCentralMalayoPolynesian	?	rope	?	?	waʀəj	2
Wuna	?	shy,ashamed	?	?	noambano	17
EastMasela	?	long	?	?	leri	4
Manihiki	?	tovomit	?	?	ruaki	8
Basai	?	hair	?	?	bukəs	1
Baliledo	?	tochew	?	?	panyamugi	3
Waropen	?	tosniff,smell	?	?	asasa	19
Puluwatese	?	we	?	?	kiʀ	1
MagoriSouthEastPapua	?	toswell	?	?	boboga	18
Mota	?	thou	?	?	niko	1
Butuanon	?	tohear	?	?	modungog	20
Aputai	?	in,inside	?	?	laralan	1
Puluwatese	?	heavy	?	?	ccowu	9
SaranganiBlaan	?	belly	?	?	tiqɨn	1
Blablanga	?	bone	?	?	hnumana	11
Hanunoo	?	big	?	?	daka	22
Samoan	?	heavy	?	?	mamafa	1
Tuvalu	?	toburn	?	?	tuugina	7
Tuvalu	?	toburn	?	?	tutu	6
KenyahLongAnap	?	tolaugh	?	?	petawa	1
CiuliAtayal	?	rotten	?	?	masburuk	1
Pondok	?	toknow,beknowledgeable	?	?	patada	37
Kambera	?	wet	?	?	mbaha	1
TalisePoleo	?	grass	?	?	mburumburu	19
Amahai	?	we	?	?	ama	2
Megiar	?	skin	?	?	tini/n	31
Baree	?	snake	?	?	ule	2
Leipon	?	tovomit	?	?	ire|mot	1
ProtoCentralPacific	?	wing	?	?	kava	1
HituAmbon	?	correct,true	?	?	iŋanesa	27
LwepeSantaCruz	?	stone	?	?	œpla	1
AklanonBisayan	?	tochoose	?	?	piliʔ	1
Pukapuka	?	towork	?	?	anganga	10
Woleaian	?	toscratch	?	?	kkeetu	11
Woleaian	?	toscratch	?	?	gerigeri	12
Wolio	?	salt	?	?	gara	18
ChuukeseAKATrukese	?	old	?	?	chinup	56
MelayuAmbon	?	two	?	?	dua	1
Mori	?	togrow	?	?	tuwu	1
Inabaknon	?	salt	?	?	asiya	1
Longgu	?	six	?	?	ɔnɔ	1
SouthEastBabar	?	snake	?	?	le	7
Yami	?	lightning	?	?	cicilat	1
BajoMoramo	?	hair	?	?	bulu	31
Emae	?	liver	?	?	ate	1
Maori	?	toblow	?	?	pupuhi	6
