DOCULECT	GLOTTOCODE	CONCEPTICON_ID	CONCEPT	GLOSSID	FORM	COGID	TOKENS	NOTE
Nishi	nisi1238	98	ALL	1	mɨlɨ	169	m ɨ l ɨ	Nisi?
Geker	geko1235	98	ALL	1	lɔ⁵⁵_nɨʔ⁵³	157	l ɔ ⁵⁵ _ n ɨ ʔ ⁵³	Geko Karen?
Geba	geba1237	98	ALL	1	lu²²_sa⁴⁴_sɛ̃	157	l u ²² _ s a ⁴⁴ _ s ɛ̃ ∼	
Lijiang-Naxi	lich1241	98	ALL	1	ndɨ³³_χə³³_mb	614	n d ɨ ³³ _ χ ə ³³ _ m b	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	98	ALL	1	tʃə³³	121	tʃ ə ³³	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	98	ALL	1	tham_ćeʔ__TIB	1	tʰ a m _ tsʲ e ʔ _	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	98	ALL	1	khɛ⁴⁴_ləʔ⁵³	157	kʰ ɛ ⁴⁴ _ l ə ʔ ⁵³	
Lhota	loth1237	98	ALL	1	oːmpa	282	oː m p a	Naga Lotha
Tujia	nort2732	98	ALL	1	xu³_ńi¹	101	x u ³ _ nʲ i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	98	ALL	1	lu⁵⁵_lu¹¹	157	l u ⁵⁵ _ l u ¹¹	Yintale Karen
Hill-Miri	nyis1236	98	ALL	1	mɨllɨ	169	m ɨ l l ɨ	
Pa'O	paok1235	98	ALL	1	ka⁴⁴_loʔ⁵⁵_lo	157	k a ⁴⁴ _ l o ʔ ⁵⁵ _ l o	
W. Kayah	west2409	98	ALL	1	lɔ̣³³_pli¹¹	157	l ɔ̰ ³³ _ p l i ¹¹	Kayah Western
Written Tibetan	tibe1272	98	ALL	1	mthaã_dag	614	m tʰ a ã ∼ _ d a g	
Ninglang-Naxi	naxi1245	98	ALL	1	dɨ³³_ta³³	614	d ɨ ³³ _ t a ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	98	ALL	1	aʒak	70	a ʒ a k	Naga Ao
Garo	garo1247	98	ALL	1	pilak	157	p i l a k	
Sherpa	sher1255	98	ALL	1	tokHR	614	t o k	Solu-Khumbu Sherpa
Manu	manu1255	98	ALL	1	lụ⁴⁴_bɔ¹¹	157	l ṵ ⁴⁴ _ b ɔ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	98	ALL	1	pwại⁴⁴_trv²²	381	p w a̰ i ⁴⁴ _ t r v ²²	Yinbaw Karen
Ao-Mongsen	mong1332	98	ALL	1	telu,_lu→cɨ	167	t e l u	Naga Ao
Yimchunrü	yimc1240	98	ALL	1	alala	167	a l a l a	Naga Yimchungru
Burmese	nucl1310	98	ALL	1	alumː	191	a l u mː	
Lhasa Tibetan	tibe1272	98	ALL	1	chaŋ⁵⁵_ma⁵⁵	57	tsʰ a ŋ ⁵⁵ _ m a ⁵⁵	
Written Tibetan	tibe1272	98	ALL	1	thams_ćad	121	tʰ a m s _ tsʲ a d	
Ao-Chungli	chon1286	98	ALL	1	temaŋ	599	t e m a ŋ	Naga Ao
Kusunda	kusu1250	98	ALL	7	swatj	0	s w a t j	
Geker	geko1235	646	ASH	2	pha²²_sha⁴⁴	306	pʰ a ²² _ sʰ a ⁴⁴	Geko Karen?
Geba	geba1237	646	ASH	2	phɛʔ⁵³_shɛ⁴⁴	306	pʰ ɛ ʔ ⁵³ _ sʰ ɛ ⁴⁴	
Lijiang-Naxi	lich1241	646	ASH	2	ɣɨ⁵⁵	181	ɣ ɨ ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	646	ASH	2	a³³_mə⁵⁵	305	a ³³ _ m ə ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	646	ASH	2	thu_lu	26	tʰ u _ l u	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	646	ASH	2	phaʔ⁵³_sha⁴⁴	306	pʰ a ʔ ⁵³ _ sʰ a ⁴⁴	
Lhota	loth1237	646	ASH	2	mi→poːk	377	m i + p oː k	Naga Lotha
Tujia	nort2732	646	ASH	2	pu⁴_chi³	377	p u ⁴ _ tsʰ i ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	646	ASH	2	pha³³	306	pʰ a ³³	Yintale Karen
Hill-Miri	nyis1236	646	ASH	2	maya	307	m a y a	
Pa'O	paok1235	646	ASH	2	pha³³	306	pʰ a ³³	
W. Kayah	west2409	646	ASH	2	kɔ⁵⁵_phɛ¹¹	306	k ɔ ⁵⁵ _ pʰ ɛ ¹¹	Kayah Western
Written Tibetan	tibe1272	646	ASH	2	go_thal	26	g o _ tʰ a l	
Ninglang-Naxi	naxi1245	646	ASH	2	luə¹³	181	l u ə ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	646	ASH	2	ap	377	a p	Naga Ao
Garo	garo1247	646	ASH	2	tapra	181	t a p r a	
Sherpa	sher1255	646	ASH	2	thal→ǯum_LR,_th	26	tʰ a l + dʒ u m	Solu-Khumbu Sherpa
Manu	manu1255	646	ASH	2	ku¹¹_pha⁴⁴	306	k u ¹¹ _ pʰ a ⁴⁴	Manumanaw Karen
Yeinbaw	yinb1236	646	ASH	2	pha¹¹	306	pʰ a ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	646	ASH	2	opu	377	o p u	Naga Ao
Burmese	nucl1310	646	ASH	2	pra	181	p r a	
Lhasa Tibetan	tibe1272	646	ASH	2	kho¹³_thɛ⁵⁵	26	kʰ o ¹³ _ tʰ ɛ ⁵⁵	
Kusunda	kusu1250	646	ASH	87	dzj	0	dz j	
Geker	geko1235	1204	BARK	3	ṭəɨ³¹_phʌiʔ⁵³	393	ʈ ə ɨ ³¹ _ pʰ ʌ i ʔ ⁵³	Geko Karen?
Geba	geba1237	1204	BARK	3	phaʔ⁵³	393	pʰ a ʔ ⁵³	
Sgaw	sgaw1245	1204	BARK	3	ṭeʔ⁵³_phiʔ⁵³	393	ʈ e ʔ ⁵³ _ pʰ i ʔ ⁵³	
Lhota	loth1237	1204	BARK	3	fu	284	f u	Naga Lotha
Yintale	yint1235	1204	BARK	3	sein¹³_bei³³	388	s e i n ¹³ _ b e i ³³	Yintale Karen
Hill-Miri	nyis1236	1204	BARK	3	epən	378	e p ə n	
Pa'O	paok1235	1204	BARK	3	pheʔ⁵⁵	393	pʰ e ʔ ⁵⁵	
W. Kayah	west2409	1204	BARK	3	ćɔ¹¹_pha⁵⁵	393	tsʲ ɔ ¹¹ _ pʰ a ⁵⁵	Kayah Western
Written Tibetan	tibe1272	1204	BARK	3	pags_pa	388	p a g s _ p a	
Ao-Chungli	chon1286	1204	BARK	3	kap	214	k a p	Naga Ao
Garo	garo1247	1204	BARK	3	bigil	242	b i g i l	
Sherpa	sher1255	1204	BARK	3	kowa_LF→šiŋ_LF	212	k o w a _ ʃ i ŋ	Solu-Khumbu Sherpa
Manu	manu1255	1204	BARK	3	phɔ¹¹	393	pʰ ɔ ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1204	BARK	3	θɨ̃¹¹_phe⁵⁵	393	θ ɨ̃ ∼ ¹¹ _ pʰ e ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1204	BARK	3	kap	214	k a p	Naga Ao
Burmese	nucl1310	1204	BARK	3	akhauk	212	a kʰ a u k	
Nishi	nisi1238	1251	BELLY	4	nep	456	n e p	Nisi?
Geker	geko1235	1251	BELLY	4	phu⁵⁵	368	pʰ u ⁵⁵	Geko Karen?
Geba	geba1237	1251	BELLY	4	kəphu⁴⁴	368	k ə pʰ u ⁴⁴	
Lijiang-Naxi	lich1241	1251	BELLY	4	ndv³¹_me³³	309	n d v ³¹ _ m e ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1251	BELLY	4	ɣo⁵⁵_phu⁴⁴	303	ɣ o ⁵⁵ _ pʰ u ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1251	BELLY	4	pho_laŋ	368	pʰ o _ l a ŋ	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1251	BELLY	4	hə⁴⁴_phə⁴⁴	368	h ə ⁴⁴ _ pʰ ə ⁴⁴	
Lhota	loth1237	1251	BELLY	4	oːpoːk	234	oː p oː k	Naga Lotha
Tujia	nort2732	1251	BELLY	4	mɨe⁴_ko⁴	309	m ɨ e ⁴ _ k o ⁴	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1251	BELLY	4	hu⁵⁵	292	h u ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	1251	BELLY	4	kipo	218	k i p o	
Pa'O	paok1235	1251	BELLY	4	hoʔ²²	292	h o ʔ ²²	
W. Kayah	west2409	1251	BELLY	4	hɔ⁵⁵	292	h ɔ ⁵⁵	Kayah Western
Written Tibetan	tibe1272	1251	BELLY	4	grod_pa	293	g r o d _ p a	
Ninglang-Naxi	naxi1245	1251	BELLY	4	bi³³_mi³³	309	b i ³³ _ m i ³³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1251	BELLY	4	tepok	234	t e p o k	Naga Ao
Garo	garo1247	1251	BELLY	4	ok	217	o k	
Sherpa	sher1255	1251	BELLY	4	supHF	60	s u p	Solu-Khumbu Sherpa
Manu	manu1255	1251	BELLY	4	he⁴⁴_phu¹¹	368	h e ⁴⁴ _ pʰ u ¹¹	Manumanaw Karen
Yeinbaw	yinb1236	1251	BELLY	4	phu⁵⁵	368	pʰ u ⁵⁵	Yinbaw Karen
Ao-Mongsen	mong1332	1251	BELLY	4	tupuk	234	t u p u k	Naga Ao
Yimchunrü	yimc1240	1251	BELLY	4	buk,_puk	234	b u k	Naga Yimchungru
Burmese	nucl1310	1251	BELLY	4	wamː	303	w a mː	
Lhasa Tibetan	tibe1272	1251	BELLY	4	ćho¹⁵_ko⁵²	293	tsʲʰ o ¹⁵ _ k o ⁵²	
Sgaw	sgaw1245	1251	BELLY	4	hə⁴⁴_phə⁴⁴	292	h ə ⁴⁴ _ pʰ ə ⁴⁴	
Hill-Miri	nyis1236	1251	BELLY	4	kipo	371	k i p o	
Written Tibetan	tibe1272	1251	BELLY	4	gsus_pa	60	g s u s _ p a	
Manu	manu1255	1251	BELLY	4	he⁴⁴_phu¹¹	292	h e ⁴⁴ _ pʰ u ¹¹	Manumanaw Karen
Nishi	nisi1238	1202	BIG	5	kai	99	k a i	Nisi?
Geker	geko1235	1202	BIG	5	đəɨʔ⁵³	543	ð ə ɨ ʔ ⁵³	Geko Karen?
Geba	geba1237	1202	BIG	5	dõʔ⁵³	543	d õ ∼ ʔ ⁵³	
Lijiang-Naxi	lich1241	1202	BIG	5	ndɨ³¹	543	n d ɨ ³¹	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1202	BIG	5	la⁴⁴_xə⁴⁴	205	l a ⁴⁴ _ x ə ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1202	BIG	5	ćhi_lo	94	tsʲʰ i _ l o	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1202	BIG	5	d̄oʔ⁵³	543	d̄ o ʔ ⁵³	
Lhota	loth1237	1202	BIG	5	caːpho	282	ts aː pʰ o	Naga Lotha
Tujia	nort2732	1202	BIG	5	chi²	94	tsʰ i ²	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	1202	BIG	5	pha⁵⁵_du³³	543	pʰ a ⁵⁵ _ d u ³³	Yintale Karen
Hill-Miri	nyis1236	1202	BIG	5	kai	99	k a i	
Pa'O	paok1235	1202	BIG	5	tan²²	543	t a n ²²	
W. Kayah	west2409	1202	BIG	5	du¹¹	543	d u ¹¹	Kayah Western
Written Tibetan	tibe1272	1202	BIG	5	ćhen_po	94	tsʲʰ e n _ p o	
Ninglang-Naxi	naxi1245	1202	BIG	5	dɨ¹³	543	d ɨ ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	1202	BIG	5	tulu	543	t u l u	Naga Ao
Garo	garo1247	1202	BIG	5	dal-a	623	d a l + a	
Sherpa	sher1255	1202	BIG	5	gerpu_LF	206	g e r p u	Solu-Khumbu Sherpa
Manu	manu1255	1202	BIG	5	do	543	d o	Manumanaw Karen
Yeinbaw	yinb1236	1202	BIG	5	du¹¹	543	d u ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	1202	BIG	5	tɨbati	543	t ɨ b a t i	Naga Ao
Yimchunrü	yimc1240	1202	BIG	5	ato	543	a t o	Naga Yimchungru
Burmese	nucl1310	1202	BIG	5	kriː	205	k r iː	
Lhasa Tibetan	tibe1272	1202	BIG	5	ćhẽ⁵⁵_po⁵⁵	94	tsʲʰ ẽ ∼ ⁵⁵ _ p o ⁵⁵	
Ao-Chungli	chon1286	1202	BIG	5	tulu	167	t u l u	Naga Ao
Kusunda	kusu1250	1202	BIG	129	õʕni	0	õ ∼ ʕ n i	
Nishi	nisi1238	937	BIRD	6	pəta	553	p ə t a	Nisi?
Geker	geko1235	937	BIRD	6	thəɨ⁴⁴	628	tʰ ə ɨ ⁴⁴	Geko Karen?
Geba	geba1237	937	BIRD	6	thoʔ⁵³_pho⁴⁴	628	tʰ o ʔ ⁵³ _ pʰ o ⁴⁴	
Lijiang-Naxi	lich1241	937	BIRD	6	v⁵⁵_zi³³	285	v ⁵⁵ _ z i ³³	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	937	BIRD	6	ŋa⁴²_zɔ⁴⁴	311	ŋ a ⁴² _ z ɔ ⁴⁴	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	937	BIRD	6	kha	440	kʰ a	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	937	BIRD	6	thoʔ⁵³	628	tʰ o ʔ ⁵³	
Lhota	loth1237	937	BIRD	6	woːro	395	w oː r o	Naga Lotha
Tujia	nort2732	937	BIRD	6	ńie³_pi¹	311	nʲ i e ³ _ p i ¹	Northern Tujia [nort2732] & Southern Tujia [sout2739]
Yintale	yint1235	937	BIRD	6	thu⁵⁵_phu⁵⁵	628	tʰ u ⁵⁵ _ pʰ u ⁵⁵	Yintale Karen
Hill-Miri	nyis1236	937	BIRD	6	pɨtta	553	p ɨ t t a	
Pa'O	paok1235	937	BIRD	6	wa⁴⁴	285	w a ⁴⁴	
W. Kayah	west2409	937	BIRD	6	thu¹¹	628	tʰ u ¹¹	Kayah Western
Written Tibetan	tibe1272	937	BIRD	6	bja	395	b j a	
Ninglang-Naxi	naxi1245	937	BIRD	6	v³¹_ʒe¹³	285	v ³¹ _ ʒ e ¹³	belong to western Naxi, no glottolog entry so I use naxi1245.
Ao-Chungli	chon1286	937	BIRD	6	ozɨ	285	o z ɨ	Naga Ao
Garo	garo1247	937	BIRD	6	do-o	628	d o + o	
Sherpa	sher1255	937	BIRD	6	čečum_LF	395	tʃ e tʃ u m	Solu-Khumbu Sherpa
Manu	manu1255	937	BIRD	6	tho⁴⁴_pa¹¹_ti	628	tʰ o ⁴⁴ _ p a ¹¹ _ t i	Manumanaw Karen
Yeinbaw	yinb1236	937	BIRD	6	thu¹¹	628	tʰ u ¹¹	Yinbaw Karen
Ao-Mongsen	mong1332	937	BIRD	6	waya	285	w a y a	Naga Ao
Yimchunrü	yimc1240	937	BIRD	6	wunu→nɨ	285	w u n u + n ɨ	Naga Yimchungru
Burmese	nucl1310	937	BIRD	6	hŋak	311	h ŋ a k	
Lhasa Tibetan	tibe1272	937	BIRD	6	ćha¹³	395	tsʲʰ a ¹³	
Lhota	loth1237	937	BIRD	6	woːro	285	w oː r o	Naga Lotha
Nishi	nisi1238	1403	BITE	7	che	48	tsʰ e	Nisi?
Geker	geko1235	1403	BITE	7	ʔei³³	253	ʔ e i ³³	Geko Karen?
Geba	geba1237	1403	BITE	7	ʔa³³_ʔe³³deʔ	253	ʔ a ³³ _ ʔ e ³³ d e ʔ	
Lijiang-Naxi	lich1241	1403	BITE	7	thər⁵⁵	312	tʰ ə r ⁵⁵	Lichiang Naxi, a dialect of Naxi, Naxi glottolog code is naxi1245
Jinuo	youl1235	1403	BITE	7	thə⁵⁵	312	tʰ ə ⁵⁵	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])
Motuo-M	dakp1242	1403	BITE	7	ŋam	134	ŋ a m	Tawang Monpa, Dakpakha?
Sgaw	sgaw1245	1403	BITE	7	ʔe³³	253	ʔ e ³³	
Lhota	loth1237	1403	BITE	7	eŋkak	224	e ŋ k a k	Naga Lotha
Tujia	nort2732	1403	BITE	7	ka³	236	k a ³	Northern Tujia [nort2732] & Southern Tujia [sout2739]
