language	iso_code	gloss	global_id	local_id	transcription	cognate_class	notes
Bali	ban	hand	1277	1	lima	1	limə 1
Bali	ban	dirty	1230	10	daki	1	
Bali	ban	meat/flesh	634	103	isi	31	
Bali	ban	fat/grease	1282	104	muluk	1?	
Bali	ban	tail	1220	105	ikut	1	
Bali	ban	snake	730	106	lelipi	1?	
Bali	ban	worm (earthworm)	1219	107	cacing	23	
Bali	ban	louse	1392	108	kutu	1	
Bali	ban	mosquito	1509	109	legu	44	ləgu 44
Bali	ban	dust	2	11	buk	1	
Bali	ban	spider	843	110	kekawa	1	
Bali	ban	branch	1531	113	carang	9	
Bali	ban	leaf	628	114	don	1	
Bali	ban	root	670	115	akah	2	
Bali	ban	flower	239	116	bunga	1	
Bali	ban	fruit	1507	117	woh-wohan	1	
Bali	ban	earth/soil	1228	119	tanah	1	
Bali	ban	skin	763	12	kulit	1	
Bali	ban	stone	857	120	batu	1	
Bali	ban	sand	671	121	bias	26	
Bali	ban	sea	1474	124	pasih	1?	
Bali	ban	salt	1274	125	uyah	15	
Bali	ban	lake	624	126	danu	1	
Bali	ban	woods/forest	420	127	alas	1	
Bali	ban	sky	1732	128	langit	1	
Bali	ban	moon	1313	129	bulan	1	
Bali	ban	star	1430	130	bintang	1	
Bali	ban	rain	658	133	ujan	1	
Bali	ban	thunder	1150	134	kerug	2	kərug 2
Bali	ban	wind	960	136	angin	1	
Bali	ban	warm	1232	138	panes	1	
Bali	ban	cold	1287	139	dingin	1	
Bali	ban	belly	1251	14	basang	29?	
Bali	ban	dry	1398	140	tuh	41?	
Bali	ban	wet	1726	141	beseg	1	bəsəg 1
Bali	ban	heavy	1210	142	baat	1	
Bali	ban	fire	221	143	api	1	
Bali	ban	ash	646	146	aon	1?	
Bali	ban	black	163	147	badeng	22	badəŋ 22
Bali	ban	white	1335	148	putih	1	
Bali	ban	bone	1394	15	tulang	1	
Bali	ban	yellow	1424	150	kuning	1	%kuning
Bali	ban	green	1425	151	gadang	28	
Bali	ban	big	1202	153	gede	27	gəde 27
Bali	ban	short	1645	154	bawak	54	
Bali	ban	long	1203	155	dawa	33	dawə 33
Bali	ban	thin	1400	156	tipis	1	
Bali	ban	thick	1244	157	tebal	26	təbəl 26
Bali	ban	narrow	1267	158	cupek	1?	cupək 1?
Bali	ban	intestines	1991	16	babetukan	21	
Bali	ban	painful, sick	2103	160	sakit	1	
Bali	ban	old	1229	162	tua	1	
Bali	ban	bad, evil	1292	165	beler	25	bələr 25
Bali	ban	correct, true	1725	166	beneh	1	bənəh 1
Bali	ban	night	1233	167	peteng	47	pətəŋ 47
Bali	ban	day	1225	168	dina	11	dinə 11
Bali	ban	liver	1224	17	ati	1	
Bali	ban	when?	1238	170	pidan	1	
Bali	ban	to hide	602	171	mengkeb	30	
Bali	ban	to climb	1102	172	menek	1	menɛk 1
Bali	ban	at	1461	173	di	20	sig 20
Bali	ban	in, inside	1606	174	di tengah	22	di təŋah 22
Bali	ban	above	1741	175	baduur	2	
Bali	ban	this	1214	177	ene	1	əne 1
Bali	ban	near	1942	179	paek	27	paək 27
Bali	ban	breast	1402	18	nyonyo	3	
Bali	ban	far	1406	180	joh	1	
Bali	ban	he/she	262	184	ia	1	
Bali	ban	we	1212	185	iraga	5	iraga 5
Bali	ban	what?	1236	188	apa	1	apə 1
Bali	ban	shoulder	1482	19	pala	1	palə 1
Bali	ban	other	197	190	len	2	
Bali	ban	and	1577	192	muah	2	
Bali	ban	One	1493	197	sa	1	
Bali	ban	Two	1498	198	dadua	1	
Bali	ban	Three	492	199	telu	1	təlu 1
Bali	ban	to know, be knowledgeable	1410	20	tawang	36	
Bali	ban	Four	1500	200	patpat	1	
Bali	ban	Five	493	201	limə	1	
Bali	ban	Six	1703	202	ənəm	1	
Bali	ban	Seven	1704	203	pitu	1	
Bali	ban	Nine	1483	205	siə	5	
Bali	ban	One Hundred	1634	209	satus	4	
Bali	ban	to think	2271	21	mekeneh	33	
Bali	ban	to fear	1419	22	takut	1	
Bali	ban	blood	946	23	getih	18	gətih 18
Bali	ban	neck	1333	25	baong	70	
Bali	ban	hair	1040	26	bok	1	
Bali	ban	to sniff, smell	375	29	ngadek	1	ŋadək 1
Bali	ban	right	1019	3	tengawan	1	təŋawan 1
Bali	ban	mouth	674	30	bunnut	37	bibin 32
Bali	ban	tooth	1380	31	gigi	17	
Bali	ban	to laugh	1355	33	kedek	30	kədɛk 30
Bali	ban	to vomit	1278	35	ngutah	1	
Bali	ban	to eat	1336	37	daar	11	%daar
Bali	ban	to chew	321	38	makpak	24	
Bali	ban	to cook	1100	39	nyakan	2	
Bali	ban	leg/foot	2098	4	batis	23	
Bali	ban	to drink	1401	40	nginem	1	ŋinəm 1
Bali	ban	to bite	1403	41	nyegut	30	ñəgut 30
Bali	ban	to suck	1421	42	ngisep	1	ŋisəp 1
Bali	ban	ear	1247	43	kuping	15	%kuping
Bali	ban	to hear	1408	44	ningeh	1	niŋəh 1?
Bali	ban	eye	1248	45	mata	1	
Bali	ban	to yawn	1028	47	uab-uab	1	
Bali	ban	to walk	1443	5	majalan	21	məjalan 21
Bali	ban	to dream	1920	50	ngipi	1	
Bali	ban	man/male	1554	54	muani	1	
Bali	ban	child	2099	56	panak	1	
Bali	ban	mother	1216	59	meme	5?	meme 5?
Bali	ban	father	1217	60	bapa	5	bapə 5
Bali	ban	house	1252	61	umah	1	umah 1
Bali	ban	name	1405	63	adan	1	adan 1
Bali	ban	to say	1458	64	ngomong	25	%ngomong; %nomoŋ 25
Bali	ban	rope	1218	65	tali	1	
Bali	ban	to sew	1457	67	nyait	2	ñait 2
Bali	ban	needle	1382	68	jaum	1	jaum 1
Bali	ban	to come	1446	7	təku	17	təkə 17
Bali	ban	to shoot	1172	70	medil	9	mədil 9
Bali	ban	to stab, pierce	1434	71	nebek	25	nəbək 25
Bali	ban	to hit	1433	72	nyagur	34	ñagur 34
Bali	ban	to steal	713	73	maling	16	maliŋ 16
Bali	ban	to kill	1417	74	ngamatiang	2	ŋəmatiyang 2
Bali	ban	to die, be dead	1494	75	mati	1	
Bali	ban	to live, be alive	1422	76	idup	1	
Bali	ban	to cut, hack	1432	78	nugel	36	nugəl 36
Bali	ban	stick/wood	1295	79	kayu	1	
Bali	ban	to turn	1588	8	belok	24	
Bali	ban	dull, blunt	379	82	puntul	1	
Bali	ban	to plant	1486	84	nanem	2	nanəm 2
Bali	ban	to choose	1750	85	milih	1	
Bali	ban	to grow	479	86	tumbuh	1	
Bali	ban	to swim	1439	9	nglangi	1	
Bali	ban	to dig	1418	90	mlumbang	24?	mlumbaŋ 24?
Bali	ban	to buy	1869	91	meli	1	məli 1
Bali	ban	to open, uncover	1156	92	ngehgah	27	ŋahgah 27
Bali	ban	to pound, beat	354	93	nebuk	6	nəbuk 6
Bali	ban	to fall	1280	95	ulung	34	
Bali	ban	egg	744	98	taluh	1	
Bali	ban	feather	1201	99	bulu	1	
Banggai (W.dialect)	bgz	hand	1277	1	lima	1	
Banggai (W.dialect)	bgz	fat/grease	1282	104	lanak	24	minak 1
Banggai (W.dialect)	bgz	tail	1220	105	puus	30?	
Banggai (W.dialect)	bgz	snake	730	106	bindana	39	
Banggai (W.dialect)	bgz	worm (earthworm)	1219	107	uloy	36	
Banggai (W.dialect)	bgz	louse	1392	108	kutu|k	1	
Banggai (W.dialect)	bgz	spider	843	110	loa	1	
Banggai (W.dialect)	bgz	branch	1531	113	paŋa	22	
Banggai (W.dialect)	bgz	leaf	628	114	loon	1	
Banggai (W.dialect)	bgz	root	670	115	ɬakat	2?	[ɬ]akat
Banggai (W.dialect)	bgz	flower	239	116	buŋa	1	
Banggai (W.dialect)	bgz	earth/soil	1228	119	tano	1	
Banggai (W.dialect)	bgz	skin	763	12	kulit	1	
Banggai (W.dialect)	bgz	stone	857	120	batu	1	
Banggai (W.dialect)	bgz	sand	671	121	bone	1	
Banggai (W.dialect)	bgz	salt	1274	125	timuson	2	
Banggai (W.dialect)	bgz	moon	1313	129	bituon	1?	
Banggai (W.dialect)	bgz	back	1291	13	toŋkuluŋ	51	
Banggai (W.dialect)	bgz	star	1430	130	bituon pauna	1	
Banggai (W.dialect)	bgz	rain	658	133	udan	1	
Banggai (W.dialect)	bgz	thunder	1150	134	guruk	2?	
Banggai (W.dialect)	bgz	lightning	1654	135	kilap	1	
Banggai (W.dialect)	bgz	warm	1232	138	onas	1	
Banggai (W.dialect)	bgz	belly	1251	14	tia	1	
Banggai (W.dialect)	bgz	heavy	1210	142	barat	1	
