ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
20985	Anuta	?	above		ruŋa	r u ŋ a	R V N V	r u N a	R Y N A	9	6
30371	BanjareseMalay	?	above		atas	a t a s	V T V S	a t a s	A T A S	1	1
38937	Carolinian	?	above		woo	w oo	W V	w o	W U	2	5
55796	Cebuano	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5
63532	Chuukese	?	above		woo	w oo	W V	w o	W U	2	5
26551	DayakNgaju	?	above		hunjun	h u n j u n	H V N J V N	h u n y u n	H Y N J Y N	15	2
37341	FutunaEast	?	above		a/luga/	a l u g a	V R V K V	a l u g a	A L Y K A	9	6
5313	Imorod	?	above		teyngato	t ey n g a t o	T V N K V T V	t e n g a t o	T E N K A T U	16	3
19638	Iraralay	?	above		towos	t o w o s	T V W V S	t o w o s	T U W U S	17	4
19639	Iraralay	?	above		tingato	t i n g a t o	T V N K V T V	t i n g a t o	T I N K A T U	16	3
12331	Isamorong	?	above		tohos	t o h o s	T V H V S	t o h o s	T U H U S	17	4
31330	Itbayat	?	above		toxos	t o x o s	T V K V S	t o x o s	T U G U S	17	4
58633	Ivasay	?	above		ato	a t o	V T V	a t o	A T U	1	1
58634	Ivasay	?	above		tohos	t o h o s	T V H V S	t o h o s	T U H U S	17	4
10760	Lakalai	?	above		oata	oa t a	V T V	o t a	U T A	1	1
10081	Luangiua	?	above		luŋa	l u ŋ a	R V N V	l u N a	L Y N A	9	6
38459	Marquesan	?	above		una	u n a	V N V	u n a	Y N A	9	6
49505	NakanaiBilekiDialect	?	above		oata	oa t a	V T V	o t a	U T A	1	1
15203	Niue	?	above		lunga	l u n g a	R V N K V	l u n g a	L Y N K A	9	6
16523	Penrhyn	?	above		runga	r u n g a	R V N K V	r u n g a	R Y N K A	9	6
42701	RapanuiEasterIsland	?	above		ruga	r u g a	R V K V	r u g a	R Y K A	9	6
18783	Rarotongan	?	above		runga	r u n g a	R V N K V	r u n g a	R Y N K A	9	6
34850	Rennellese	?	above		a/gunga/	a g u n g a	V K V N K V	a g u n g a	A K Y N K A	9	6
51646	Rurutuan	?	above		nuʔa	n u ʔ a	N V H V	n u 7 a	N Y H A	9	6
61579	Tagalog	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5
61580	Tagalog	?	above		itaas	i t aa s	V T V S	i t a s	I T A S	1	1
43191	TagalogAnthonydelaPaz	?	above		ibabaw	i b a b a w	V P V P V W	i b a b a w	I P A P A W	2	5
43192	TagalogAnthonydelaPaz	?	above		itaas	i t aa s	V T V S	i t a s	I T A S	1	1
30012	TahitianModern	?	above		nia	n ia	N V	n i	N I	9	6
22491	Tuamotu	?	above		ruŋa	r u ŋ a	R V N V	r u N a	R Y N A	9	6
28401	UveaEast	?	above		o/luga/	o l u g a	V R V K V	o l u g a	U L Y K A	9	6
30193	WesternBukidnonManobo	?	above		divavew	d i v a v e w	T V W V W V W	d i v a v e w	T I B A B E W	2	5
54886	Woleai	?	above		woa	w oa	W V	w o	W U	2	5
812	Yami	?	above		tiŋatoʔ	t i ŋ a t o ʔ	T V N V T V H	t i N a t o 7	T I N A T U H	16	3
35390	Anuta	?	all		katoa	k a t oa	K V T V	k a t o	K A T U	13	7
25676	BanjareseMalay	?	all		samuaan	s a m uaa n	S V M V N	s a m u n	S A M Y N	33	14
18444	Cebuano	?	all		tanan	t a n a n	T V N V N	t a n a n	T A N A N	24	11
12483	Chuukese	?	all		meyinisin	m eyi n i s i n	M V N V S V N	m e n i s i n	M E N I S I N	3	13
