ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
7629	ANCIENT_GREEK	grc	I		eɡɔ́ː	e ɡ ɔ́ː	V K V	e g o	E K U	I:A	1
7649	BELARUSIAN	bel	I		ja	j a	J V	y a	J A	I:A	1
7638	BIHARI	mai	I		mẽ	m ẽ	M V	m e	M E	I:A	1
7639	BIHARI	mai	I		həm	h ə m	H V M	h I m	H E M	I:A	1
7645	BULGARIAN	bul	I		as	a s	V S	a s	A S	I:A	1
7672	CATALAN	cat	I		ʒɔ	ʒ ɔ	S V	Z o	S U	I:A	1
7652	CZECH	ces	I		jaː	j aː	J V	y a	J A	I:A	1
7664	DANISH	dan	I		jɑj	j ɑ j	J V J	y o y	J A J	I:A	1
7665	DANISH_FJOLDE		I		æ	æ	V	E	E	I:A	1
7669	DUTCH	nld	I		ɪk	ɪ k	V K	i k	I K	I:A	1
7663	ELFDALIAN	qov	I		ɪːg	ɪː g	V K	i g	I K	I:A	1
7667	ENGLISH	eng	I		aɪ	aɪ	V	a	A	I:A	1
7658	FAROESE	fao	I		e:	e:	V	e	E	I:A	1
7675	FRENCH	fra	I		ʒə	ʒ ə	S V	Z I	S E	I:A	1
7670	GERMAN	deu	I		ɪç	ɪ ç	V S	i S	I S	I:A	1
7630	GREEK	ell	I		e̞ˈɣo̞	e̞ ˈɣ o̞	V K V	e x o	E G U	I:A	1
7666	GUTNISH_LAU		I		jɑː	j ɑː	J V	y o	J A	I:A	1
7657	ICELANDIC	isl	I		jɛɣ	j ɛ ɣ	J V K	y E x	J E G	I:A	1
7676	ITALIAN	ita	I		io	io	V	i	I	I:A	1
7671	LATIN	lat	I		ˈego	ˈe g o	V K V	e g o	E K U	I:A	1
7646	MACEDONIAN	mkd	I		jas	j a s	J V S	y a s	J A S	I:A	1
7642	MARATHI	mar	I		mi:	m i:	M V	m i	M I	I:A	1
7659	NORWEGIAN_RIKSMAL	nor	I		jæɪ	j æɪ	J V	y E	J E	I:A	1
7643	OLD_CHURCH_SLAVONIC	chu	I		ɑzʊ̆	ɑ z ʊ̆	V S V	o z u	A S Y	I:A	1
7677	OLD_IRISH	sga	I		m	m	M	m	M	I:D	2
7678	OLD_IRISH	sga	I		me:	m e:	M V	m e	M E	I:D	2
7656	OLD_NORSE	non	I		ek	e k	V K	e k	E K	I:A	1
7661	OLD_SWEDISH		I		jaːk	j aː k	J V K	y a k	J A K	I:A	1
7637	ORIYA	ori	I		mũ	m ũ	M V	m u	M Y	I:A	1
7635	OSSETIC_DIGOR	oss	I		ɐz	ɐ z	V S	a z	E S	I:A	1
7634	OSSETIC_IRON	oss	I		ɐž	ɐ ž	V S	a Z	E S	I:A	1
7648	POLISH	pol	I		ja	j a	J V	y a	J A	I:A	1
7673	PORTUGUESE	por	I		eu	eu	V	e	E	I:A	1
7647	RUSSIAN	rus	I		ja	j a	J V	y a	J A	I:A	1
7644	SERBO-CROATIAN	srp	I		jâː	j âː	J V	y a	J A	I:A	1
7651	SLOVAK	slk	I		ja	j a	J V	y a	J A	I:A	1
7655	SLOVENIAN	slv	I		jas	j a s	J V S	y a s	J A S	I:A	1
7654	SORBIAN_LOWER	dsb	I		ja	j a	J V	y a	J A	I:A	1
7653	SORBIAN_UPPER	hsb	I		ja	j a	J V	y a	J A	I:A	1
7674	SPANISH	spa	I		ʝo	ʝ o	S V	S o	S U	I:A	1
7660	STAVANGERSK		I		eːɡ	eː ɡ	V K	e g	E K	I:A	1
7662	SWEDISH	swe	I		jɑːɡ	j ɑː ɡ	J V K	y o g	J A K	I:A	1
7650	UKRAINIAN	ukr	I		ja	j a	J V	y a	J A	I:A	1
7641	URDU	urd	I		mɛ̃	m ɛ̃	M V	m E	M E	I:A	1
9861	ANCIENT_GREEK	grc	all		pȃːs	p aː s	P V S	p a s	P A S	all:L	9
9881	BELARUSIAN	bel	all		uˈsʲɛ	u ˈsʲ ɛ	V S V	u s E	Y S E	all:H	7
9871	BIHARI	mai	all		səb	s ə b	S V P	s I b	S E P	all:F	5
9877	BULGARIAN	bul	all		ˈfsitʃki	ˈf s i t ʃ k i	P S V T S K V	f s i t S k i	B S I T S K I	all:H	7
9905	CATALAN	cat	all		tot	t o t	T V T	t o t	T U T	all:C	4
9884	CZECH	ces	all		ˈfʃɪxɲɪ	ˈf ʃ ɪ x ɲ ɪ	P S V K N V	f S i x H i	B S I G N I	all:H	7
9896	DANISH	dan	all		ˈalə	ˈa l ə	V R V	a l I	A L E	all:A	3
9897	DANISH_FJOLDE		all		ɔlʲ	ɔ lʲ	V R	o l	U L	all:A	3
9901	DUTCH	nld	all		ɑlə	ɑ l ə	V R V	o l I	A L E	all:A	3
9895	ELFDALIAN	qov	all		olː	o lː	V R	o l	U L	all:A	3
9899	ENGLISH	eng	all		ɔ:l	ɔ: l	V R	o l	U L	all:A	3
9890	FAROESE	fao	all		ˈad̥lɪɹ	ˈa d̥ l ɪ ɹ	V T R V R	a d l i r	A T L I R	all:A	3
9908	FRENCH	fra	all		tu	t u	T V	t u	T Y	all:C	4
9902	GERMAN	deu	all		alə	a l ə	V R V	a l I	A L E	all:A	3
9862	GREEK	ell	all		pas	p a s	P V S	p a s	P A S	all:L	9
