ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
3248	Alike Tibetan	amdo1237	I		ŋä	ŋ æ	N V	N E	N E	I:615	615
3291	Ao-Chungli	chon1286	I		ni	n i	N V	n i	N I	I:615	615
3240	Ao-Mongsen	mong1332	I		ni	n i	N V	n i	N I	I:615	615
3220	Apatari	apat1240	I		ŋó	ŋ o	N V	N o	N U	I:615	615
3258	Batang Tibetan	kham1282	I		ŋa²³¹	ŋ a	N V	N a	N A	I:615	615
3270	Beijing	mand1415	I		wǒ	w o	W V	w o	W U	I:615	615
3287	Bodo	bodo1269	I		aŋ	a ŋ	V N	a N	A N	I:615	615
3244	Bokar	bori1243	I		ŋoː	ŋ oː	N V	N o	N U	I:615	615
3293	Bola	pela1242	I		ŋa⁵⁵	ŋ a	N V	N a	N A	I:615	615
3289	Burmese	nucl1310	I		ŋa	ŋ a	N V	N a	N A	I:615	615
3219	Dhimal	dhim1246	I		ka	k a	K V	k a	K A	I:615	615
3281	Dimasa	dima1251	I		aŋ	a ŋ	V N	a N	A N	I:615	615
3232	Dulong	drun1238	I		ŋa⁵³	ŋ a	N V	N a	N A	I:615	615
3238	Ersu	ersu1241	I		a⁵⁵	a	V	a	A	I:769	769
3288	Fuzhou	mind1253	I		ŋuai³³	ŋ u a i	N V V V	N u a i	N Y A I	I:615	615
3262	Garo	garo1247	I		aŋa	a ŋ a	V N V	a N a	A N A	I:615	615
3246	Geba	geba1237	I		jɛ³³	j ɛ	J V	y E	J E	I:615	615
3237	Geker	geko1235	I		khe⁵³	kʰ e	K V	k e	K E	I:615	615
3294	Guiqiong	guiq1238	I		ŋö³⁵	ŋ ö	N V	N E	N U	I:615	615
3260	Gurung	guru1261	I		ŋa¹	ŋ a	N V	N a	N A	I:769	769
3267	Hakka	hakk1236	I		ŋai²	ŋ a i	N V V	N a i	N A I	I:615	615
3263	Hill-Miri	nyis1236	I		ŋo	ŋ o	N V	N o	N U	I:615	615
3290	Horpa	horp1239	I		ŋa	ŋ a	N V	N a	N A	I:615	615
3224	Idu	idum1241	I		ŋa²	ŋ a	N V	N a	N A	I:615	615
3286	Jingpo	kach1280	I		ŋai³³	ŋ a i	N V V	N a i	N A I	I:615	615
3274	Jinuo	youl1235	I		ŋɔ⁴²	ŋ ɔ	N V	N o	N U	I:615	615
3222	Jirel	jire1238	I		ŋa_L²	ŋ a	N V	N a	N A	I:615	615
3272	Kaike	kaik1246	I		ŋa	ŋ a	N V	N a	N A	I:615	615
3253	Khaling	khal1275	I		uŋH	u ŋ	V N	u N	Y N	I:615	615
3236	Kulung	kulu1253	I		kɔŋ	k ɔ ŋ	K V N	k o N	K U N	I:615	615
3227	Lepcha	lepc1244	I		kă-do	k a d o	K V T V	k a d o	K A T U	I:615	615
3261	Lhasa Tibetan	tibe1272	I		ŋa¹³	ŋ a	N V	N a	N A	I:615	615
3225	Lhota	loth1237	I		a	a	V	a	A	I:769	769
3280	Liangmai	lian1251	I		i	i	V	i	I	I:769	769
3284	Lijiang-Naxi	lich1241	I		ŋə³¹	ŋ ə	N V	N I	N E	I:615	615
3264	Limbu	limb1266	I		\Iaŋgā	i a ŋ g a	V V N K V	i a N g a	I A N K A	I:615	615
3226	Lushai	lush1249	I		keima	k e i m a	K V V M V	k e i m a	K E I M A	I:615	615
