# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	GLOTTOCODE	COGID
#
3632	Adnyamathanha		w a d l a _ v a p a	adny1235	1577
3633	Alyawarr		c e ŋ	alya1239	1596
3634	Biri		g a ŋ a ɹ i	biri1256	1586
3635	Bularnu		g u j a l i	bula1255	1591
3636	Dharumbal		g a ɹ i n	dhar1248	1606
3637	Dieri		m u ɖ a w o l a	dier1241	1575
3638	Dyaabugay		g u n c i	dyaa1242	1599
3639	Djinang		ŋ u j a r	djin1253	1605
3640	Duungidjawu		n c a n d e	duun1241	1598
3641	Dyirbal		m u g a j	dyir1250	1601
3642	Northern Inland Yui		g u m b a l b a l	nort2760	1
3643	Gurindji		c i k u ɳ u	guri1247	1576
3644	Jaru		b i ɭ i _ b a m a r	jaru1254	1581
3646	Kalkutung		m a c a m i ɭ a	kalk1246	1593
3647	Karadjeri		w i ɹ a ɲ a m a ʈ a	kara1476	1574
3648	Kariyarra		m a c a r a	kari1304	1593
3649	Kartujarra		w a k u ɹ a	kart1247	1589
3650	Kaurna		t a w i ʈ i	kaur1267	1585
3651	Kukatja		m iː l k a r	kuka1246	1597
3653	Gurdjar		ɖ oː n	gurd1238	1
3654	Kala Lagaw Ya		a p a	kala1377	1604
3655	Malyangapa		m a lː _ j a l t̪ a	maly1234	1
3657	Margany		g u j a n	marg1253	1582
3658	Martu Wangka		c i w a	mart1256	1602
3659	Mayi-Thakurti		k u w i ɭ a	mayi1234	1
3661	Mudburra		k u m u r u	mudb1240	1583
3663	Muruwari		k i p a	muru1266	1590
3664	Ngaanyatjarra		t c u ŋ a ɹ i	ngaa1240	1578
3665	Ngamini		m a ɖ a t a j i t a j i	ngam1284	1577
3666	Ngarluma		m a c a r a	ngar1287	1593
3667	Narrinyeri		p u l j u w a ɹ i	narr1259	1588
3668	Northern Coastal Nyangumarta		m a c a r a	nort2754	1593
3669	Nyamal		p i l k u	nyam1271	1
3670	Nyangumarta		m a c a r a	nyan1301	1593
3671	Banggarla		m i r a ɹ a	bang1339	1584
3672	Pintupi-Luritja		m a ɹ a w u	pint1250	1
3673	Pintupi-Luritja		t c u ŋ a ɹ i	pint1250	1
3674	Pintupi-Luritja		m u ɹ i l j p a	pint1250	1
3675	Pitjantjatjara		t c i w a	pitj1243	1602
3676	Ritarungo		ɭ i m b i k	rita1239	1607
3677	Dhargari		k u j u n m a	dhar1247	1592
3678	Wajarri		b i l j g i l i	waja1257	1600
3679	Wagaya		k u j u l	waga1260	1591
3682	Pintiini		t c i w a	pint1251	1593
3683	Wanggamala		l a j i	wang1289	1594
3684	Ngura		d̪ a ɹ k a	ngur1261	1595
3685	Warlpiri		ŋ a l i k i r i	warl1254	1579
3686	Warluwara		ɭ a j i	warl1256	1591
3687	Wanman		c i w a	wanm1242	1602
3688	Warumungu		ŋ a ɭ i k a ɹ i _ k a ɳ a n t i	waru1265	1579
3689	Warrungo		g u m i r i	waru1264	1583
3690	Yandruwandha		m a ɖ ɹ a _ n̪ i w a	yand1253	1587
3691	Yandruwandha		m a ɖ ɹ a _ p a w a	yand1253	1587
3692	Yidiñ		m u g a j	yidi1250	1
3693	Yindjibarndi		b a r uː	yind1247	1580
3694	Yulparitja		ɲ a k u ɳ p a	yulp1238	1603
3695	Yuwaalaraay		g i b a	yuwa1242	1590
38685	Adnyamathanha		v i n a ɹ u	adny1235	1
38686	Arabana		t c a p a r a	arab1267	1
38687	Badimaya		b u n a ɹ g a l i	badi1246	1
38688	Badjiri		g u ɹ i m u r a	badj1244	1783
38689	Yugambeh-Bandjalang		g a b u l	band1339	1784
38690	Kabikabi		w a ŋ a j	kabi1260	1
38691	Southern Maric		g a b u l	sout2765	1
38692	Biri		g a b u l	biri1256	1784
38693	Bularnu		m a n̪ a l a ɲ i	bula1255	1
38694	Bunganditj		b i ŋ g a l	bung1264	1
38695	Hawkesbury		b a d a j i ɹ	hawk1239	1
38696	Thurawal		w a g u ɹ	thur1254	1785
38697	Dharumbal		d i w i ɹ a	dhar1248	1
38698	Dhudhuroa		g a ŋ g a j a	dhud1236	1
38699	Dhurga		w a g u ɹ	dhur1239	1785
38700	Dieri		w a m a	dier1241	1786
38701	Dyaabugay		b u d aː c i	dyaa1242	1
38702	Djapu		g u ɭ k m i ɳ	djap1238	1
38704	Duungidjawu		b u j i	duun1241	1790
38705	Dyirbal		g a ɹ p u	dyir1250	1
38706	Gamilaraay		j a b aː	gami1243	1787
38707	Gangulu		g a b u l	gang1268	1784
38708	Kalali		g u ɹ i m a r a	kala1380	1783
38709	Gureng Gureng		d oː p oː	gure1255	1
38710	Gudjal		g a b u	gudj1237	1784
38711	Gunya		g a b u l	guny1241	1784
38712	Gupapuyngu		d u m ˀt̪ u n a m i r	gupa1247	1
38713	Guugu Yimidhirr		g a b u l	gugu1255	1784
38714	Guwa		t a ŋ a b a ɹ i	guwa1242	1
38715	Jaru		g u l c a ɲ	jaru1254	1
38716	Djiwarli		m u l j a ɹ u	djiw1241	1791
38717	Kalkutung		a n̪ t̪ a k u ɭ aː j a ŋ u	kalk1246	1
38718	Gamilaraay		j a b aː	gami1243	1787
38719	Karadjeri		b a n i n c b o ɹ o	kara1476	1
38720	Kariyarra		m a n i j a r a	kari1304	1
38721	Kartujarra		k u n a w i ɭ a	kart1247	1
38722	Gathang		d oː n g i t	gath1234	1
38723	Gugadj		k u j u r i c	guga1239	1
38724	Kukatja		m u n d i	kuka1246	1
38726	Kuungkari of Barcoo River		k u ɹ i m a r a	kuun1236	1783
38727	Kurrama		m a ɳ i j a l a	kurr1243	1793
38728	Gurdjar		j eː n	gurd1238	1
38729	Kuuku-Ya'u		j a ŋ k i	kuuk1238	1
38730	Leningitij		k a j i ɣ	leni1238	1
38731	Malgana		c u ɳ i	malg1242	1
38732	Malyangapa		m a lː _ k a n t u k a l i	maly1234	1
38733	Margany		g a b u l	marg1253	1
38734	Madhi Madhi		b i ŋ g a l i	madh1244	1
38735	Mayi-Kulan		k u ɹ i m a	mayi1236	1
38736	Mayaguduna		t c u n k u r	maya1280	1
38737	Mayi-Yapi		k u ɹ i m a	mayi1235	1
38738	Mbabaram		b u l	mbab1239	1789
38739	Anguthimri		m b a ɹ a n	angu1242	1
38740	Kalarko		b u lː a	kala1379	1
38741	Mithaka		w a m a	mith1236	1786
38742	Muruwari		k a m u l	muru1266	1
38744	Ngaanyatjarra		k u n i j a	ngaa1240	1
38745	Ngadjunmaya		p u l a	ngad1258	1789
38746	Ngadjuri		m u d l u	ngad1257	1
38747	Ngamini		k a l a ŋ u ɹ u	ngam1284	1
38748	Ngarigu		d c i d c i g a n	ngar1297	1
38749	Ngarinman		g u n u d c a r i	ngar1235	1
38750	Ngarluma		b u j u ɹ a	ngar1287	1
38751	Narrinyeri		j a l a kː i	narr1259	1788
38752	Ngiyambaa		j a p aː	ngiy1239	1787
38753	Ngunawal		w aː k u r	ngun1277	1785
38754	Mangala		k u m i ɹ i r i	mang1383	1
38755	Northern Coastal Nyangumarta		w i ɳ t i ŋ i r i ɲ	nort2754	1
38756	Nyangumarta		w i ɳ t i ŋ i r i ɲ	nyan1301	1
38757	Nyunga		w aː k a l	nyun1247	1
38758	Paakantyi		g a ɹ u w a ɹ i	darl1243	1
38759	Panytyima		t̪ aː w a r u	pany1241	1
38760	Banggarla		w a ɹ a n b i n i	bang1339	1
38761	Bayungu		m u l j a ɹ u	bayu1240	1791
38762	Pintupi-Luritja		t a t c a l j p a	pint1250	1
38763	Pintupi-Luritja		j i n t u r k u l j u	pint1250	1
38764	Pirriya		k u ɹ i m a r a	pirr1240	1783
38765	Pitta Pitta		w a m a	pitt1247	1786
38766	Ritarungo		g u ɳ i ɲ m i j a	rita1239	1
38767	Dhalandji		m u l j a ɹ u	dhal1245	1791
38768	Dhargari		m u l j a ɹ u	dhar1247	1791
38769	Umpila		j a ŋ k i	umpi1239	1
38770	Wajarri		b u l i	waja1257	1789
38771	Wagaya		m oː d oː ɳ o	waga1260	1
38772	Wanggamala		m a ŋ k a l j a	wang1289	1792
38773	Ngura		g u r i m a ɹ a	ngur1261	1783
38774	Wardandi		w a g a l	ward1248	1
38775	Warrgamay		d j a j ŋ g i ɹ i	warr1255	1
38776	Warluwara		m a ŋ g a l j a	warl1256	1792
38777	Warumungu		m u n t i k u r a	waru1265	1
38778	Warrungo		g a b u l	waru1264	1784
38779	Wajuk		m a c i n d a	waju1234	1
38780	Wik-Mungkan		oː j ŋ o ɹ p a n	wikm1247	1
38781	Wirangu-Nauo		m u l j a n a	wira1260	1791
38782	Wulguru		g a b u l	wulg1239	1784
38783	Yabula Yabula		m a m u l	yabu1234	1783
38784	Yagara		c oː ɹ i a n d a d c o	yaga1262	1
38785	Yandruwandha		w a m a	yand1253	1786
38786	Yarluyandi		w a m a	yarl1238	1786
38787	Yidiñ		m u l g i	yidi1250	1
38788	Yindjibarndi		m a ɳ i j a r a	yind1247	1793
38789	Yindjilandji		b oː n ʔ g i	yind1248	1
38790	Yirandhali		k oː n d j	yira1239	1
38791	Yorta Yorta		m a m e lː	yort1237	1783
38793	Yulparitja		k u m i ɹ i r i	yulp1238	1
38794	Yuwaalaraay		j a b aː	yuwa1242	1787
