# Wordlist

# DATA
ID	DOCULECT	CONCEPT	TOKENS	GLOTTOCODE	COGID
#
1	Adnyamathanha	ABOVE	a r a	adny1235	18
2	Alyawarr	ABOVE	e r ɹ u l	alya1239	36
3	Alyawarr	ABOVE	e r ɹ u l e ŋ	alya1239	36
4	Andegerebinha	ABOVE	a r e c e n	ande1247	18
5	Arabana	ABOVE	a ɹ a t a	arab1267	18
6	Awabakal	ABOVE	w ɔ gː a	awab1243	29
7	Badimaya	ABOVE	g a ɖ a	badi1246	1
8	Yugambeh-Bandjalang	ABOVE	w a j	band1339	42
9	Kabikabi	ABOVE	m u n d u n n i	kabi1260	1
10	Southern Maric	ABOVE	ŋ a n g a ɲ	sout2765	51
11	Biri	ABOVE	ŋ a r a	biri1256	26
12	Birrpayi	ABOVE	b oː ɹ o w a	birr1241	27
13	Bunganditj	ABOVE	k a n _ m a ɳ a	bung1264	20
14	Dhangu	ABOVE	g a r w a ɹ	dhan1270	56
15	Thurawal	ABOVE	m i ɹ i ɹ	thur1254	53
16	Sydney	ABOVE	b u ɹ a w a	sydn1236	27
17	Dayi	ABOVE	g a r w a ɹ	dayi1244	56
18	Dhuwal	ABOVE	g a r w a ɹ	dhuw1249	56
20	Dieri	ABOVE	m i ɹ i	dier1241	17
21	Dyaabugay	ABOVE	w a ŋ g a ɹ	dyaa1242	32
22	Djambarrpuyngu	ABOVE	g a r w a ɹ	djam1256	56
23	Djapu	ABOVE	g a r w a ɹ	djap1238	56
24	Djinang	ABOVE	g u r g i	djin1253	15
25	Duungidjawu	ABOVE	g a ŋ a	duun1241	1
26	Dyirbal	ABOVE	d a l b i	dyir1250	1
27	Gamilaraay	ABOVE	ŋ u r i b a	gami1243	26
28	Gangulu	ABOVE	ŋ a r a	gang1268	26
29	Gureng Gureng	ABOVE	b u ɹ i	gure1255	46
30	Gumatj	ABOVE	g a r w a ɹ	guma1253	56
31	Kumbainggar	ABOVE	w a ɹ u	kumb1268	13
32	Gunditjmara	ABOVE	k u nː æ _ p uː ɹ æ	gund1249	1
33	Northern Inland Yui	ABOVE	j u ɹ u ŋ	nort2760	52
34	Kunggari	ABOVE	m i r a m u n d u	kung1258	17
35	Gupapuyngu	ABOVE	g a r w a ɹ	gupa1247	56
36	Gurindji	ABOVE	k a n k u l a	guri1247	34
37	Guugu Yimidhirr	ABOVE	w a ŋ g aː ɹ	gugu1255	1
38	Guyani	ABOVE	k a ɹ a	guya1249	18
39	Sydney	ABOVE	b u ɹ a w ɔ	sydn1236	1
40	Jaru	ABOVE	g a ŋ a n i	jaru1254	34
41	Jaru	ABOVE	g a ŋ a n i m a ɹ a ŋ o	jaru1254	34
43	Djiwarli	ABOVE	j i r a ɹ a	djiw1241	31
44	Kalkutung	ABOVE	p i r i n̪ a	kalk1246	30
45	Gamilaraay	ABOVE	ŋ g u r i b a	gami1243	26
46	Karadjeri	ABOVE	k a n t i ŋ k a	kara1476	45
