Subgroup	Language	GlossID	Gloss	PhonemecizedForm	CognateCode
Thura-Yura	Adnyamathanha	187	1pl.excl	ŋaɭpuɭa	25
Arandic	Alyawarr	187	1pl.excl	anunant̪ər	2
Western Nyulnyulan	Bardi	187	1pl.excl	arutu	45
Ngumpin-Yapa	Bilinarra	187	1pl.excl	=ɳalu	14
Yuin-Kuri	Darkinyung	187	1pl.excl	ŋiyaŋwayi	16
Yolngu	Dhangu	187	1pl.excl	ŋanapu	9
Yuin-Kuri	Dharawal	187	1pl.excl	ɲunalin	34
Yuin-Kuri	Dhurga	187	1pl.excl	ngayawangala	33
Karnic	Diyari	187	1pl.excl	ŋayana	30
Yolngu	Djinang	187	1pl.excl	ŋinibi	4
Garrwan	Garrwa	187	1pl.excl	nuru	22
Yolngu	Golpa	187	1pl.excl	ŋanapu	9
Bunuban	Gooniyandi	187	1pl.excl	ŋiti	32
Yolngu	Gupapuyngu	187	1pl.excl	ŋanapuru	9
Ngumpin-Yapa	Gurindji	187	1pl.excl	ŋantipa	14
Jaminjungan	Jaminjung	187	1pl.excl	yiri	47
Paman	Kaanju	187	1pl.excl	ŋana	2
Marrngu	Karajarri	187	1pl.excl	ŋanina	3
Paman	Koko-Bera	187	1pl.excl	ŋan̪t̪éntəw	15
Paman	Kuku Yalanji	187	1pl.excl	ŋaɲcin	15
Paman	Kuku-Wura	187	1pl.excl	lela	41
Ngayarta	Kurrama	187	1pl.excl	ŋaliyawuː	4
Paman	Kuuk Thaayorre	187	1pl.excl	ŋancn	15
Paman	Linngithigh	187	1pl.excl	na-	2
Wati	Martu Wangka	187	1pl.excl	lacu	23
Karnic	Ngamini	187	1pl.excl	ŋayiniwaɾa	13
Wororan	Ngarinyin	187	1pl.excl	ɲataken	32
Ngayarta	Ngarluma	187	1pl.excl	ŋanaɳa	2
Kartu	Nhanta	187	1pl.excl	ŋan̪u	6
Paman	Ntra’ngith	187	1pl.excl	na-	2
Marrngu	Nyangumarta	187	1pl.excl	ŋali	4
Eastern Nyulnyulan	Nyikina	187	1pl.excl	yaɹʈyu	46
Western Nyulnyulan	Nyulnyul	187	1pl.excl	yatir	46
Kanyara-Mantharta	Payungu	187	1pl.excl	ŋan̪uru	6
Yolngu	Ritharrngu	187	1pl.excl	ŋanapuluŋu	8
Kanyara-Mantharta	Thalanyji	187	1pl.excl	ŋanaɳa	2
Paman	Umpila	187	1pl.excl	ŋana	2
Paman	Uradhi	187	1pl.excl	ana(βa)	2
Paman	Uw Oykangand	187	1pl.excl	an̪t̪an	15
Kartu	Wajarri	187	1pl.excl	ŋancu	6
Warluwaric	Wakaya	187	1pl.excl	ŋanimpa	5
Karnic	Wangkumara	187	1pl.excl	ŋana	2
Ngumpin-Yapa	Warlmanpa	187	1pl.excl	ŋayu (-ɳa-lu)	20
Ngumpin-Yapa	Warlpiri	187	1pl.excl	ŋanimpa	5
Wati	Warnman	187	1pl.excl	parawaʈa	31
Kulin	Wemba-Wemba	187	1pl.excl	yaŋuɹaŋ	42
Thura-Yura	Wirangu	187	1pl.excl	ŋaluɭu	4
Wororan	Worrorra	187	1pl.excl	atkanaŋkoːɹe. aro	48
Wororan	Wunambal	187	1pl.excl	ɲara	32
Karnic	Yandruwandha	187	1pl.excl	ŋani	2
Warluwaric	Yanyuwa	187	1pl.excl	ŋanu	29
Karnic	Yarluyandi	187	1pl.excl	ŋaɲuru	13
Eastern Nyulnyulan	Yawuru	187	1pl.excl	yaryir	46
Paman	Yir Yoront	187	1pl.excl	ŋet̪n	15
Yotayotic	Yorta Yorta	187	1pl.excl	ɲana	24
Wati	Yulparija	187	1pl.excl	ŋayuʈi	7
Thura-Yura	Adnyamathanha	188	1pl.incl	ŋaɭpuɭa	34
Western Nyulnyulan	Bardi	188	1pl.incl	aritil	38
Waka-Kabi	Batyala	188	1pl.incl	ŋalin-ŋin	23
Ngumpin-Yapa	Bilinarra	188	1pl.incl	ŋayira	15
Warluwaric	Bularnu	188	1pl.incl	ŋapala	21
Maningrida	Burarra	188	1pl.incl	ŋuwur	40
Yuin-Kuri	Darkinyung	188	1pl.incl	ŋiyaŋ	19
Yolngu	Dhangu	188	1pl.incl	ŋalma	18
