ID	DOCULECT	DOCULECT_ABBREVIATION	DOCULECT_FILE	POPULATION_NAME	GLOTTOCODE	CONCEPT	GLOSSID	VALUE	FORM	COGNACY	COG	DOCULECT_AGE	BORROWING	NOTE	COGID	TOKENS
3218	Quueyu	QUE	syc		quey1238	I	42	ŋa.13, ŋɨ.13	ŋa¹³	2471	2471:I	20	0		615	ŋ a ¹³
3219	Dhimal	DHI	dhim		dhim1246	I	42	ka	ka	2471	2471:I	20	0		615	k a
3220	Apatari	APA	tani		apat1240	I	42	ŋó	ŋó	2471	2471:I	20	0		615	ŋ o
3221	Jianchuan Bai	BAI	sino		jian1239	I	42	ŋo3	ŋo³	2471	2471:I	20	0		615	ŋ o ³
3222	Jirel	JIR	tib		jire1238	I	42	ŋa. L2	ŋa_L²	2471	2471:I	20	0		615	ŋ a _ ²
3223	Old Chinese	OCH	sino	Han	oldc1244	I	42	ŋhājʔ 我	ŋhājʔ	2471	2471:I	-10	0		615	ŋʰ aː j ʔ
3224	Idu	IDU	idu		idum1241	I	42	ŋa.2	ŋa²	2471	2471:I	20	0		615	ŋ a ²
3225	Lhota	LHO	naga	Naga (Ao_Naga)	loth1237	I	42	a	a	2730	2730:I	20	0	Naga Lotha	769	a
3226	Lushai	LSH	chin		lush1249	I	42	kei=ma	keima	2471	2471:I	20	0		615	k e i ◦ m a
3227	Lepcha	LEP	lep		lepc1244	I	42	kă-do	kă-do	2471	2471:I	20	0		615	k a + d o
3228	Sgaw	SGO	kar	Karen	sgaw1245	I	42	jạ.33	jạ³³	2471	2471:I	20	0		615	j a̰ ³³
3229	Rourou	ROU	nung		nusu1239	I	42	ŋo.33	ŋo³³	2471	2471:I	20	0		615	ŋ o ³³
3230	Chokri	CHO	naga		chok1243	I	42	i	i	2730	2730:I	20	0		769	i
3231	Khezhama	KHE	naga		khez1235	I	42	nhy	nhy	2471	2471:I	20	0		615	nʰ y
3232	Dulong	DUL	trun		drun1238	I	42	ŋa.53	ŋa⁵³	2471	2471:I	20	0		615	ŋ a ⁵³
3233	Tangkul	TAN	naga		tang1336	I	42	iya	iya	2730	2730:I	20	0		769	i y a
3234	Pa'O	PAO	kar	Karen	paok1235	I	42	khwi.55	khwi⁵⁵	2471	2471:I	20	0		615	kʰ w i ⁵⁵
3235	Yamphu	YAM	kir		yamp1242	I	42	ka	ka	2471	2471:I	20	0		615	k a
3236	Kulung	KUL	kir		kulu1253	I	42	kɔŋ	kɔŋ	2471	2471:I	20	0		615	k ɔ ŋ
3237	Geker	GEK	kar	Karen	geko1235	I	42	khe.53	khe⁵³	2471	2471:I	20	0	Geko Karen?	615	kʰ e ⁵³
3238	Ersu	ERS	syc		ersu1241	I	42	a.55	a⁵⁵	2730	2730:I	20	0		769	a ⁵⁵
3239	Phom	PHO	knyk		phom1236	I	42	ŋei	ŋei	2471	2471:I	20	0		615	ŋ e i
3240	Ao-Mongsen	AOM	naga	Naga (Ao_Naga)	mong1332	I	42	ni	ni	2471	2471:I	20	0	Naga Ao	615	n i
3241	Sherpa	SHE	tib	Sherpa	sher1255	I	42	ŋa. LF	ŋa_LF	2471	2471:I	20	0	Solu-Khumbu Sherpa	615	ŋ a
3242	Rawang	RAW	trun		rawa1265	I	42	ŋa	ŋa	2471	2471:I	20	0		615	ŋ a
3243	Wancho	WAN	knyk		wanc1238	I	42	ku	ku	2471	2471:I	20	0		615	k u
3244	Bokar	BOK	tani		bori1243	I	42	ŋo:	ŋoː	2471	2471:I	20	0	Stage 2	615	ŋ oː
3245	Nusu	NUS	nung		nusu1239	I	42	ŋa.35	ŋa³⁵	2471	2471:I	20	0	Stage 2	615	ŋ a ³⁵
3246	Geba	GEB	kar	Karen	geba1237	I	42	jɛ.33	jɛ³³	2471	2471:I	20	0		615	j ɛ ³³
3247	Manu	MNU	kar	Karen	manu1255	I	42	he.11	he¹¹	2471	2471:I	20	0	Manumanaw Karen	615	h e ¹¹
3248	Alike Tibetan	ALI	tib		amdo1237	I	42	ŋä	ŋä	2471	2471:I	20	0		615	ŋ æ
3249	Shixing	SHI	syc		shix1238	I	42	ŋâ.55	ŋâ⁵⁵	2471	2471:I	20	0		615	ŋ a ⁵⁵
3250	Aka	AKA	aka		akha1245	I	42	no	no	2471	2471:I	20	0		615	n o
3251	Nocte	NOC	knyk		noct1238	I	42	ŋa	ŋa	2471	2471:I	20	0		615	ŋ a
3252	Ninglang-Naxi	NIN	bur	Naxi	naxi1245	I	42	ńa.33	ńa³³	2471	2471:I	20	0	belong to western Naxi, no glottolog entry so I use naxi1245.	615	nʲ a ³³
3253	Khaling	KLN	kir		khal1275	I	42	uŋ.H	uŋH	2471	2471:I	20	0		615	u ŋ
3254	Langsu-Maru	LAN	bur		maru1249	I	42	ŋɔ.31	ŋɔ³¹	2471	2471:I	20	0		615	ŋ ɔ ³¹
3255	W. Kayah	KYH	kar	Karen	west2409	I	42	va.33	va³³	4209	4209:I	20	0	Kayah Western	1015	v a ³³
3256	Written Tibetan	WRT	tib	Tibetan	tibe1272	I	42	ŋa	ŋa	2471	2471:I	20	0		615	ŋ a
3257	Nishi	NIS	tani	Nysha	nisi1238	I	42	ŋo	ŋo	2471	2471:I	20	0	Nisi?	615	ŋ o
3258	Batang Tibetan	BAT	tib		kham1282	I	42	ŋa.231	ŋa²³¹	2471	2471:I	20	0		615	ŋ a ² ◦ ³¹
3259	Dumi	DUM	kir		dumi1241	I	42	aŋ	aŋ	2471	2471:I	20	0		615	a ŋ
3260	Gurung	GUR	gur		guru1261	I	42	ŋa.1	ŋa¹	2730	2730:I	20	0		769	ŋ a ¹
3261	Lhasa Tibetan	LHA	tib	Tibetan	tibe1272	I	42	ŋa.13	ŋa¹³	2471	2471:I	20	0		615	ŋ a ¹³
3262	Garo	GAR	bodo	Garo	garo1247	I	42	aŋa	aŋa	2471	2471:I	20	0		615	a ◦ ŋ a
3263	Hill-Miri	HIL	tani	Nysha	nyis1236	I	42	ŋo	ŋo	2471	2471:I	20	0		615	ŋ o
3264	Limbu	LIM	kir		limb1266	I	42	\Iaŋgā,iŋg \i	\Iaŋgā	2471	2471:I	20	0		615	i a ŋ ◦ g a
3265	Upper-Bangni	UBA	tani		bang1338	I	42	ŋo	ŋo	2471	2471:I	20	0		615	ŋ o
3266	Leqi	LEQ	bur		lash1243	I	42	ŋo.31	ŋo³¹	2471	2471:I	20	0		615	ŋ o ³¹
3267	Hakka	HKK	sino	Hakka	hakk1236	I	42	ŋai2	ŋai²	2471	2471:I	20	0		615	ŋ a i ²
3268	Motuo-M	MOT	mot	Tibetan	dakp1242	I	42	ʒ́aŋ	ʒ́aŋ	2729	2729:I	20	0	Tawang Monpa, Dakpakha?	764	ʒʲ a ŋ
3269	Tujia	TUJ	tujia	Tujia	nort2732	I	42	ŋa.3	ŋa³	2471	2471:I	20	0	Northern Tujia [nort2732] & Southern Tujia [sout2739]	615	ŋ a ³
3270	Beijing	PEK	sino	CHB	mand1415	I	42	wǒ 我	wǒ	2471	2471:I	20	0		615	w o
3271	Zhaba	ZHA	syc		zhab1238	I	42	ŋo.51	ŋo⁵¹	2471	2471:I	20	0	Stage 2	615	ŋ o ⁵¹
3272	Kaike	KAY	kay		kaik1246	I	42	ŋa	ŋa	2471	2471:I	20	0		615	ŋ a
3273	Yintale	YIN	kar	Karen	yint1235	I	42	khwɛ.55	khwɛ⁵⁵	2471	2471:I	20	0	Yintale Karen	615	kʰ w ɛ ⁵⁵
3274	Jinuo	JIN	bur	Jinuo	youl1235	I	42	ŋɔ.42	ŋɔ⁴²	2471	2471:I	20	0	(Youle Jinuo [youl1235 ] & Buyuan Jinuo [buyu1238])	615	ŋ ɔ ⁴²
3275	Serdukpen	SER	sul		sher1257	I	42	gu	gu	2471	2471:I	20	0	Stage 2	615	g u
3276	Namuzi	NAM	syc		namu1246	I	42	ŋa.55	ŋa⁵⁵	2471	2471:I	20	0		615	ŋ a ⁵⁵
3277	Xiaxe Tibetan	XIA	tib		amdo1237	I	42	ŋa	ŋa	2471	2471:I	20	0		615	ŋ a
3278	Lüsu	LUS	syc		lisu1250	I	42	æ.53, a.33 duo	æ⁵³	2730	2730:I	20	0		769	æ ⁵³
3279	Yimchunrü	YIM	naga	Naga (Ao_Naga)	yimc1240	I	42	i	i	2730	2730:I	20	0	Naga Yimchungru	769	i
3280	Liangmai	LIA	naga		lian1251	I	42	i	i	2730	2730:I	20	0		769	i
3281	Dimasa	DIM	bodo		dima1251	I	42	aŋ	aŋ	2471	2471:I	20	0		615	a ŋ
3282	Yeinbaw	YEI	kar	Karen	yinb1236	I	42	khi.55	khi⁵⁵	2471	2471:I	20	0	Yinbaw Karen	615	kʰ i ⁵⁵
3283	N-Qiang	QIA	syc		nort2722	I	42	qa	qa	2730	2730:I	20	0	Stage 2	769	q a
