lang	glottcode
Adnyamathanha	adny1235
Aghu-Tharrnggala	aghu1254
Alak	alak1253
Alike Tibetan	amdo1237
Alyawarr	alya1239
ANCIENT_GREEK	anci1242
Antekerrepenhe	ande1247
Anuta	anut1237
Ao-Chungli	chon1286
Ao-Mongsen	mong1332
Apatari	apat1240
Arabana	arab1267
Awabakal	awab1243
Badimaya	badi1246
Badjiri	badj1244
Bahnar-Golar	gola1254
Bahnar-Kontum	kont1244
Bahnar-Pleiku	bahn1262
Bandjalang	band1339
BanjareseMalay	banj1239
Batang Tibetan	kham1282
Batyala	kabi1260
Beijing	mand1415
BELARUSIAN	bela1254
Bidyara-Gungabula	sout2765
BIHARI	mait1250
Bilinarra	bili1250
Biri	biri1256
Birrpayi	birr1241
Bodo	bodo1269
Bokar	bori1243
Bola	pela1242
Brao	lave1249
Bru-Talan	ongg1239
Bru-Ubon	east2332
Bugan	buga1247
Bularnu	bula1255
BULGARIAN	bulg1262
Bunganditj	bung1264
Burmese	nucl1310
Car	carn1240
Carolinian	caro1242
CATALAN	stan1289
Cebuano	cebu1242
Chuukese	chuu1238
ChuukeseAKATrukese	chuu1238
Colac	cola1237
Cua	cuaa1241
CZECH	czec1258
DANISH	dani1285
DANISH_FJOLDE	
Darkinyung	hawk1239
DayakNgaju	ngaj1237
Dhangu	dhan1270
Dharawal	thur1254
Dharuk	sydn1236
Dharumbal	dhar1248
Dhayyi	dayi1244
Dhimal	dhim1246
Dhudhuroa	dhud1236
Dhurga	dhur1239
Dhuwal	dhuw1249
Dhuwala	
Dimasa	dima1251
Diyari	dier1241
Djabugay	dyaa1242
Djambarrpuyngu	djam1256
Djapu	djap1238
Djinang	djin1253
Dulong	drun1238
Durubul	
DUTCH	dutc1256
Duungidjawu	duun1241
Dyirbal	dyir1250
EastSumbaneseKamberaSoutherndialect	sout2885
EastSumbaneseUmbuRatuNggaidialect	umar1237
ELFDALIAN	elfd1234
ENGLISH	stan1293
Ersu	ersu1241
FAROESE	faro1244
Flinders Island	flin1247
FRENCH	stan1290
FutunaEast	east2447
Fuzhou	mind1253
Gairi	wadj1255
Gamilaraay	gami1243
Gangulu	gang1268
Garlali	kala1380
Garo	garo1247
Geba	geba1237
Geker	geko1235
GERMAN	stan1295
Gooreng Gooreng	gure1255
Gorum	pare1266
GREEK	mode1248
Gudjal	gudj1237
Guiqiong	guiq1238
Gumatj	guma1253
Gumbaynggir	kumb1268
Gunditjmara	gund1249
Gundungurra	nort2760
Gunggari	kung1258
Gunya	guny1241
Gupapuyngu	gupa1247
Gurindji	guri1247
Gurung	guru1261
GUTNISH_LAU	laum1238
Guugu-Yimidhirr	gugu1255
Guwa	guwa1242
Guyani	guya1249
Hakka	hakk1236
Halang	hala1252
Hill-Miri	nyis1236
Hmar	hmar1241
Horpa	horp1239
ICELANDIC	icel1247
Idu	oduu1239
Idu	idum1241
Imorod	ivat1242
In	irrr1240
Indonesian	indo1316
Iraralay	ivat1242
Isamorong	ivat1242
ITALIAN	ital1282
Itbayat	ivat1242
Itbayaten	itba1237
Ivasay	ivat1242
Iyora	sydn1236
Jaru	jaru1254
Jaru-McC	
Jeh	jehh1245
Jingpo	kach1280
Jinuo	youl1235
Jirel	jire1238
Jiwarli	djiw1241
Jiwarliny	walm1241
Jru-Laven	lave1248
Kaanju	kanj1260
Kaike	kaik1246
Kalkatungu	kalk1246
Kamilaroi	gami1243
Karajarri	kara1476
KarajarriNW	
Karii	male1282
Kariyarra	kari1304
Karree	
Kartujarra	kart1247
Karuwali	karr1236
Katang	kata1264
Katingan	ngaj1237
Katthang	gath1234
Katu-AnDiem	east1236
Kaurna	kaur1267
Keramin	nort2756
Khaling	khal1275
Kharia	khar1287
Khasi	khas1269
Khmer-Standard	cent1989
Khmer-Surin	nort2684
Khmu-Cuang	khmu1256
Khmu-Yuan	yuan1241
Kugu Nganhcara	kuku1280
Kukatj	guga1239
Kukatja	kuka1246
Kuku Yalanji	kuku1273
KukuYalanjiCurr	
Kulung	kulu1253
Kungadutyi	
Kungkari	kuun1236
Kurnu	kula1275
Kurrama	kurr1243
Kurtjar	gurd1238
Kuuku-Ya’u	kuuk1238
Lakalai	naka1262
LATIN	lati1261
Lawa(Ratanakul)	west2396
Lepcha	lepc1244
Lhasa Tibetan	tibe1272
Lhota	loth1237
Liangmai	lian1251
Lijiang-Naxi	lich1241
Limbu	limb1266
Linngithigh	leni1238
Luangiua	onto1237
Lushai	lush1249
Lüsu	lisu1250
Mabuiag	kala1377
MACEDONIAN	mace1250
Mal-T'in	mall1246
MalayBahasaIndonesia	indo1316
Malgana	malg1242
Malngin	maln1239
Malyangapa	maly1234
Mang	mang1378
MangalaMcK	
MangalaNW	
Mankong	sooo1254
ManMet	manm1238
Manu	manu1255
Maori	maor1246
MARATHI	mara1378
Margany	marg1253
Marquesan	nort2845
Martu Wangka	mart1256
Mary River and Bunya Bunya Country	
Mathi-Mathi	madh1244
Mayi-Kulan	mayi1236
Mayi-Kutuna	maya1280
Mayi-Thakurti	mayi1234
Mayi-Yapi	mayi1235
Mbabaram	mbab1239
Mbakwithi	angu1242
Minangkabau	mina1268
Minjungbal	minj1242
Mirniny	kala1379
Mithaka	mith1236
Mnong-Rölöm	east2333
Mon	monn1252
Motuo-M	dakp1242
Mount Freeling Diyari	
Mudburra	mudb1240
Mudburra-McC	
Muruwari	muru1266
N-Qiang	nort2722
NakanaiBilekiDialect	naka1262
Namuzi	namu1246
Nancowri	cent1990
Narrungga	naru1238
Ng'goi Mwoi	
Ngaanyatjarra	ngaa1240
Ngadjumaya	ngad1258
Ngadjuri	ngad1257
Ngaiawang	lowe1402
Ngamini	ngam1284
Ngardily	nort2753
Ngarigu	ngar1297
Ngarinyman	ngar1235
Ngarla	ngar1296
Ngarluma	ngar1287
Ngarrindjeri	narr1259
Ngawun	ngaw1240
Nge'	ngeq1245
Ngiyambaa	ngiy1239
Ngunawal	ngun1277
Nhanta	nhan1238
Nhirrpi	nhir1234
Ninglang-Naxi	naxi1245
Niue	niue1239
Northern Mangarla	mang1383
Northern Nyangumarta	nort2754
NORWEGIAN_RIKSMAL	norw1258
Nusu	nusu1239
Nyaheun	nyah1249
Nyahkur	nyah1250
Nyamal	nyam1271
Nyangumarta	nyan1301
Nyungar	nyun1247
Ogan	cent2053
Old Chinese	oldc1244
OLD_CHURCH_SLAVONIC	chur1257
OLD_IRISH	oldi1245
OLD_NORSE	oldn1244
OLD_SWEDISH	
ORIYA	oriy1255
OSSETIC_DIGOR	osse1243
OSSETIC_IRON	osse1243
Pa'O	paok1235
Paakantyi	darl1243
Pacoh	paco1243
Padam	pada1257
Pakanh	paka1251
Palaung-Dara'ang	ruch1235
Palaung-Kalaw	ruch1235
Palaung-Namhsan	shwe1236
Pallanganmiddang	pall1243
Panyjima	pany1241
Parnkala	bang1339
Payungu	bayu1240
Penrhyn	penr1237
Piangil	west2443
Pintupi-Luritja	pint1250
Pirriya	pirr1240
Pitjantjatjara	pitj1243
Pitta-Pitta	pitt1247
Pnar	pnar1238
POLISH	poli1260
PORTUGUESE	port1283
Quueyu	quey1238
RapanuiEasterIsland	rapa1244
Rarotongan	raro1241
Rawang	rawa1265
Rengao	reng1252
Rennellese	renn1242
Riang-Sak	rian1261
Rirratjingu	rirr1238
Ritharrngu	rita1239
Rourou	nusu1239
Ruc	rucc1239
Rurutuan	aust1304
RUSSIAN	russ1263
Samoan	samo1305
Santali	sant1410
Sedang	seda1262
SERBOCROATIAN	serb1264
SERBO-CROATIAN	serb1264
Serdukpen	sher1257
Sgaw	sgaw1245
Sherpa	sher1255
Shixing	shix1238
Sikaiana	sika1261
SLOVAK	slov1269
SLOVENIAN	slov1268
