ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID
3218	Quueyu	quey1238	I		ŋa¹³	ŋ a	N a	N V	N A	I:615	615
3219	Dhimal	dhim1246	I		ka	k a	k a	K V	K A	I:615	615
3220	Apatari	apat1240	I		ŋó	ŋ o	N o	N V	N U	I:615	615
3222	Jirel	jire1238	I		ŋa_L²	ŋ a	N a	N V	N A	I:615	615
3223	Old Chinese	oldc1244	I		ŋhājʔ	ŋʰ aː j ʔ	N a y 7	N V J H	N A J H	I:615	615
3224	Idu	idum1241	I		ŋa²	ŋ a	N a	N V	N A	I:615	615
3225	Lhota	loth1237	I		a	a	a	V	A	I:769	769
3226	Lushai	lush1249	I		keima	k e i m a	k e i m a	K V V M V	K E I M A	I:615	615
3227	Lepcha	lepc1244	I		kă-do	k a d o	k a d o	K V T V	K A T U	I:615	615
3228	Sgaw	sgaw1245	I		jạ³³	j a̰	y a	J V	J A	I:615	615
3229	Rourou	nusu1239	I		ŋo³³	ŋ o	N o	N V	N U	I:615	615
3232	Dulong	drun1238	I		ŋa⁵³	ŋ a	N a	N V	N A	I:615	615
3233	Tangkul	tang1336	I		iya	i y a	i i a	V V V	I Y A	I:769	769
3234	Pa'O	paok1235	I		khwi⁵⁵	kʰ w i	k w i	K W V	K W I	I:615	615
3236	Kulung	kulu1253	I		kɔŋ	k ɔ ŋ	k o N	K V N	K U N	I:615	615
3237	Geker	geko1235	I		khe⁵³	kʰ e	k e	K V	K E	I:615	615
3238	Ersu	ersu1241	I		a⁵⁵	a	a	V	A	I:769	769
3240	Ao-Mongsen	mong1332	I		ni	n i	n i	N V	N I	I:615	615
3241	Sherpa	sher1255	I		ŋa_LF	ŋ a	N a	N V	N A	I:615	615
3242	Rawang	rawa1265	I		ŋa	ŋ a	N a	N V	N A	I:615	615
3244	Bokar	bori1243	I		ŋoː	ŋ oː	N o	N V	N U	I:615	615
3245	Nusu	nusu1239	I		ŋa³⁵	ŋ a	N a	N V	N A	I:615	615
3246	Geba	geba1237	I		jɛ³³	j ɛ	y E	J V	J E	I:615	615
3247	Manu	manu1255	I		he¹¹	h e	h e	H V	H E	I:615	615
3248	Alike Tibetan	amdo1237	I		ŋä	ŋ æ	N E	N V	N E	I:615	615
3249	Shixing	shix1238	I		ŋâ⁵⁵	ŋ a	N a	N V	N A	I:615	615
3252	Ninglang-Naxi	naxi1245	I		ńa³³	nʲ a	n a	N V	N A	I:615	615
3253	Khaling	khal1275	I		uŋH	u ŋ	u N	V N	Y N	I:615	615
3255	W. Kayah	west2409	I		va³³	v a	v a	W V	B A	I:1015	1015
3256	Written Tibetan	tibe1272	I		ŋa	ŋ a	N a	N V	N A	I:615	615
3258	Batang Tibetan	kham1282	I		ŋa²³¹	ŋ a	N a	N V	N A	I:615	615
3260	Gurung	guru1261	I		ŋa¹	ŋ a	N a	N V	N A	I:769	769
3261	Lhasa Tibetan	tibe1272	I		ŋa¹³	ŋ a	N a	N V	N A	I:615	615
3262	Garo	garo1247	I		aŋa	a ŋ a	a N a	V N V	A N A	I:615	615
3263	Hill-Miri	nyis1236	I		ŋo	ŋ o	N o	N V	N U	I:615	615
3264	Limbu	limb1266	I		\Iaŋgā	i a ŋ g a	i a N g a	V V N K V	I A N K A	I:615	615
3267	Hakka	hakk1236	I		ŋai²	ŋ a i	N a i	N V V	N A I	I:615	615
3268	Motuo-M	dakp1242	I		ʒ́aŋ	ʒʲ a ŋ	Z a N	S V N	S A N	I:764	764
3269	Tujia	nort2732	I		ŋa³	ŋ a	N a	N V	N A	I:615	615
3270	Beijing	mand1415	I		wǒ	w o	w o	W V	W U	I:615	615
3271	Zhaba	zhab1238	I		ŋo⁵¹	ŋ o	N o	N V	N U	I:615	615
