ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	ASJP1	id	svmCC	lpCC
6912	Alak	alk	I, me		ʔal	ʔ a l	7 a l	H V R	H A L	5	9	7al	0	I, me:2	1
6913	Bahnar-Golar	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1	7iN	1	I, me:4	1
6914	Bahnar-Kontum	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1	7iN	2	I, me:4	1
6915	Bahnar-Pleiku	bdq	I, me		ʔiɲ	ʔ i ɲ	7 i H	H V N	H I N	1	1	7iN	3	I, me:4	1
6916	Brao	brb	I, me		ʔaj	ʔ a j	7 a y	H V J	H A J	6	10	7ay	4	I, me:2	1
6920	Cua	cua	I, me		go	g o	g o	K V	K U	7	11	go	5	I, me:14	2
6921	Halang	hal	I, me		ʔau	ʔ au	7 a	H V	H A	6	10	7a	6	I, me:2	1
6922	Jeh	jeh	I, me		ʔaw	ʔ a w	7 a w	H V W	H A W	6	10	7aw	7	I, me:2	1
6923	Jru-Laven	lbo	I, me		ʔaːj	ʔ aː j	7 a y	H V J	H A J	6	10	7ay	8	I, me:2	1
6927	Mnong-Rölöm	mng	I, me		ʔaɲ	ʔ a ɲ	7 a H	H V N	H A N	1	1	7aN	9	I, me:4	1
6928	Nyaheun	nev	I, me		ʔaː	ʔ aː	7 a	H V	H A	6	10	7a	10	I, me:2	1
6930	Rengao	ren	I, me		ʔaw	ʔ a w	7 a w	H V W	H A W	6	10	7aw	11	I, me:2	1
6932	Sedang	sed	I, me		ʔaw	ʔ a w	7 a w	H V W	H A W	6	10	7aw	12	I, me:2	1
6933	Sre	kpm	I, me		ʔaɲ	ʔ a ɲ	7 a H	H V N	H A N	1	1	7aN	13	I, me:4	1
6934	Stieng	sti	I, me		hej	h e j	h e y	H V J	H E J	9	12	hey	14	I, me:2	1
6937	Bru-Talan	oog	I, me		kɨː	k ɨː	k I	K V	K I	10	2	k3	15	I, me:1	2
6938	Bru-Ubon	bru	I, me		kɤw	k ɤ w	k o w	K V W	K E W	10	2	kow	16	I, me:1	2
6939	In	irr	I, me		kɨː	k ɨː	k I	K V	K I	10	2	k3	17	I, me:1	2
6940	Katang	kgd	I, me		kaw	k a w	k a w	K V W	K A W	10	2	kaw	18	I, me:1	2
6941	Katu-AnDiem	ktv	I, me		kuː	k uː	k u	K V	K Y	10	2	ku	19	I, me:1	2
6944	Kui(Sriwises1978)	kdt	I, me		kaw	k a w	k a w	K V W	K A W	10	2	kaw	20	I, me:1	2
6945	Kui(Sriwises1978)	kdt	I, me		haj	h a j	h a y	H V J	H A J	9	12	hay	21	I, me:2	1
6946	Kui(Huffman1979)	kdt	I, me		kʌw	k ʌ w	k o w	K V W	K E W	10	2	kow	22	I, me:1	2
6948	Mankong	sss	I, me		kɨ̤ʔ	k ɨ̤ ʔ	k I 7	K V H	K I H	10	2	k37	23	I, me:1	2
6949	Nge'	ngt	I, me		kəw	k ə w	k I w	K V W	K E W	10	2	k3w	24	I, me:1	2
6950	Pacoh	pac	I, me		kɯː	k ɯː	k u	K V	K I	10	2	ku	25	I, me:1	2
6951	So-Khammouane	sss	I, me		ŋko̤aʔ	ŋ k o̤a ʔ	N k o 7	N K V H	N K U H	10	2	Nko7	26	I, me:1	2
6952	So-SakonNakhon	sss	I, me		ŋkɑ̤ʔ	ŋ k ɑ̤ ʔ	N k o 7	N K V H	N K A H	10	2	Nko7	27	I, me:1	2
6953	So-SakonNakhon	sss	I, me		hiʔ	h i ʔ	h i 7	H V H	H I H	9	12	hi7	28	I, me:3	1
6954	Souei-Saravan	kdt	I, me		kɨː	k ɨː	k I	K V	K I	10	2	k3	29	I, me:1	2
6955	TaOi	tto	I, me		kɨː	k ɨː	k I	K V	K I	10	2	k3	30	I, me:1	2
6956	Pnar	pbv	I, me		ʔɔ	ʔ ɔ	7 o	H V	H U	11	3	7o	31	I, me:3	1
6957	Khmer-Surin	kxm	I, me		ʔaɲ	ʔ a ɲ	7 a H	H V N	H A N	1	1	7aN	32	I, me:4	1
6958	Khmer-Standard	khm	I, me		kʰɲum	kʰ ɲ u m	k H u m	K N V M	K N Y M	12	4	kNum	33	I, me:5	2
6959	Idu	tyh	I, me		naʔɛ̰̂ːŋ	n a ʔ ɛ̰̂ː ŋ	n a 7 E N	N V H V N	N A H E N	13	5	na7EN	34	I, me:4	1
6960	Khmu-Cuang	kjg	I, me		ʔoʔ	ʔ o ʔ	7 o 7	H V H	H U H	11	3	7o7	35	I, me:3	1
6962	Khmu-Yuan	kjg	I, me		ʔòʔ	ʔ ò ʔ	7 o 7	H V H	H U H	11	3	7o7	36	I, me:3	1
6964	Mal-T'in	mlf	I, me		ʔəɲ	ʔ ə ɲ	7 I H	H V N	H E N	1	1	73N	37	I, me:4	1
6970	Bugan	bbh	I, me		ɔ̱³¹	ɔ̱	o	V	U	11	3	o	38	I, me:6	5
6971	Mang	zng	I, me		ʔuː⁴	ʔ uː	7 u	H V	H Y	11	3	7u	39	I, me:3	1
6972	Nyahkur	cbn	I, me		wɛ́j	w ɛ́ j	w E y	W V J	W E J	14	6	wEy	40	I, me:2	1
6973	Mon	mnw	I, me		ʔoa	ʔ oa	7 o	H V	H U	14	6	7o	41	I, me:3	1
6976	Gorum	pcj	I, me		miŋ	m i ŋ	m i N	M V N	M I N	1	1	miN	42	I, me:4	1
6979	Kharia	khr	I, me		iŋ	i ŋ	i N	V N	I N	1	1	iN	43	I, me:4	1
6983	Santali	sat	I, me		ʔɤʔ	ʔ ɤ ʔ	7 o 7	H V H	H E H	11	3	7o7	44	I, me:3	1
6984	Sora	srb	I, me		iɲ	i ɲ	i H	V N	I N	1	1	iN	45	I, me:4	1
6985	Sora	srb	I, me		ɲen	ɲ e n	H e n	N V N	N E N	1	1	Nen	46	I, me:7	1
6986	Car	caq	I, me		cin	c i n	T i n	K V N	C I N	15	7	Tin	47	I, me:8	3
6988	Nancowri	ncb	I, me		ca	c a	T a	K V	C A	15	7	Ta	48	I, me:9	3
6989	Nancowri	ncb	I, me		cɯa	c ɯa	T u	K V	C I	15	7	Tu	49	I, me:10	3
6999	Lawa(Ratanakul)	lcp	I, me		ʔe	ʔ e	7 e	H V	H E	11	3	7e	50	I, me:3	1
7001	ManMet	mml	I, me		ɔʔ⁵³	ɔ ʔ	o 7	V H	U H	11	3	o7	51	I, me:3	4
7003	Palaung-Dara'ang	pce	I, me		Ɂo	Ɂ o	7 o	H V	H U	11	3	7o	52	I, me:3	1
7004	Palaung-Kalaw	pce	I, me		ʔowniː	ʔow niː	7 n	H N	H N	11	3	7n	53	I, me:11	1
7006	Palaung-Namhsan	pce	I, me		ʔɔ	ʔ ɔ	7 o	H V	H U	11	3	7o	54	I, me:3	1
7007	Riang-Sak	ril	I, me		ʔoʔ¹	ʔ o ʔ	7 o 7	H V H	H U H	11	3	7o7	55	I, me:3	1
7011	Wa-Praok	prk	I, me		aə	aə	a	V	A	11	3	a	56	I, me:12	6
7018	Karii	pkt	I, me		tɛːʔ	t ɛː ʔ	t E 7	T V H	T E H	18	8	tE7	57	I, me:13	4
7021	Ruc	scb	I, me		ho	h o	h o	H V	H U	18	8	ho	58	I, me:3	1
2	Bahnar-Golar	bdq	alcohol/liquor		hədroː	h ə d r oː	h I d r o	H V T R V	H E T R U	2	18	h3dro	59	alcohol/liquor:24	8
3	Bahnar-Kontum	bdq	alcohol/liquor		siːk	s iː k	s i k	S V K	S I K	3	26	sik	60	alcohol/liquor:9	10
4	Bahnar-Pleiku	bdq	alcohol/liquor		siːk	s iː k	s i k	S V K	S I K	3	26	sik	61	alcohol/liquor:9	10
5	Jeh	jeh	alcohol/liquor		nnah	nn a h	n a h	N V H	N A H	42	33	nah	62	alcohol/liquor:23	22
8	Sre	kpm	alcohol/liquor		tərnom	t ə r n o m	t I r n o m	T V R N V M	T E R N U M	5	34	t3rnom	63	alcohol/liquor:22	16
9	Bru-Ubon	bru	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35	bloN	64	alcohol/liquor:1	7
10	Katang	kgd	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35	bloN	65	alcohol/liquor:1	7
15	Kui(Sriwises1978)	kdt	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35	bloN	66	alcohol/liquor:1	7
16	Kui(Huffman1979)	kdt	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35	bloN	67	alcohol/liquor:1	7
17	Mankong	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35	bloN	68	alcohol/liquor:1	7
18	Nge'	ngt	alcohol/liquor		riːw	r iː w	r i w	R V W	R I W	39	31	riw	69	alcohol/liquor:2	9
19	Pacoh	pac	alcohol/liquor		ʔariəw	ʔ a r iə w	7 a r i w	H V R V W	H A R I W	39	31	7ariw	70	alcohol/liquor:2	9
20	So-Khammouane	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35	bloN	71	alcohol/liquor:1	7
21	So-SakonNakhon	sss	alcohol/liquor		blɑŋ	b l ɑ ŋ	b l o N	P R V N	P L A N	6	35	bloN	72	alcohol/liquor:1	7
22	Souei-Saravan	kdt	alcohol/liquor		blɔŋ	b l ɔ ŋ	b l o N	P R V N	P L U N	6	35	bloN	73	alcohol/liquor:1	7
23	TaOi	tto	alcohol/liquor		riːw	r iː w	r i w	R V W	R I W	8	36	riw	74	alcohol/liquor:2	9
24	Khasi	khi	alcohol/liquor		kʔiat	k ʔ ia t	k 7 i t	K H V T	K H I T	12	13	k7it	75	alcohol/liquor:6	11
26	Pnar	pbv	alcohol/liquor		kiat	k ia t	k i t	K V T	K I T	12	13	kit	76	alcohol/liquor:6	11
27	War-Lamin	aml	alcohol/liquor		rʊə	r ʊə	r u	R V	R Y	13	14	ru	77	alcohol/liquor:11	18
28	Khmer-Surin	kxm	alcohol/liquor		sraː	s r aː	s r a	S R V	S R A	14	15	sra	78	alcohol/liquor:8	8
29	Khmer-Standard	khm	alcohol/liquor		sraː	s r aː	s r a	S R V	S R A	14	15	sra	79	alcohol/liquor:8	8
30	Idu	tyh	alcohol/liquor		brâ̰ːj	b r â̰ː j	b r a y	P R V J	P R A J	15	16	bray	80	alcohol/liquor:4	7
31	Khmu-Cuang	kjg	alcohol/liquor		buːc	b uː c	b u T	P V K	P Y C	16	17	buT	81	alcohol/liquor:5	7
33	Khmu-Yuan	kjg	alcohol/liquor		pùːc	p uː c	p u T	P V K	P Y C	16	17	puT	82	alcohol/liquor:5	7
34	Mal-T'in	mlf	alcohol/liquor		puc	p u c	p u T	P V K	P Y C	16	17	puT	83	alcohol/liquor:5	7
39	Bugan	bbh	alcohol/liquor		ʦa³³	ʦ a	c a	K V	C A	20	19	ca	84	alcohol/liquor:21	20
40	Mon	mnw	alcohol/liquor		ʔarèak	ʔ a r èa k	7 a r e k	H V R V K	H A R E K	21	20	7arek	85	alcohol/liquor:2	14
41	Nyahkur	cbn	alcohol/liquor		cʰəra̤ːʔ	cʰ ə r a̤ː ʔ	T I r a 7	K V R V H	C E R A H	21	20	T3ra7	86	alcohol/liquor:20	8
44	Gorum	pcj	alcohol/liquor		ali	a l i	a l i	V R V	A L I	22	21	ali	87	alcohol/liquor:7	12
46	Kharia	khr	alcohol/liquor		dakh	d a k h	d a k h	T V K H	T A K H	24	22	dakh	88	alcohol/liquor:19	13
47	Kharia	khr	alcohol/liquor		daru	d a r u	d a r u	T V R V	T A R Y	25	23	daru	89	alcohol/liquor:18	19
52	Santali	sat	alcohol/liquor		hãɖi	h ã ɖ i	h a d i	H V T V	H A T I	28	24	hadi	90	alcohol/liquor:17	8
53	Sora	srb	alcohol/liquor		ʌli	ʌ l i	o l i	V R V	E L I	22	21	oli	91	alcohol/liquor:7	12
54	Car	caq	alcohol/liquor		ʔajɛ̃ː	ʔ a j ɛ̃ː	7 a y E	H V J V	H A J E	29	25	7ayE	92	alcohol/liquor:16	21
63	Lawa(Ratanakul)	lcp	alcohol/liquor		plaj	p l a j	p l a y	P R V J	P L A J	34	28	play	93	alcohol/liquor:4	7
65	ManMet	mml	alcohol/liquor		tɔn³¹	t ɔ n	t o n	T V N	T U N	40	32	ton	94	alcohol/liquor:15	7
66	Palaung-Dara'ang	pce	alcohol/liquor		pawh	p a w h	p a w h	P V W H	P A W H	35	29	pawh	95	alcohol/liquor:3	7
67	Palaung-Kalaw	pce	alcohol/liquor		paoh	p ao h	p a h	P V H	P A H	35	29	pah	96	alcohol/liquor:3	7
69	Palaung-Namhsan	pce	alcohol/liquor		bah	b a h	b a h	P V H	P A H	35	29	bah	97	alcohol/liquor:3	7
70	Riang-Sak	ril	alcohol/liquor		kᵊɗɑw¹	kᵊ ɗ ɑ w	k d o w	K T V W	K T A W	32	27	kdow	98	alcohol/liquor:14	9
73	Wa-Praok	prk	alcohol/liquor		plai	p l ai	p l a	P R V	P L A	34	28	pla	99	alcohol/liquor:4	7
80	Karii	pkt	alcohol/liquor		kɨ̀nʔ	k ɨ̀ n ʔ	k I n 7	K V N H	K I N H	38	30	k3n7	100	alcohol/liquor:13	23
82	Ruc	scb	alcohol/liquor		pədoː¹	p ə d oː	p I d o	P V T V	P E T U	32	27	p3do	101	alcohol/liquor:12	15
85	Vietnamese	vie	alcohol/liquor		rượu	r u o u	r u o u	R V V V	R Y U Y	39	31	ruou	102	alcohol/liquor:10	17
96	Alak	alk	alive/live		pʻroːs	pʻ r oː s	p r o s	P R V S	P R U S	4	51	pros	103	alive/live:12	24
97	Bahnar-Golar	bdq	alive/live		hədrih	h ə d r i h	h I d r i h	H V T R V H	H E T R I H	2	42	h3drih	104	alive/live:4	24
98	Bahnar-Kontum	bdq	alive/live		ʔadrih	ʔ a d r i h	7 a d r i h	H V T R V H	H A T R I H	2	42	7adrih	105	alive/live:4	24
99	Bahnar-Pleiku	bdq	alive/live		ʔadrih	ʔ a d r i h	7 a d r i h	H V T R V H	H A T R I H	2	42	7adrih	106	alive/live:4	24
100	Brao	brb	alive/live		ɲiw	ɲ i w	H i w	N V W	N I W	4	51	Niw	107	alive/live:5	28
103	Cua	cua	alive/live		rilh	r i l h	r i l h	R V R H	R I L H	2	42	rilh	108	alive/live:2	24
104	Halang	hal	alive/live		pe̤ːn	p e̤ː n	p e n	P V N	P E N	5	52	pen	109	alive/live:11	27
105	Jeh	jeh	alive/live		pe̤ːn	p e̤ː n	p e n	P V N	P E N	5	52	pen	110	alive/live:11	27
106	Jru-Laven	lbo	alive/live		dɛj	d ɛ j	d E y	T V J	T E J	6	53	dEy	111	alive/live:13	31
107	Mnong-Rölöm	mng	alive/live		breh	b r e h	b r e h	P R V H	P R E H	2	42	breh	112	alive/live:2	24
108	Nyaheun	nev	alive/live		ɲiw	ɲ i w	H i w	N V W	N I W	4	51	Niw	113	alive/live:5	28
109	Rengao	ren	alive/live		həri̤h	h ə r i̤ h	h I r i h	H V R V H	H E R I H	2	42	h3rih	114	alive/live:4	24
110	Sedang	sed	alive/live		rɛh	r ɛ h	r E h	R V H	R E H	2	42	rEh	115	alive/live:2	24
111	Sre	kpm	alive/live		ris	r i s	r i s	R V S	R I S	2	42	ris	116	alive/live:2	24
112	Stieng	sti	alive/live		reh	r e h	r e h	R V H	R E H	2	42	reh	117	alive/live:2	24
115	Bru-Talan	oog	alive/live		moŋʔ	m o ŋ ʔ	m o N 7	M V N H	M U N H	7	54	moN7	118	alive/live:1	25
116	Bru-Ubon	bru	alive/live		nɔ̤ŋʔaːmɔ̤ŋ	nɔ̤ŋ ʔaːmɔ̤ŋ	n 7	N H	N H	7	54	n7	119	alive/live:14	35
117	In	irr	alive/live		naŋmoŋˀ	naŋ moŋˀ	n m	N M	N M	7	54	nm	120	alive/live:15	26
118	Katu-AnDiem	ktv	alive/live		mamoŋ	m a m o ŋ	m a m o N	M V M V N	M A M U N	7	54	mamoN	121	alive/live:1	25
120	Kui(Sriwises1978)	kdt	alive/live		təmoŋ	t ə m o ŋ	t I m o N	T V M V N	T E M U N	7	54	t3moN	122	alive/live:1	25
121	Kui(Huffman1979)	kdt	alive/live		təmɑŋ	t ə m ɑ ŋ	t I m o N	T V M V N	T E M A N	7	54	t3moN	123	alive/live:1	25
123	Nge'	ngt	alive/live		moŋ	m o ŋ	m o N	M V N	M U N	7	54	moN	124	alive/live:1	25
124	Pacoh	pac	alive/live		tumo̰ŋ	t u m o̰ ŋ	t u m o N	T V M V N	T Y M U N	7	54	tumoN	125	alive/live:1	25
125	So-Khammouane	sss	alive/live		ʔəːtpanʔəːt	ʔəːt pan ʔəːt	7 p 7	H P H	H P H	8	55	7p7	126	alive/live:16	33
126	So-SakonNakhon	sss	alive/live		ʔəːt	ʔ əː t	7 I t	H V T	H E T	8	55	73t	127	alive/live:6	29
127	Souei-Saravan	kdt	alive/live		nɔŋ	n ɔ ŋ	n o N	N V N	N U N	9	56	noN	128	alive/live:1	25
128	TaOi	tto	alive/live		moŋˀ	m o ŋˀ	m o N	M V N	M U N	7	54	moN	129	alive/live:1	25
129	Khasi	khi	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37	7im	130	alive/live:3	26
131	Pnar	pbv	alive/live		ʔim	ʔ i m	7 i m	H V M	H I M	10	37	7im	131	alive/live:3	26
132	War-Lamin	aml	alive/live		pʔem	p ʔ e m	p 7 e m	P H V M	P H E M	10	37	p7em	132	alive/live:3	26
133	Khmer-Surin	kxm	alive/live		ruah	r ua h	r u h	R V H	R Y H	2	42	ruh	133	alive/live:2	24
134	Khmer-Standard	khm	alive/live		rʊəh	r ʊə h	r u h	R V H	R Y H	2	42	ruh	134	alive/live:2	24
135	Idu	tyh	alive/live		rîəh	r îə h	r i h	R V H	R I H	2	42	rih	135	alive/live:2	24
136	Khmu-Cuang	kjg	alive/live		blɨər	b l ɨə r	b l I r	P R V R	P L I R	11	38	bl3r	136	alive/live:7	30
138	Khmu-Yuan	kjg	alive/live		prɨal	p r ɨa l	p r I l	P R V R	P R I L	11	38	pr3l	137	alive/live:7	30
140	Mal-T'in	mlf	alive/live		jih	j i h	y i h	J V H	J I H	2	42	yih	138	alive/live:17	24
146	Bugan	bbh	alive/live		kai³³	k ai	k a	K V	K A	17	39	ka	139	alive/live:18	34
147	Mang	zng	alive/live		miːn¹	m iː n	m i n	M V N	M I N	18	40	min	140	alive/live:19	25
148	Nyahkur	cbn	alive/live		kʰəɲùŋ	kʰ ə ɲ u ŋ	k I H u N	K V N V N	K E N Y N	19	41	k3NuN	141	alive/live:20	25
149	Mon	mnw	alive/live		càŋ	c à ŋ	T a N	K V N	C A N	20	43	TaN	142	alive/live:8	27
151	Gorum	pcj	alive/live		mḛŋ	m ḛ ŋ	m e N	M V N	M E N	22	44	meN	143	alive/live:1	25
155	Kharia	khr	alive/live		bɔˈrɔl	b ɔ ˈr ɔ l	b o r o l	P V R V R	P U R U L	26	46	borol	144	alive/live:21	32
156	Kharia	khr	alive/live		ɟan	ɟ a n	C a n	K V N	C A N	27	47	Can	145	alive/live:8	27
157	Kharia	khr	alive/live		kaca	k a c a	k a T a	K V K V	K A C A	25	45	kaTa	146	alive/live:22	27
161	Santali	sat	alive/live		waɲcaw	w a ɲ c a w	w a H T a w	W V N K V W	W A N C A W	30	48	waNTaw	147	alive/live:23	28
162	Sora	srb	alive/live		mʔɛŋ	m ʔ ɛ ŋ	m 7 E N	M H V N	M H E N	22	44	m7EN	148	alive/live:1	25
163	Car	caq	alive/live		ʔãh	ʔ ã h	7 a h	H V H	H A H	2	42	7ah	149	alive/live:9	29
165	Nancowri	ncb	alive/live		ʔæ̃h	ʔ æ̃ h	7 E h	H V H	H E H	2	42	7Eh	150	alive/live:9	26
172	Lawa(Ratanakul)	lcp	alive/live		ʔaɨt	ʔ aɨ t	7 a t	H V T	H A T	34	49	7at	151	alive/live:6	29
174	ManMet	mml	alive/live		im³⁵	i m	i m	V M	I M	10	37	im	152	alive/live:3	26
176	Palaung-Dara'ang	pce	alive/live		Ɂim	Ɂ i m	7 i m	H V M	H I M	10	37	7im	153	alive/live:3	26
