ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	ASJP1	id	svmCC	lpCC
16523	Penrhyn	?	above		runga	r u n g a	r u n g a	R V N K V	R Y N K A	9	6	runga	0	above:1	1
49505	NakanaiBilekiDialect	?	above		oata	oa t a	o t a	V T V	U T A	1	1	ota	1	above:7	3
812	Yami	?	above		tiŋatoʔ	t i ŋ a t o ʔ	t i N a t o 7	T V N V T V H	T I N A T U H	16	3	tiNato7	2	above:5	3
54886	Woleai	?	above		woa	w oa	w o	W V	W U	2	5	wo	3	above:6	5
18783	Rarotongan	?	above		runga	r u n g a	r u n g a	R V N K V	R Y N K A	9	6	runga	4	above:1	1
51646	Rurutuan	?	above		nuʔa	n u ʔ a	n u 7 a	N V H V	N Y H A	9	6	nu7a	5	above:11	6
19638	Iraralay	?	above		towos	t o w o s	t o w o s	T V W V S	T U W U S	17	4	towos	6	above:2	2
19639	Iraralay	?	above		tingato	t i n g a t o	t i n g a t o	T V N K V T V	T I N K A T U	16	3	tingato	7	above:5	3
42701	RapanuiEasterIsland	?	above		ruga	r u g a	r u g a	R V K V	R Y K A	9	6	ruga	8	above:1	1
37341	FutunaEast	?	above		a/luga/	a l u g a	a l u g a	V R V K V	A L Y K A	9	6	aluga	9	above:1	1
20985	Anuta	?	above		ruŋa	r u ŋ a	r u N a	R V N V	R Y N A	9	6	ruNa	10	above:1	1
5313	Imorod	?	above		teyngato	t ey n g a t o	t e n g a t o	T V N K V T V	T E N K A T U	16	3	tengato	11	above:5	3
38459	Marquesan	?	above		una	u n a	u n a	V N V	Y N A	9	6	una	12	above:1	1
22491	Tuamotu	?	above		ruŋa	r u ŋ a	r u N a	R V N V	R Y N A	9	6	ruNa	13	above:1	1
38937	Carolinian	?	above		woo	w oo	w o	W V	W U	2	5	wo	14	above:6	5
55796	Cebuano	?	above		ibabaw	i b a b a w	i b a b a w	V P V P V W	I P A P A W	2	5	ibabaw	15	above:3	4
58633	Ivasay	?	above		ato	a t o	a t o	V T V	A T U	1	1	ato	16	above:10	3
58634	Ivasay	?	above		tohos	t o h o s	t o h o s	T V H V S	T U H U S	17	4	tohos	17	above:2	2
26551	DayakNgaju	?	above		hunjun	h u n j u n	h u n y u n	H V N J V N	H Y N J Y N	15	2	hunyun	18	above:9	7
43192	TagalogAnthonydelaPaz	?	above		itaas	i t aa s	i t a s	V T V S	I T A S	1	1	itas	19	above:4	2
10760	Lakalai	?	above		oata	oa t a	o t a	V T V	U T A	1	1	ota	20	above:7	3
10081	Luangiua	?	above		luŋa	l u ŋ a	l u N a	R V N V	L Y N A	9	6	luNa	21	above:1	1
28401	UveaEast	?	above		o/luga/	o l u g a	o l u g a	V R V K V	U L Y K A	9	6	oluga	22	above:1	1
12331	Isamorong	?	above		tohos	t o h o s	t o h o s	T V H V S	T U H U S	17	4	tohos	23	above:2	2
61579	Tagalog	?	above		ibabaw	i b a b a w	i b a b a w	V P V P V W	I P A P A W	2	5	ibabaw	24	above:3	4
61580	Tagalog	?	above		itaas	i t aa s	i t a s	V T V S	I T A S	1	1	itas	25	above:4	2
30012	TahitianModern	?	above		nia	n ia	n i	N V	N I	9	6	ni	26	above:8	1
43191	TagalogAnthonydelaPaz	?	above		ibabaw	i b a b a w	i b a b a w	V P V P V W	I P A P A W	2	5	ibabaw	27	above:3	4
30193	WesternBukidnonManobo	?	above		divavew	d i v a v e w	d i v a v e w	T V W V W V W	T I B A B E W	2	5	divavew	28	above:3	4
30371	BanjareseMalay	?	above		atas	a t a s	a t a s	V T V S	A T A S	1	1	atas	29	above:4	2
15203	Niue	?	above		lunga	l u n g a	l u n g a	R V N K V	L Y N K A	9	6	lunga	30	above:1	1
63532	Chuukese	?	above		woo	w oo	w o	W V	W U	2	5	wo	31	above:6	5
34850	Rennellese	?	above		a/gunga/	a g u n g a	a g u n g a	V K V N K V	A K Y N K A	9	6	agunga	32	above:1	1
31330	Itbayat	?	above		toxos	t o x o s	t o x o s	T V K V S	T U G U S	17	4	toxos	33	above:2	2
49324	Itbayat	?	all		kanira	k a n i r a	k a n i r a	K V N V R V	K A N I R A	25	12	kanira	34	all:2	9
33295	Iraralay	?	all		kano	k a n o	k a n o	K V N V	K A N U	25	12	kano	35	all:2	9
12025	Penrhyn	?	all		katoa	k a t oa	k a t o	K V T V	K A T U	13	7	kato	36	all:1	8
740	Isamorong	?	all		kani	k a n i	k a n i	K V N V	K A N I	25	12	kani	37	all:2	9
41099	NakanaiBilekiDialect	?	all		tomi	t o m i	t o m i	T V M V	T U M I	18	9	tomi	38	all:6	13
1925	Tagalog	?	all		lahat	l a h a t	l a h a t	R V H V T	L A H A T	37	15	lahat	39	all:7	12
18444	Cebuano	?	all		tanan	t a n a n	t a n a n	T V N V N	T A N A N	24	11	tanan	40	all:9	16
35886	Maori	?	all		katoa	k a t oa	k a t o	K V T V	K A T U	13	7	kato	41	all:1	8
35312	Surigaonon	?	all		tanan	t a n a n	t a n a n	T V N V N	T A N A N	24	11	tanan	42	all:9	16
35390	Anuta	?	all		katoa	k a t oa	k a t o	K V T V	K A T U	13	7	kato	43	all:1	8
52384	Niue	?	all		gotoa	g o t oa	g o t o	K V T V	K U T U	13	7	goto	44	all:1	8
20079	Lakalai	?	all		tomi	t o m i	t o m i	T V M V	T U M I	18	9	tomi	45	all:6	13
53793	Rarotongan	?	all		katoa	k a t oa	k a t o	K V T V	K A T U	13	7	kato	46	all:1	8
55232	ChuukeseAKATrukese	?	all		menisin	m e n i s i n	m e n i s i n	M V N V S V N	M E N I S I N	3	13	menisin	47	all:5	15
22992	Tuamotu	?	all		katoŋa	k a t o ŋ a	k a t o N a	K V T V N V	K A T U N A	13	7	katoNa	48	all:1	8
6714	TahitianModern	?	all		atoa	a t oa	a t o	V T V	A T U	13	7	ato	49	all:1	8
6931	TagalogAnthonydelaPaz	?	all		lahat	l a h a t	l a h a t	R V H V T	L A H A T	37	15	lahat	50	all:7	12
40310	FutunaEast	?	all		fuli	f u l i	f u l i	P V R V	B Y L I	14	8	fuli	51	all:4	11
40311	FutunaEast	?	all		kaatoa	k aa t oa	k a t o	K V T V	K A T U	13	7	kato	52	all:1	8
41571	Tongan	?	all		kotoa	k o t oa	k o t o	K V T V	K U T U	13	7	koto	53	all:1	8
25676	BanjareseMalay	?	all		samuaan	s a m uaa n	s a m u n	S V M V N	S A M Y N	33	14	samun	54	all:3	10
26293	UveaEast	?	all		fulifuli	f u l i f u l i	f u l i f u l i	P V R V P V R V	B Y L I B Y L I	14	8	fulifuli	55	all:4	11
26294	UveaEast	?	all		katoa	k a t oa	k a t o	K V T V	K A T U	13	7	kato	56	all:1	8
11258	Sikaiana	?	all		katoa	k a t oa	k a t o	K V T V	K A T U	13	7	kato	57	all:1	8
28170	Imorod	?	all		akani	a k a n i	a k a n i	V K V N V	A K A N I	25	12	akani	58	all:2	9
29853	Rennellese	?	all		hugi	h u g i	h u g i	H V K V	H Y K I	14	8	hugi	59	all:4	11
12209	MalayBahasaIndonesia	?	all		semua	s e m ua	s e m u	S V M V	S E M Y	33	14	semu	60	all:3	10
12483	Chuukese	?	all		meyinisin	m eyi n i s i n	m e n i s i n	M V N V S V N	M E N I S I N	3	13	menisin	61	all:5	15
29030	DayakNgaju	?	all		uras	u r a s	u r a s	V R V S	Y R A S	23	10	uras	62	all:8	14
29089	Indonesian	?	all		semua	s e m ua	s e m u	S V M V	S E M Y	33	14	semu	63	all:3	10
62449	WesternBukidnonManobo	?	all		laŋun	l a ŋ u n	l a N u n	R V N V N	L A N Y N	40	16	laNun	64	all:11	16
62450	WesternBukidnonManobo	?	all		elin	e l i n	e l i n	V R V N	E L I N	41	17	elin	65	all:10	17
29854	Rennellese	?	all		kaatoa	k aa t oa	k a t o	K V T V	K A T U	13	7	kato	66	all:1	8
46811	Rurutuan	?	all		paaʔaatoʔa	p aa ʔ aa t o ʔ a	p a 7 a t o 7 a	P V H V T V H V	P A H A T U H A	13	7	pa7ato7a	67	all:1	8
63722	Luangiua	?	all		h/aakoa	h aa k oa	h a k o	H V K V	H A K U	13	7	hako	68	all:1	8
14698	Samoan	?	all		ʔatoa	ʔ a t oa	7 a t o	H V T V	H A T U	13	7	7ato	69	all:1	8
31546	Katingan	?	all		uras	u r a s	u r a s	V R V S	Y R A S	23	10	uras	70	all:8	14
16204	Tikopia	?	all		katoa	k a t oa	k a t o	K V T V	K A T U	13	7	kato	71	all:1	8
65483	Ivasay	?	all		kano	k a n o	k a n o	K V N V	K A N U	25	12	kano	72	all:2	9
33519	Tagalog	?	and		at	a t	a t	V T	A T	26	24	at	73	and:5	22
66624	EastSumbaneseKamberaSoutherndialect	?	and		dangu	d a n g u	d a n g u	T V N K V	T A N K Y	4	25	dangu	74	and:3	19
33892	FutunaEast	?	and		mo	m o	m o	M V	M U	9	27	mo	75	and:1	18
24595	Isamorong	?	and		kani	k a n i	k a n i	K V N V	K A N I	1	18	kani	76	and:2	20
17844	DayakNgaju	?	and		tuntang	t u n t a n g	t u n t a n g	T V N T V N K	T Y N T A N K	23	22	tuntang	77	and:6	19
51251	Niue	?	and		mo	m o	m o	M V	M U	9	27	mo	78	and:1	18
2553	Katingan	?	and		tutaŋ	t u t a ŋ	t u t a N	T V T V N	T Y T A N	23	22	tutaN	79	and:6	19
19497	Imorod	?	and		akanira	a k a n i r a	a k a n i r a	V K V N V R V	A K A N I R A	1	18	akanira	80	and:2	20
52433	Ivasay	?	and		kani	k a n i	k a n i	K V N V	K A N I	1	18	kani	81	and:2	20
19705	Chuukese	?	and		me	m e	m e	M V	M E	2	21	me	82	and:1	18
19706	Chuukese	?	and		nge	n g e	n g e	N K V	N K E	10	19	nge	83	and:4	21
4203	Tongan	?	and		mo	m o	m o	M V	M U	9	27	mo	84	and:1	18
41072	ChuukeseAKATrukese	?	and		ŋe	ŋ e	N e	N V	N E	10	19	Ne	85	and:4	21
54392	Yami	?	and		kanuʔ	k a n u ʔ	k a n u 7	K V N V H	K A N Y H	1	18	kanu7	86	and:2	20
5843	Itbayaten	?	and		ka|n	k a| n	k a n	K V N	K A N	1	18	kan	87	and:2	20
20189	RapanuiEasterIsland	?	and		ma	m a	m a	M V	M A	2	21	ma	88	and:1	18
56124	Indonesian	?	and		dan	d a n	d a n	T V N	T A N	18	20	dan	89	and:3	19
53125	Marquesan	?	and		maa	m aa	m a	M V	M A	2	21	ma	90	and:1	18
20376	Rennellese	?	and		ma	m a	m a	M V	M A	2	21	ma	91	and:1	18
40693	MalayBahasaIndonesia	?	and		dan	d a n	d a n	T V N	T A N	18	20	dan	92	and:3	19
7969	Maori	?	and		me	m e	m e	M V	M E	2	21	me	93	and:1	18
8015	TahitianModern	?	and		ee	ee	e	V	E	8	26	e	94	and:7	23
24476	NakanaiBilekiDialect	?	and		me	m e	m e	M V	M E	2	21	me	95	and:1	18
41071	ChuukeseAKATrukese	?	and		me	m e	m e	M V	M E	2	21	me	96	and:1	18
31504	UveaEast	?	and		mo	m o	m o	M V	M U	9	27	mo	97	and:1	18
25488	Lakalai	?	and		me	m e	m e	M V	M E	2	21	me	98	and:1	18
53233	Rarotongan	?	and		maa	m aa	m a	M V	M A	2	21	ma	99	and:1	18
67117	EastSumbaneseUmbuRatuNggaidialect	?	and		dangu	d a n g u	d a n g u	T V N K V	T A N K Y	4	25	dangu	100	and:3	19
45296	Minangkabau	?	and		dan	d a n	d a n	T V N	T A N	18	20	dan	101	and:3	19
42568	BanjareseMalay	?	and		dan	d a n	d a n	T V N	T A N	18	20	dan	102	and:3	19
9925	Tikopia	?	and		ma	m a	m a	M V	M A	2	21	ma	103	and:1	18
42852	Anuta	?	and		maa	m aa	m a	M V	M A	2	21	ma	104	and:1	18
42853	Anuta	?	and		mo	m o	m o	M V	M U	9	27	mo	105	and:1	18
51250	Niue	?	and		ma	m a	m a	M V	M A	2	21	ma	106	and:1	18
26998	Luangiua	?	and		maa	m aa	m a	M V	M A	2	21	ma	107	and:1	18
43525	Cebuano	?	and		ug	u g	u g	V K	Y K	25	23	ug	108	and:8	24
43561	Itbayat	?	and		kani	k a n i	k a n i	K V N V	K A N I	1	18	kani	109	and:2	20
10914	Rurutuan	?	and		ʔee	ʔ ee	7 e	H V	H E	8	26	7e	110	and:7	23
