ID	DOCULECT	ISO_CODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	ASJP1	id	svmCC	lpCC
7629	ANCIENT_GREEK	grc	I		eɡɔ́ː	e ɡ ɔ́ː	e g o	V K V	E K U	I:A	1	ego	0	I:7	4
7630	GREEK	ell	I		e̞ˈɣo̞	e̞ ˈɣ o̞	e x o	V K V	E G U	I:A	1	exo	1	I:7	4
7634	OSSETIC_IRON	oss	I		ɐž	ɐ ž	a Z	V S	E S	I:A	1	aZ	2	I:6	5
7635	OSSETIC_DIGOR	oss	I		ɐz	ɐ z	a z	V S	E S	I:A	1	az	3	I:6	5
7637	ORIYA	ori	I		mũ	m ũ	m u	M V	M Y	I:A	1	mu	4	I:2	2
7638	BIHARI	mai	I		mẽ	m ẽ	m e	M V	M E	I:A	1	me	5	I:2	2
7639	BIHARI	mai	I		həm	h ə m	h I m	H V M	H E M	I:A	1	h3m	6	I:10	10
7641	URDU	urd	I		mɛ̃	m ɛ̃	m E	M V	M E	I:A	1	mE	7	I:2	2
7642	MARATHI	mar	I		mi:	m i:	m i	M V	M I	I:A	1	mi	8	I:2	2
7643	OLD_CHURCH_SLAVONIC	chu	I		ɑzʊ̆	ɑ z ʊ̆	o z u	V S V	A S Y	I:A	1	ozu	9	I:6	7
7644	SERBO-CROATIAN	srp	I		jâː	j âː	y a	J V	J A	I:A	1	ya	10	I:1	1
7645	BULGARIAN	bul	I		as	a s	a s	V S	A S	I:A	1	as	11	I:6	5
7646	MACEDONIAN	mkd	I		jas	j a s	y a s	J V S	J A S	I:A	1	yas	12	I:1	1
7647	RUSSIAN	rus	I		ja	j a	y a	J V	J A	I:A	1	ya	13	I:1	1
7648	POLISH	pol	I		ja	j a	y a	J V	J A	I:A	1	ya	14	I:1	1
7649	BELARUSIAN	bel	I		ja	j a	y a	J V	J A	I:A	1	ya	15	I:1	1
7650	UKRAINIAN	ukr	I		ja	j a	y a	J V	J A	I:A	1	ya	16	I:1	1
7651	SLOVAK	slk	I		ja	j a	y a	J V	J A	I:A	1	ya	17	I:1	1
7652	CZECH	ces	I		jaː	j aː	y a	J V	J A	I:A	1	ya	18	I:1	1
7653	SORBIAN_UPPER	hsb	I		ja	j a	y a	J V	J A	I:A	1	ya	19	I:1	1
7654	SORBIAN_LOWER	dsb	I		ja	j a	y a	J V	J A	I:A	1	ya	20	I:1	1
7655	SLOVENIAN	slv	I		jas	j a s	y a s	J V S	J A S	I:A	1	yas	21	I:1	1
7656	OLD_NORSE	non	I		ek	e k	e k	V K	E K	I:A	1	ek	22	I:3	3
7657	ICELANDIC	isl	I		jɛɣ	j ɛ ɣ	y E x	J V K	J E G	I:A	1	yEx	23	I:3	3
7658	FAROESE	fao	I		e:	e:	e	V	E	I:A	1	e	24	I:5	6
7659	NORWEGIAN_RIKSMAL	nor	I		jæɪ	j æɪ	y E	J V	J E	I:A	1	yE	25	I:1	1
7660	STAVANGERSK		I		eːɡ	eː ɡ	e g	V K	E K	I:A	1	eg	26	I:3	3
7661	OLD_SWEDISH		I		jaːk	j aː k	y a k	J V K	J A K	I:A	1	yak	27	I:1	1
7662	SWEDISH	swe	I		jɑːɡ	j ɑː ɡ	y o g	J V K	J A K	I:A	1	yog	28	I:3	1
7663	ELFDALIAN	qov	I		ɪːg	ɪː g	i g	V K	I K	I:A	1	ig	29	I:3	3
7664	DANISH	dan	I		jɑj	j ɑ j	y o y	J V J	J A J	I:A	1	yoy	30	I:1	1
7665	DANISH_FJOLDE		I		æ	æ	E	V	E	I:A	1	E	31	I:5	6
7666	GUTNISH_LAU		I		jɑː	j ɑː	y o	J V	J A	I:A	1	yo	32	I:1	1
7667	ENGLISH	eng	I		aɪ	aɪ	a	V	A	I:A	1	a	33	I:8	8
7669	DUTCH	nld	I		ɪk	ɪ k	i k	V K	I K	I:A	1	ik	34	I:3	3
7670	GERMAN	deu	I		ɪç	ɪ ç	i S	V S	I S	I:A	1	iS	35	I:9	5
7671	LATIN	lat	I		ˈego	ˈe g o	e g o	V K V	E K U	I:A	1	ego	36	I:7	4
7672	CATALAN	cat	I		ʒɔ	ʒ ɔ	Z o	S V	S U	I:A	1	Zo	37	I:4	7
7673	PORTUGUESE	por	I		eu	eu	e	V	E	I:A	1	e	38	I:5	6
7674	SPANISH	spa	I		ʝo	ʝ o	S o	S V	S U	I:A	1	So	39	I:4	7
7675	FRENCH	fra	I		ʒə	ʒ ə	Z I	S V	S E	I:A	1	Z3	40	I:4	4
7676	ITALIAN	ita	I		io	io	i	V	I	I:A	1	i	41	I:5	9
7677	OLD_IRISH	sga	I		m	m	m	M	M	I:D	2	m	42	I:2	2
7678	OLD_IRISH	sga	I		me:	m e:	m e	M V	M E	I:D	2	me	43	I:2	2
9861	ANCIENT_GREEK	grc	all		pȃːs	p aː s	p a s	P V S	P A S	all:L	9	pas	44	all:8	16
9862	GREEK	ell	all		pas	p a s	p a s	P V S	P A S	all:L	9	pas	45	all:8	16
9863	GREEK	ell	all		ˈo̞lo̞s	ˈo̞ l o̞ s	o l o s	V R V S	U L U S	all:G	6	olos	46	all:11	20
9868	OSSETIC_IRON	oss	all		ɐppɐt	ɐ pp ɐ t	a p a t	V P V T	E P E T	all:J	8	apat	47	all:7	15
9869	OSSETIC_DIGOR	oss	all		ɐppɐt	ɐ pp ɐ t	a p a t	V P V T	E P E T	all:J	8	apat	48	all:7	15
9870	ORIYA	ori	all		sɔbɔ	s ɔ b ɔ	s o b o	S V P V	S U P U	all:F	5	sobo	49	all:5	14
9871	BIHARI	mai	all		səb	s ə b	s I b	S V P	S E P	all:F	5	s3b	50	all:5	14
9873	URDU	urd	all		səb	s ə b	s I b	S V P	S E P	all:F	5	s3b	51	all:5	14
9874	MARATHI	mar	all		səɾwə	s ə ɾ w ə	s I r w I	S V R W V	S E R W E	all:F	5	s3rw3	52	all:12	14
9875	OLD_CHURCH_SLAVONIC	chu	all		vɪ̆si	v ɪ̆ s i	v i s i	W V S V	B I S I	all:H	7	visi	53	all:2	12
9876	SERBO-CROATIAN	srp	all		svî	s v î	s v i	S W V	S B I	all:H	7	svi	54	all:10	12
9877	BULGARIAN	bul	all		ˈfsitʃki	ˈf s i t ʃ k i	f s i t S k i	P S V T S K V	B S I T S K I	all:H	7	fsitSki	55	all:4	12
9878	MACEDONIAN	mkd	all		ˈsitɛ	ˈs i t ɛ	s i t E	S V T V	S I T E	all:H	7	sitE	56	all:4	17
9879	RUSSIAN	rus	all		vsʲɛ	v sʲ ɛ	v s E	W S V	B S E	all:H	7	vsE	57	all:2	12
9880	POLISH	pol	all		ˈfʂɘ̟stsɘ̟	ˈf ʂ ɘ̟ s t s ɘ̟	f S I s t s I	P S V S T S V	B S E S T S E	all:H	7	fS3sts3	58	all:4	12
9881	BELARUSIAN	bel	all		uˈsʲɛ	u ˈsʲ ɛ	u s E	V S V	Y S E	all:H	7	usE	59	all:2	18
9882	UKRAINIAN	ukr	all		ʋsi	ʋ s i	w s i	W S V	W S I	all:H	7	wsi	60	all:2	12
9883	SLOVAK	slk	all		ˈfʃɛttsi	ˈf ʃ ɛ tt s i	f S E t s i	P S V T S V	B S E T S I	all:H	7	fSEtsi	61	all:4	12
9884	CZECH	ces	all		ˈfʃɪxɲɪ	ˈf ʃ ɪ x ɲ ɪ	f S i x H i	P S V K N V	B S I G N I	all:H	7	fSixNi	62	all:4	12
9885	SORBIAN_UPPER	hsb	all		wʃɪ	w ʃ ɪ	w S i	W S V	W S I	all:H	7	wSi	63	all:2	12
9886	SORBIAN_LOWER	dsb	all		wʂɛ	w ʂ ɛ	w S E	W S V	W S E	all:H	7	wSE	64	all:2	12
9887	SLOVENIAN	slv	all		ʍsi	ʍ s i	w s i	M S V	M S I	all:H	7	wsi	65	all:2	17
9888	OLD_NORSE	non	all		alːɪr	a lː ɪ r	a l i r	V R V R	A L I R	all:A	3	alir	66	all:1	11
9889	ICELANDIC	isl	all		ˈad̥lɪr	ˈa d̥ l ɪ r	a d l i r	V T R V R	A T L I R	all:A	3	adlir	67	all:1	11
9890	FAROESE	fao	all		ˈad̥lɪɹ	ˈa d̥ l ɪ ɹ	a d l i r	V T R V R	A T L I R	all:A	3	adlir	68	all:1	11
9891	NORWEGIAN_RIKSMAL	nor	all		àlːə	à lː ə	a l I	V R V	A L E	all:A	3	al3	69	all:1	11
9892	STAVANGERSK		all		ˈàdlə	ˈà d l ə	a d l I	V T R V	A T L E	all:A	3	adl3	70	all:1	11
9893	OLD_SWEDISH		all		alːir	a lː i r	a l i r	V R V R	A L I R	all:A	3	alir	71	all:1	11
9894	SWEDISH	swe	all		ˈàlːa	ˈà lː a	a l a	V R V	A L A	all:A	3	ala	72	all:1	11
