ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	ASJP1	id	svmCC	lpCC
1	Adnyamathanha	adny1235	ABOVE		ara	a r a	a r a	V R V	A R A	ABOVE:18	18	ara	0	ABOVE:55	12
2	Alyawarr	alya1239	ABOVE		erɹul	e r ɹ u l	e r r u l	V R R V R	E R R Y L	ABOVE:36	36	errul	1	ABOVE:50	8
3	Alyawarr	alya1239	ABOVE		erɹuleŋ	e r ɹ u l e ŋ	e r r u l e N	V R R V R V N	E R R Y L E N	ABOVE:36	36	erruleN	2	ABOVE:49	8
5	Arabana	arab1267	ABOVE		aɹata	a ɹ a t a	a r a t a	V R V T V	A R A T A	ABOVE:18	18	arata	3	ABOVE:54	12
8	Yugambeh-Bandjalang	band1339	ABOVE		waj	w a j	w a y	W V J	W A J	ABOVE:42	42	way	4	ABOVE:48	10
14	Dhangu	dhan1270	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	garwar	5	ABOVE:2	2
16	Sydney	sydn1236	ABOVE		buɹawa	b u ɹ a w a	b u r a w a	P V R V W V	P Y R A W A	ABOVE:27	27	burawa	6	ABOVE:47	4
18	Dhuwal	dhuw1249	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	garwar	7	ABOVE:2	2
20	Dieri	dier1241	ABOVE		miɹi	m i ɹ i	m i r i	M V R V	M I R I	ABOVE:17	17	miri	8	ABOVE:46	13
21	Dyaabugay	dyaa1242	ABOVE		waŋgaɹ	w a ŋ g a ɹ	w a N g a r	W V N K V R	W A N K A R	ABOVE:32	32	waNgar	9	ABOVE:45	1
22	Djambarrpuyngu	djam1256	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	garwar	10	ABOVE:2	2
24	Djinang	djin1253	ABOVE		gurgi	g u r g i	g u r g i	K V R K V	K Y R K I	ABOVE:15	15	gurgi	11	ABOVE:44	1
27	Gamilaraay	gami1243	ABOVE		ŋuriba	ŋ u r i b a	N u r i b a	N V R V P V	N Y R I P A	ABOVE:26	26	Nuriba	12	ABOVE:43	5
31	Kumbainggar	kumb1268	ABOVE		waɹu	w a ɹ u	w a r u	W V R V	W A R Y	ABOVE:13	13	waru	13	ABOVE:51	10
35	Gupapuyngu	gupa1247	ABOVE		garwaɹ	g a r w a ɹ	g a r w a r	K V R W V R	K A R W A R	ABOVE:56	56	garwar	14	ABOVE:2	2
36	Gurindji	guri1247	ABOVE		kankula	k a n k u l a	k a n k u l a	K V N K V R V	K A N K Y L A	ABOVE:34	34	kankula	15	ABOVE:1	1
38	Guyani	guya1249	ABOVE		kaɹa	k a ɹ a	k a r a	K V R V	K A R A	ABOVE:18	18	kara	16	ABOVE:5	2
39	Sydney	sydn1236	ABOVE		buɹawɔ	b u ɹ a w ɔ	b u r a w o	P V R V W V	P Y R A W U	ABOVE:1	1	burawo	17	ABOVE:53	4
40	Jaru	jaru1254	ABOVE		gaŋani	g a ŋ a n i	g a N a n i	K V N V N V	K A N A N I	ABOVE:34	34	gaNani	18	ABOVE:42	6
41	Jaru	jaru1254	ABOVE		gaŋanimaɹaŋo	g a ŋ a n i m a ɹ a ŋ o	g a N a n i m a r a N o	K V N V N V M V R V N V	K A N A N I M A R A N U	ABOVE:34	34	gaNanimaraNo	19	ABOVE:41	6
43	Djiwarli	djiw1241	ABOVE		jiraɹa	j i r a ɹ a	y i r a r a	J V R V R V	J I R A R A	ABOVE:31	31	yirara	20	ABOVE:3	3
44	Kalkutung	kalk1246	ABOVE		pirin̪a	p i r i n̪ a	p i r i n a	P V R V N V	P I R I N A	ABOVE:30	30	pirina	21	ABOVE:40	4
45	Gamilaraay	gami1243	ABOVE		ŋguriba	ŋ g u r i b a	N g u r i b a	N K V R V P V	N K Y R I P A	ABOVE:26	26	Nguriba	22	ABOVE:52	5
46	Karadjeri	kara1476	ABOVE		kantiŋka	k a n t i ŋ k a	k a n t i N k a	K V N T V N K V	K A N T I N K A	ABOVE:45	45	kantiNka	23	ABOVE:39	1
49	Kartujarra	kart1247	ABOVE		katuwanacanu	k a t u w a n a c a n u	k a t u w a n a T a n u	K V T V W V N V K V N V	K A T Y W A N A C A N Y	ABOVE:55	55	katuwanaTanu	24	ABOVE:38	15
51	Kaurna	kaur1267	ABOVE		kara	k a r a	k a r a	K V R V	K A R A	ABOVE:18	18	kara	25	ABOVE:5	12
53	Kukatja	kuka1246	ABOVE		gaŋaɹa	g a ŋ a ɹ a	g a N a r a	K V N V R V	K A N A R A	ABOVE:34	34	gaNara	26	ABOVE:37	7
54	Kuku-Yalanji	kuku1273	ABOVE		waŋkaɹwaŋkaɹ	w a ŋ k a ɹ w a ŋ k a ɹ	w a N k a r w a N k a r	W V N K V R W V N K V R	W A N K A R W A N K A R	ABOVE:32	32	waNkarwaNkar	27	ABOVE:36	16
