ID	DOCULECT	GLOTTOCODE	CONCEPT	CONCEPTICON_ID	FORM	TOKENS	ASJP	DOLGO	SCA	COGNATE_CLASS	COGID	ASJP1	id	svmCC	lpCC
3218	Quueyu	quey1238	I		ŋa¹³	ŋ a	N a	N V	N A	I:615	615	Na	0	I:1	1
3219	Dhimal	dhim1246	I		ka	k a	k a	K V	K A	I:615	615	ka	1	I:2	2
3220	Apatari	apat1240	I		ŋó	ŋ o	N o	N V	N U	I:615	615	No	2	I:1	1
3222	Jirel	jire1238	I		ŋa_L²	ŋ a	N a	N V	N A	I:615	615	Na	3	I:1	1
3223	Old Chinese	oldc1244	I		ŋhājʔ	ŋʰ aː j ʔ	N a y 7	N V J H	N A J H	I:615	615	Nay7	4	I:1	1
3224	Idu	idum1241	I		ŋa²	ŋ a	N a	N V	N A	I:615	615	Na	5	I:1	1
3225	Lhota	loth1237	I		a	a	a	V	A	I:769	769	a	6	I:3	11
3226	Lushai	lush1249	I		keima	k e i m a	k e i m a	K V V M V	K E I M A	I:615	615	keima	7	I:8	2
3227	Lepcha	lepc1244	I		kă-do	k a d o	k a d o	K V T V	K A T U	I:615	615	kado	8	I:15	12
3228	Sgaw	sgaw1245	I		jạ³³	j a̰	y a	J V	J A	I:615	615	ya	9	I:4	3
3229	Rourou	nusu1239	I		ŋo³³	ŋ o	N o	N V	N U	I:615	615	No	10	I:1	1
3232	Dulong	drun1238	I		ŋa⁵³	ŋ a	N a	N V	N A	I:615	615	Na	11	I:1	1
3233	Tangkul	tang1336	I		iya	i y a	i i a	V V V	I Y A	I:769	769	iia	12	I:9	9
3234	Pa'O	paok1235	I		khwi⁵⁵	kʰ w i	k w i	K W V	K W I	I:615	615	kwi	13	I:2	2
3236	Kulung	kulu1253	I		kɔŋ	k ɔ ŋ	k o N	K V N	K U N	I:615	615	koN	14	I:5	2
3237	Geker	geko1235	I		khe⁵³	kʰ e	k e	K V	K E	I:615	615	ke	15	I:2	2
3238	Ersu	ersu1241	I		a⁵⁵	a	a	V	A	I:769	769	a	16	I:3	6
3240	Ao-Mongsen	mong1332	I		ni	n i	n i	N V	N I	I:615	615	ni	17	I:1	1
3241	Sherpa	sher1255	I		ŋa_LF	ŋ a	N a	N V	N A	I:615	615	Na	18	I:1	1
3242	Rawang	rawa1265	I		ŋa	ŋ a	N a	N V	N A	I:615	615	Na	19	I:1	1
3244	Bokar	bori1243	I		ŋoː	ŋ oː	N o	N V	N U	I:615	615	No	20	I:1	1
3245	Nusu	nusu1239	I		ŋa³⁵	ŋ a	N a	N V	N A	I:615	615	Na	21	I:1	1
3246	Geba	geba1237	I		jɛ³³	j ɛ	y E	J V	J E	I:615	615	yE	22	I:4	3
3247	Manu	manu1255	I		he¹¹	h e	h e	H V	H E	I:615	615	he	23	I:10	3
3248	Alike Tibetan	amdo1237	I		ŋä	ŋ æ	N E	N V	N E	I:615	615	NE	24	I:1	1
3249	Shixing	shix1238	I		ŋâ⁵⁵	ŋ a	N a	N V	N A	I:615	615	Na	25	I:1	1
3252	Ninglang-Naxi	naxi1245	I		ńa³³	nʲ a	n a	N V	N A	I:615	615	na	26	I:1	1
3253	Khaling	khal1275	I		uŋH	u ŋ	u N	V N	Y N	I:615	615	uN	27	I:5	4
3255	W. Kayah	west2409	I		va³³	v a	v a	W V	B A	I:1015	1015	va	28	I:11	8
3256	Written Tibetan	tibe1272	I		ŋa	ŋ a	N a	N V	N A	I:615	615	Na	29	I:1	1
3258	Batang Tibetan	kham1282	I		ŋa²³¹	ŋ a	N a	N V	N A	I:615	615	Na	30	I:1	1
3260	Gurung	guru1261	I		ŋa¹	ŋ a	N a	N V	N A	I:769	769	Na	31	I:1	1
3261	Lhasa Tibetan	tibe1272	I		ŋa¹³	ŋ a	N a	N V	N A	I:615	615	Na	32	I:1	1
3262	Garo	garo1247	I		aŋa	a ŋ a	a N a	V N V	A N A	I:615	615	aNa	33	I:1	1
3263	Hill-Miri	nyis1236	I		ŋo	ŋ o	N o	N V	N U	I:615	615	No	34	I:1	1
3264	Limbu	limb1266	I		\Iaŋgā	i a ŋ g a	i a N g a	V V N K V	I A N K A	I:615	615	iaNga	35	I:1	10
3267	Hakka	hakk1236	I		ŋai²	ŋ a i	N a i	N V V	N A I	I:615	615	Nai	36	I:1	1
3268	Motuo-M	dakp1242	I		ʒ́aŋ	ʒʲ a ŋ	Z a N	S V N	S A N	I:764	764	ZaN	37	I:7	4
3269	Tujia	nort2732	I		ŋa³	ŋ a	N a	N V	N A	I:615	615	Na	38	I:1	1
3270	Beijing	mand1415	I		wǒ	w o	w o	W V	W U	I:615	615	wo	39	I:12	1
3271	Zhaba	zhab1238	I		ŋo⁵¹	ŋ o	N o	N V	N U	I:615	615	No	40	I:1	1
3272	Kaike	kaik1246	I		ŋa	ŋ a	N a	N V	N A	I:615	615	Na	41	I:1	1
3273	Yintale	yint1235	I		khwɛ⁵⁵	kʰ w ɛ	k w E	K W V	K W E	I:615	615	kwE	42	I:2	2
3274	Jinuo	youl1235	I		ŋɔ⁴²	ŋ ɔ	N o	N V	N U	I:615	615	No	43	I:1	1
3275	Serdukpen	sher1257	I		gu	g u	g u	K V	K Y	I:615	615	gu	44	I:13	2
3276	Namuzi	namu1246	I		ŋa⁵⁵	ŋ a	N a	N V	N A	I:615	615	Na	45	I:1	1
3277	Xiaxe Tibetan	amdo1237	I		ŋa	ŋ a	N a	N V	N A	I:615	615	Na	46	I:1	1
3278	Lüsu	lisu1250	I		æ⁵³	æ	E	V	E	I:769	769	E	47	I:3	6
3280	Liangmai	lian1251	I		i	i	i	V	I	I:769	769	i	48	I:6	5
3281	Dimasa	dima1251	I		aŋ	a ŋ	a N	V N	A N	I:615	615	aN	49	I:7	4
3282	Yeinbaw	yinb1236	I		khi⁵⁵	kʰ i	k i	K V	K I	I:615	615	ki	50	I:2	2
3283	N-Qiang	nort2722	I		qa	q a	q a	K V	K A	I:769	769	qa	51	I:2	2
3284	Lijiang-Naxi	lich1241	I		ŋə³¹	ŋ ə	N I	N V	N E	I:615	615	N3	52	I:1	1
3285	Zeme	zeme1240	I		i	i	i	V	I	I:769	769	i	53	I:6	5
3286	Jingpo	kach1280	I		ŋai³³	ŋ a i	N a i	N V V	N A I	I:615	615	Nai	54	I:1	1
3287	Bodo	bodo1269	I		aŋ	a ŋ	a N	V N	A N	I:615	615	aN	55	I:7	4
3288	Fuzhou	mind1253	I		ŋuai³³	ŋ u a i	N u a i	N V V V	N Y A I	I:615	615	Nuai	56	I:1	1
3289	Burmese	nucl1310	I		ŋa	ŋ a	N a	N V	N A	I:615	615	Na	57	I:1	1
3290	Horpa	horp1239	I		ŋa	ŋ a	N a	N V	N A	I:615	615	Na	58	I:1	1
3291	Ao-Chungli	chon1286	I		ni	n i	n i	N V	N I	I:615	615	ni	59	I:1	1
3292	Padam	pada1257	I		ŋo	ŋ o	N o	N V	N U	I:615	615	No	60	I:1	1
3293	Bola	pela1242	I		ŋa⁵⁵	ŋ a	N a	N V	N A	I:615	615	Na	61	I:1	1
3294	Guiqiong	guiq1238	I		ŋö³⁵	ŋ ö	N E	N V	N U	I:615	615	NE	62	I:1	1
3297	Old Chinese	oldc1244	I		Ła	ł a	l a	R V	L A	I:1331	1331	la	63	I:14	7
1	Quueyu	quey1238	all		tə⁵⁵_łye⁵⁵	t ə ɬ y e	t I L i e	T V R V V	T E L Y E	all:406	406	t3Lie	64	all:60	42
2	Apatari	apat1240	all		mɨlaŋrɨ	m ɨ l a ŋ r ɨ	m I l a N r I	M V R V N R V	M I L A N R I	all:411	411	m3laNr3	65	all:4	20
4	Jirel	jire1238	all		ga_L¹ŋe_L¹	g a ŋ e	g a N e	K V N V	K A N E	all:636	636	gaNe	66	all:59	17
5	Old Chinese	oldc1244	all		kīj_	k iː j	k i y	K V J	K I J	all:1465	1465	kiy	67	all:58	40
6	Lhota	loth1237	all		oːmpa	oː m p a	o m p a	V M P V	U M P A	all:660	660	ompa	68	all:57	34
7	Lushai	lush1249	all		an-za-in	a n z a i n	a n z a i n	V N S V V N	A N S A I N	all:268	268	anzain	69	all:56	16
8	Lepcha	lepc1244	all		gŭn	g u n	g u n	K V N	K Y N	all:558	558	gun	70	all:55	15
9	Sgaw	sgaw1245	all		khɛ⁴⁴_ləʔ⁵³	kʰ ɛ l ə ʔ	k E l I 7	K V R V H	K E L E H	all:382	382	kEl37	71	all:54	13
10	Rourou	nusu1239	all		ćiæ³⁵	tsʲ i æ	t i E	T V V	T I E	all:317	317	tiE	72	all:53	14
13	Dulong	drun1238	all		sɨ³¹_naʔ⁵⁵	s ɨ n a ʔ	s I n a 7	S V N V H	S I N A H	all:275	275	s3na7	73	all:52	25
14	Tangkul	tang1336	all		hupta	h u p t a	h u p t a	H V P T V	H Y P T A	all:1502	1502	hupta	74	all:51	45
15	Pa'O	paok1235	all		ka⁴⁴_loʔ⁵⁵_lo	k a l o ʔ l o	k a l o 7 l o	K V R V H R V	K A L U H L U	all:382	382	kalo7lo	75	all:50	13
17	Kulung	kulu1253	all		khɔːlɔ	kʰ ɔː l ɔ	k o l o	K V R V	K U L U	all:558	558	kolo	76	all:49	13
18	Geker	geko1235	all		lɔ⁵⁵_nɨʔ⁵³	l ɔ n ɨ ʔ	l o n I 7	R V N V H	L U N I H	all:382	382	lon37	77	all:48	18
19	Ersu	ersu1241	all		ńo³³_kua³³	nʲ o k u a	n o k u a	N V K V V	N U K Y A	all:558	558	nokua	78	all:47	26
21	Ao-Mongsen	mong1332	all		telu	t e l u	t e l u	T V R V	T E L Y	all:406	406	telu	79	all:46	13
22	Sherpa	sher1255	all		tokHR	t o k	t o k	T V K	T U K	all:1502	1502	tok	80	all:45	14
23	Rawang	rawa1265	all		šaŋbɛ	ʃ a ŋ b ɛ	S a N b E	S V N P V	S A N P E	all:660	660	SaNbE	81	all:44	16
25	Bokar	bori1243	all		kə_baŋ	k ə b a ŋ	k I b a N	K V P V N	K E P A N	all:851	851	k3baN	82	all:43	15
27	Hmar	hmar1241	all		po_po	p o p o	p o p o	P V P V	P U P U	all:660	660	popo	83	all:8	30
28	Nusu	nusu1239	all		li⁵⁵	l i	l i	R V	L I	all:406	406	li	84	all:7	18
29	Geba	geba1237	all		lu²²_sa⁴⁴_sɛ̃	l u s a s ɛ̃ ∼	l u s a s E n	R V S V S V N	L Y S A S E 9	all:382	382	lusasEn	85	all:42	27
30	Manu	manu1255	all		lụ⁴⁴_bɔ¹¹	l ṵ b ɔ	l u b o	R V P V	L Y P U	all:382	382	lubo	86	all:41	13
31	Alike Tibetan	amdo1237	all		chaŋ_mæ	tsʰ a ŋ m æ	C a N m E	K V N M V	C A N M E	all:183	183	CaNmE	87	all:3	16
32	Shixing	shix1238	all		la³³_wa⁵⁵	l a w a	l a w a	R V W V	L A W A	all:692	692	lawa	88	all:40	44
35	Ninglang-Naxi	naxi1245	all		dɨ³³_ta³³	d ɨ t a	d I t a	T V T V	T I T A	all:1502	1502	d3ta	89	all:39	14
36	Khaling	khal1275	all		kholeŋ_L	kʰ o l e ŋ	k o l e N	K V R V N	K U L E N	all:558	558	koleN	90	all:38	15
38	W. Kayah	west2409	all		lɔ̣³³_pli¹¹	l ɔ̰ p l i	l o p l i	R V P R V	L U P L I	all:382	382	lopli	91	all:37	13
39	Written Tibetan	tibe1272	all		mthaã_dag	m tʰ a ã ∼ d a g	m t a a n d a g	M T V V N T V K	M T A A 9 T A K	all:1502	1502	mtaandag	92	all:36	46
41	Batang Tibetan	kham1282	all		jö¹³_chɛʔ⁵³	j ö tsʰ ɛ ʔ	y E C E 7	J V K V H	J U C E H	all:317	317	yECE7	93	all:6	21
43	Gurung	guru1261	all		taːn¹	t aː n	t a n	T V N	T A N	all:1502	1502	tan	94	all:34	15
44	Lhasa Tibetan	tibe1272	all		chaŋ⁵⁵_ma⁵⁵	tsʰ a ŋ m a	C a N m a	K V N M V	C A N M A	all:183	183	CaNma	95	all:3	16
45	Garo	garo1247	all		pilak	p i l a k	p i l a k	P V R V K	P I L A K	all:382	382	pilak	96	all:5	13
46	Hill-Miri	nyis1236	all		mɨllɨ	m ɨ l l ɨ	m I l l I	M V R R V	M I L L I	all:411	411	m3ll3	97	all:4	29
47	Limbu	limb1266	all		kɛrɛk	k ɛ r ɛ k	k E r E k	K V R V K	K E R E K	all:558	558	kErEk	98	all:33	37
50	Hakka	hakk1236	all		du¹	d u	d u	T V	T Y	all:1502	1502	du	99	all:2	14
51	Motuo-M	dakp1242	all		tham_ćeʔ__TIB	tʰ a m tsʲ e ʔ	t a m t e 7	T V M T V H	T A M T E H	all:16	16	tamte7	100	all:1	38
52	Tujia	nort2732	all		xu³_ńi¹	x u nʲ i	x u n i	K V N V	G Y N I	all:275	275	xuni	101	all:32	17
53	Beijing	mand1415	all		dōu	d oː u	d o u	T V V	T U Y	all:1502	1502	dou	102	all:2	14
54	Zhaba	zhab1238	all		tʃa̲t⁵⁵	tʃ a̰ t	t a t	T V T	T A T	all:317	317	tat	103	all:31	14
55	Kaike	kaik1246	all		solo	s o l o	s o l o	S V R V	S U L U	all:406	406	solo	104	all:30	33
56	Yintale	yint1235	all		lu⁵⁵_lu¹¹	l u l u	l u l u	R V R V	L Y L Y	all:382	382	lulu	105	all:29	13
57	Jinuo	youl1235	all		tʃə³³	tʃ ə	t I	T V	T E	all:317	317	t3	106	all:28	32
58	Serdukpen	sher1257	all		zebdo	z e b d o	z e b d o	S V P T V	S E P T U	all:196	196	zebdo	107	all:27	43
59	Namuzi	namu1246	all		a³³_kɛ³³_mu⁵	a k ɛ m u	a k E m u	V K V M V	A K E M Y	all:1467	1467	akEmu	108	all:26	39
